Lflavo2a000001P1 lcl|NW_015149102.1_prot_XP_015187713.1_18870
Lflavo2a008213P1 lcl|NW_015149007.1_prot_XP_015178169.1_10152
Lflavo2a008214P1 lcl|NW_015149011.1_prot_XP_015179167.1_11185
Lflavo2a008217P1 lcl|NW_015149108.1_prot_XP_015187844.1_18994
Lflavo2a008218P1 lcl|NW_015149026.1_prot_XP_015181972.1_13577
Lflavo2a008219P1 lcl|NW_015149074.1_prot_XP_015186118.1_17492
Lflavo2a008220P1 lcl|NW_015149010.1_prot_XP_015178971.1_11030
Lflavo2a008221P1 lcl|NW_015148970.1_prot_XP_015174158.1_122
Lflavo2a008225P1 lcl|NW_015149029.1_prot_XP_015182167.1_13893
Lflavo2a008226P1 lcl|NW_015148975.1_prot_XP_015191163.1_3392
Lflavo2a008228P1 lcl|NW_015149103.1_prot_XP_015187731.1_18878
Lflavo2a008229P1 lcl|NW_015149045.1_prot_XP_015183907.1_15398
Lflavo2a008230P3 lcl|NW_015149026.1_prot_XP_015181812.1_13718
Lflavo2a008233P1 lcl|NW_015149029.1_prot_XP_015182159.1_13885
Lflavo2a008234P1 lcl|NW_015148988.1_prot_XP_015174416.1_6810
Lflavo2a008235P1 lcl|NW_015149075.1_prot_XP_015186212.1_17513
Lflavo2a008236P1 lcl|NW_015149015.1_prot_XP_015179986.1_12079
Lflavo2a008242P1 lcl|NW_015149061.1_prot_XP_015185175.1_16671
Lflavo2a008243P6 lcl|NW_015148989.1_prot_XP_015174506.1_6946
Lflavo2a008244P1 lcl|NW_015149015.1_prot_XP_015179985.1_12077
Lflavo2a008245P1 lcl|NW_015148975.1_prot_XP_015191404.1_3394
Lflavo2a008246P1 lcl|NW_015148989.1_prot_XP_015174515.1_6941
Lflavo2a008247P1 lcl|NW_015149108.1_prot_XP_015187850.1_18986
Lflavo2a008250P1 lcl|NW_015149015.1_prot_XP_015180126.1_11946
Lflavo2a008251P1 lcl|NW_015148975.1_prot_XP_015191159.1_3391
Lflavo2a008252P1 lcl|NW_015149074.1_prot_XP_015186107.1_17481
Lflavo2a008254P1 lcl|NW_015149051.1_prot_XP_015184375.1_15904
Lflavo2a008257P1 lcl|NW_015149067.1_prot_XP_015185583.1_16973
Lflavo2a008258P1 lcl|NW_015149015.1_prot_XP_015179993.1_11966
Lflavo2a008259P1 lcl|NW_015149026.1_prot_XP_015181940.1_13564
Lflavo2a008262P1 lcl|NW_015149051.1_prot_XP_015184376.1_15906
Lflavo2a008263P1 lcl|NW_015149031.1_prot_XP_015182298.1_14092
Lflavo2a008265P1 lcl|NW_015149026.1_prot_XP_015181931.1_13716
Lflavo2a008267P1 lcl|NW_015149114.1_prot_XP_015188123.1_19256
Lflavo2a008268P1 lcl|NW_015149015.1_prot_XP_015180055.1_11950
Lflavo2a008269P1 lcl|NW_015149067.1_prot_XP_015185672.1_16952
Lflavo2a008270P1 lcl|NW_015149015.1_prot_XP_015180165.1_12070
Lflavo2a008271P1 lcl|NW_015148971.1_prot_XP_015177638.1_813
Lflavo2a008275P1 lcl|NW_015149026.1_prot_XP_015181987.1_13571
Lflavo2a008277P1 lcl|NW_015149070.1_prot_XP_015185936.1_17302
Lflavo2a008281P1 lcl|NW_015149103.1_prot_XP_015187726.1_18879
Lflavo2a008282P1 lcl|NW_015149010.1_prot_XP_015178824.1_10785
Lflavo2a008283P1 lcl|NW_015149114.1_prot_XP_015188122.1_19254
Lflavo2a008284P1 lcl|NW_015149108.1_prot_XP_015187846.1_18996
Lflavo2a008285P1 lcl|NW_015149015.1_prot_XP_015180164.1_12073
Lflavo2a008286P1 lcl|NW_015149074.1_prot_XP_015186117.1_17485
Lflavo2a008289P1 lcl|NW_015148972.1_prot_XP_015183063.1_1356
Lflavo2a008290P1 lcl|NW_015149075.1_prot_XP_015186248.1_17556
Lflavo2a008292P1 lcl|NW_015148977.1_prot_XP_015171419.1_3988
Lflavo2a008293P1 lcl|NW_015149067.1_prot_XP_015185685.1_16972
Lflavo2a008294P1 lcl|NW_015148972.1_prot_XP_015183051.1_1361
Lflavo2a008296P1 lcl|NW_015149010.1_prot_XP_015178822.1_10781
Lflavo2a008298P2 lcl|NW_015149061.1_prot_XP_015185179.1_16672
Lflavo2a008299P1 lcl|NW_015149015.1_prot_XP_015180257.1_11947
Lflavo2a008300P1 lcl|NW_015149068.1_prot_XP_015185770.1_17085
Lflavo2a008301P2 lcl|NW_015148999.1_prot_XP_015176940.1_8878
Lflavo2a008302P1 lcl|NW_015149016.1_prot_XP_015180462.1_12245
Lflavo2a008304P1 lcl|NW_015148999.1_prot_XP_015176882.1_9070
Lflavo2a008305P1 lcl|NW_015148988.1_prot_XP_015174164.1_6748
Lflavo2a008306P1 lcl|NW_015149015.1_prot_XP_015180252.1_11949
Lflavo2a008307P1 lcl|NW_015149026.1_prot_XP_015181802.1_13723
Lflavo2a008308P1 lcl|NW_015149025.1_prot_XP_015181725.1_13483
Lflavo2a008309P1 lcl|NW_015149015.1_prot_XP_015180056.1_11953
Lflavo2a008310P1 lcl|NW_015148989.1_prot_XP_015174520.1_6937
Lflavo2a008311P1 lcl|NW_015149061.1_prot_XP_015185236.1_16614
Lflavo2a008312P2 lcl|NW_015149103.1_prot_XP_015187730.1_18877
Lflavo2a008313P1 lcl|NW_015149015.1_prot_XP_015180147.1_12078
Lflavo2a008315P1 lcl|NW_015149015.1_prot_XP_015180223.1_11984
Lflavo2a008317P1 lcl|NW_015149067.1_prot_XP_015185673.1_16974
Lflavo2a008319P1 lcl|NW_015149067.1_prot_XP_015185581.1_16949
Lflavo2a008320P1 lcl|NW_015149045.1_prot_XP_015183908.1_15399
Lflavo2a008321P2 lcl|NW_015149010.1_prot_XP_015178800.1_11050
Lflavo2a008322P1 lcl|NW_015148975.1_prot_XP_015191169.1_3393
Lflavo2a008323P1 lcl|NW_015149026.1_prot_XP_015181793.1_13562
Lflavo2a008324P1 lcl|NW_015149026.1_prot_XP_015181799.1_13715
Lflavo2a008326P1 lcl|NW_015149108.1_prot_XP_015187863.1_18998
Lflavo2a008328P1 lcl|NW_015148990.1_prot_XP_015174895.1_7133
Lflavo2a008331P1 lcl|NW_015148982.1_prot_XP_015172654.1_5335
Lflavo2a008332P1 lcl|NW_015149075.1_prot_XP_015186215.1_17555
Lflavo2a008333P1 lcl|NW_015149011.1_prot_XP_015179162.1_11180
Lflavo2a008334P1 lcl|NW_015149015.1_prot_XP_015180238.1_11983
Lflavo2a008336P1 lcl|NW_015149015.1_prot_XP_015180144.1_12075
Lflavo2a008338P1 lcl|NW_015148991.1_prot_XP_015175130.1_7456
Lflavo2a008339P1 lcl|NW_015149108.1_prot_XP_015187856.1_18989
Lflavo2a008340P1 lcl|NW_015148989.1_prot_XP_015174484.1_6968
Lflavo2a008341P2 lcl|NW_015149074.1_prot_XP_015186108.1_17482
Lflavo2a008344P1 lcl|NW_015148989.1_prot_XP_015174514.1_6943
Lflavo2a008345P1 lcl|NW_015149108.1_prot_XP_015187853.1_18983
Lflavo2a008347P1 lcl|NW_015149070.1_prot_XP_015185932.1_17304
Lflavo2a008348P1 lcl|NW_015148989.1_prot_XP_015174507.1_6950
Lflavo2a008349P1 lcl|NW_015149108.1_prot_XP_015187848.1_18988
Lflavo2a008350P1 lcl|NW_015148999.1_prot_XP_015176887.1_9073
Lflavo2a008352P1 lcl|NW_015149026.1_prot_XP_015181941.1_13565
Lflavo2a008353P1 lcl|NW_015149103.1_prot_XP_015187729.1_18876
Lflavo2a008355P1 lcl|NW_015149248.1_prot_XP_015189694.1_20622
Lflavo2a008356P1 lcl|NW_015148972.1_prot_XP_015181177.1_1355
Lflavo2a008357P2 lcl|NW_015149067.1_prot_XP_015185680.1_16977
Lflavo2a008358P1 lcl|NW_015149074.1_prot_XP_015186119.1_17491
Lflavo2a008359P1 lcl|NW_015149108.1_prot_XP_015187852.1_18982
Lflavo2a008363P1 lcl|NW_015149006.1_prot_XP_015177925.1_10099
Lflavo2a008364P1 lcl|NW_015149006.1_prot_XP_015177932.1_10098
Lflavo2a008365P2 lcl|NW_015149017.1_prot_XP_015180606.1_12569
Lflavo2a008368P1 lcl|NW_015148998.1_prot_XP_015176510.1_8721
Lflavo2a008369P1 lcl|NW_015149017.1_prot_XP_015180607.1_12570
Lflavo2a008370P1 lcl|NW_015149055.1_prot_XP_015184824.1_16191
Lflavo2a008371P1 lcl|NW_015149006.1_prot_XP_015177933.1_10097
Lflavo2a008372P1 lcl|NW_015148992.1_prot_XP_015175271.1_7766
Lflavo2a008374P1 lcl|NW_015148995.1_prot_XP_015175855.1_8161
Lflavo2a008375P1 lcl|NW_015148971.1_prot_XP_015174862.1_850
Lflavo2a008376P1 lcl|NW_015149017.1_prot_XP_015180710.1_12572
Lflavo2a008382P1 lcl|NW_015149004.1_prot_XP_015177683.1_9817
Lflavo2a008387P1 lcl|NW_015149004.1_prot_XP_015177581.1_9816
Lflavo2a008391P1 lcl|NW_015149004.1_prot_XP_015177590.1_9818
Lflavo2a008393P1 lcl|NW_015149004.1_prot_XP_015177583.1_9815
Lflavo2a008398P1 lcl|NW_015149004.1_prot_XP_015177519.1_9810
Lflavo2a008416P1 lcl|NW_015148973.1_prot_XP_015189092.1_2277
Lflavo2a008417P1 lcl|NW_015148970.1_prot_XP_015173411.1_212
Lflavo2a008418P1 lcl|NW_015149048.1_prot_XP_015184134.1_15667
Lflavo2a008419P1 lcl|NW_015148970.1_prot_XP_015171307.1_92
Lflavo2a008421P1 lcl|NW_015149025.1_prot_XP_015181747.1_13533
Lflavo2a008423P1 lcl|NW_015148994.1_prot_XP_015175698.1_8016
Lflavo2a008424P1 lcl|NW_015149025.1_prot_XP_015181743.1_13528
Lflavo2a008427P1 lcl|NW_015148970.1_prot_XP_015189923.1_208
Lflavo2a008428P1 lcl|NW_015149025.1_prot_XP_015181786.1_13537
Lflavo2a008429P1 lcl|NW_015148970.1_prot_XP_015173721.1_110
Lflavo2a008431P1 lcl|NW_015149025.1_prot_XP_015181681.1_13532
Lflavo2a008432P1 lcl|NW_015148970.1_prot_XP_015189850.1_198
Lflavo2a008434P1 lcl|NW_015149100.1_prot_XP_015187700.1_18759
Lflavo2a008435P1 lcl|NW_015149048.1_prot_XP_015184176.1_15671
Lflavo2a008436P1 lcl|NW_015148970.1_prot_XP_015173425.1_98
Lflavo2a008437P1 lcl|NW_015148994.1_prot_XP_015175694.1_8014
Lflavo2a008438P1 lcl|NW_015148970.1_prot_XP_015174580.1_213
Lflavo2a008439P1 lcl|NW_015148970.1_prot_XP_015171286.1_93
Lflavo2a008440P1 lcl|NW_015148970.1_prot_XP_015189740.1_206
Lflavo2a008442P1 lcl|NW_015148994.1_prot_XP_015175695.1_8015
Lflavo2a008448P1 lcl|NW_015149048.1_prot_XP_015184133.1_15668
Lflavo2a008449P1 lcl|NW_015149025.1_prot_XP_015181744.1_13529
Lflavo2a008451P1 lcl|NW_015148973.1_prot_XP_015189070.1_2273
Lflavo2a008452P1 lcl|NW_015148970.1_prot_XP_015174489.1_220
Lflavo2a008453P1 lcl|NW_015149100.1_prot_XP_015187600.1_18758
Lflavo2a008454P1 lcl|NW_015149099.1_prot_XP_015187573.1_18718
Lflavo2a008455P1 lcl|NW_015149099.1_prot_XP_015187599.1_18719
Lflavo2a008456P1 lcl|NW_015149018.1_prot_XP_015180780.1_12682
Lflavo2a008459P2 lcl|NW_015149048.1_prot_XP_015184174.1_15670
Lflavo2a008460P1 lcl|NW_015148970.1_prot_XP_015189998.1_193
Lflavo2a008461P1 lcl|NW_015149099.1_prot_XP_015187585.1_18721
Lflavo2a008465P1 lcl|NW_015149064.1_prot_XP_015185405.1_16815
Lflavo2a008466P1 lcl|NW_015149025.1_prot_XP_015181679.1_13531
Lflavo2a008468P1 lcl|NW_015149064.1_prot_XP_015185446.1_16814
Lflavo2a008470P1 lcl|NW_015149099.1_prot_XP_015187574.1_18713
Lflavo2a008471P1 lcl|NW_015148970.1_prot_XP_015187821.1_113
Lflavo2a008472P1 lcl|NW_015148994.1_prot_XP_015175693.1_8013
Lflavo2a008473P1 lcl|NW_015148970.1_prot_XP_015171273.1_96
Lflavo2a008476P1 lcl|NW_015149048.1_prot_XP_015184177.1_15672
Lflavo2a008480P1 lcl|NW_015148973.1_prot_XP_015187655.1_2278
Lflavo2a008481P1 lcl|NW_015148970.1_prot_XP_015173743.1_112
Lflavo2a008482P1 lcl|NW_015148970.1_prot_XP_015171228.1_89
Lflavo2a008483P1 lcl|NW_015148970.1_prot_XP_015173393.1_210
Lflavo2a008484P1 lcl|NW_015148970.1_prot_XP_015173257.1_97
Lflavo2a008485P1 lcl|NW_015148973.1_prot_XP_015189115.1_2279
Lflavo2a008486P2 lcl|NW_015149025.1_prot_XP_015181791.1_13541
Lflavo2a008488P1 lcl|NW_015149048.1_prot_XP_015184129.1_15662
Lflavo2a008489P1 lcl|NW_015149025.1_prot_XP_015181745.1_13530
Lflavo2a008490P1 lcl|NW_015149048.1_prot_XP_015184135.1_15669
Lflavo2a008491P1 lcl|NW_015148970.1_prot_XP_015191015.1_114
Lflavo2a008492P1 lcl|NW_015148970.1_prot_XP_015174181.1_115
Lflavo2a008493P1 lcl|NW_015149018.1_prot_XP_015180787.1_12687
Lflavo2a008495P1 lcl|NW_015149061.1_prot_XP_015185224.1_16607
Lflavo2a008498P1 lcl|NW_015149061.1_prot_XP_015185269.1_16605
Lflavo2a008499P1 lcl|NW_015149061.1_prot_XP_015185242.1_16616
Lflavo2a008500P1 lcl|NW_015149061.1_prot_XP_015185271.1_16606
Lflavo2a008501P1 lcl|NW_015149061.1_prot_XP_015185230.1_16612
Lflavo2a008502P1 lcl|NW_015149061.1_prot_XP_015185278.1_16602
Lflavo2a008503P1 lcl|NW_015149061.1_prot_XP_015185283.1_16601
Lflavo2a008503P4 lcl|NW_015149061.1_prot_XP_015185282.1_16600
Lflavo2a008507P4 lcl|NW_015148970.1_prot_XP_015187220.1_27
Lflavo2a008508P1 lcl|NW_015149019.1_prot_XP_015180931.1_12742
Lflavo2a008511P1 lcl|NW_015149019.1_prot_XP_015180932.1_12744
Lflavo2a008514P1 lcl|NW_015149095.1_prot_XP_015187447.1_18598
Lflavo2a008516P1 lcl|NW_015149053.1_prot_XP_015184617.1_16068
Lflavo2a008520P1 lcl|NW_015149006.1_prot_XP_015178011.1_10146
Lflavo2a008521P1 lcl|NW_015149053.1_prot_XP_015184615.1_16066
Lflavo2a008522P1 lcl|NW_015148996.1_prot_XP_015176177.1_8316
Lflavo2a008524P1 lcl|NW_015149053.1_prot_XP_015184595.1_16070
Lflavo2a008525P1 lcl|NW_015148972.1_prot_XP_015184757.1_1414
Lflavo2a008526P1 lcl|NW_015148999.1_prot_XP_015176974.1_9105
Lflavo2a008527P1 lcl|NW_015148974.1_prot_XP_015190826.1_2952
Lflavo2a008529P1 lcl|NW_015149044.1_prot_XP_015183731.1_15259
Lflavo2a008531P1 lcl|NW_015149055.1_prot_XP_015184725.1_16231
Lflavo2a008533P1 lcl|NW_015149050.1_prot_XP_015184277.1_15823
Lflavo2a008534P1 lcl|NW_015149104.1_prot_XP_015187737.1_18884
Lflavo2a008535P1 lcl|NW_015148996.1_prot_XP_015176140.1_8464
Lflavo2a008536P1 lcl|NW_015148988.1_prot_XP_015174361.1_6890
Lflavo2a008538P2 lcl|NW_015148998.1_prot_XP_015176559.1_8676
Lflavo2a008539P1 lcl|NW_015148990.1_prot_XP_015174603.1_7009
Lflavo2a008540P1 lcl|NW_015148998.1_prot_XP_015176418.1_8680
Lflavo2a008542P1 lcl|NW_015149060.1_prot_XP_015185068.1_16526
Lflavo2a008545P1 lcl|NW_015149055.1_prot_XP_015184724.1_16230
Lflavo2a008546P1 lcl|NW_015149060.1_prot_XP_015185163.1_16522
Lflavo2a008547P1 lcl|NW_015148990.1_prot_XP_015174611.1_7120
Lflavo2a008548P4 lcl|NW_015149095.1_prot_XP_015187424.1_18603
Lflavo2a008549P1 lcl|NW_015149614.1_prot_XP_015189867.1_20762
Lflavo2a008551P1 lcl|NW_015149175.1_prot_XP_015189387.1_20367
Lflavo2a008552P1 lcl|NW_015149068.1_prot_XP_015185706.1_17128
Lflavo2a008553P1 lcl|NW_015148974.1_prot_XP_015190549.1_2959
Lflavo2a008554P1 lcl|NW_015149050.1_prot_XP_015184251.1_15783
Lflavo2a008555P1 lcl|NW_015149060.1_prot_XP_015185082.1_16524
Lflavo2a008556P1 lcl|NW_015148992.1_prot_XP_015175318.1_7777
Lflavo2a008557P1 lcl|NW_015149007.1_prot_XP_015178278.1_10360
Lflavo2a008558P1 lcl|NW_015148975.1_prot_XP_015191237.1_3308
Lflavo2a008560P1 lcl|NW_015149053.1_prot_XP_015184599.1_16073
Lflavo2a008561P1 lcl|NW_015148974.1_prot_XP_015190923.1_2956
Lflavo2a008562P1 lcl|NW_015148996.1_prot_XP_015176180.1_8319
Lflavo2a008566P1 lcl|NW_015148996.1_prot_XP_015176017.1_8328
Lflavo2a008567P1 lcl|NW_015149175.1_prot_XP_015189394.1_20363
Lflavo2a008568P1 lcl|NW_015148996.1_prot_XP_015176004.1_8325
Lflavo2a008571P1 lcl|NW_015148996.1_prot_XP_015176137.1_8460
Lflavo2a008572P1 lcl|NW_015149044.1_prot_XP_015183726.1_15255
Lflavo2a008574P1 lcl|NW_015148972.1_prot_XP_015184734.1_1416
Lflavo2a008575P1 lcl|NW_015148970.1_prot_XP_015190749.1_454
Lflavo2a008576P1 lcl|NW_015148974.1_prot_XP_015190548.1_2958
Lflavo2a008577P1 lcl|NW_015148985.1_prot_XP_015173571.1_6044
Lflavo2a008578P1 lcl|NW_015149053.1_prot_XP_015184596.1_16067
Lflavo2a008579P1 lcl|NW_015149044.1_prot_XP_015183667.1_15262
Lflavo2a008580P1 lcl|NW_015148985.1_prot_XP_015173447.1_6034
Lflavo2a008581P1 lcl|NW_015148985.1_prot_XP_015173404.1_6021
Lflavo2a008582P1 lcl|NW_015148975.1_prot_XP_015191246.1_3311
Lflavo2a008584P1 lcl|NW_015149091.1_prot_XP_015187077.1_18308
Lflavo2a008585P1 lcl|NW_015148974.1_prot_XP_015190551.1_2967
Lflavo2a008587P2 lcl|NW_015149044.1_prot_XP_015183722.1_15256
Lflavo2a008588P1 lcl|NW_015148998.1_prot_XP_015176556.1_8674
Lflavo2a008589P2 lcl|NW_015149095.1_prot_XP_015187418.1_18600
Lflavo2a008590P1 lcl|NW_015148974.1_prot_XP_015190676.1_2961
Lflavo2a008592P1 lcl|NW_015148974.1_prot_XP_015190822.1_2953
Lflavo2a008593P1 lcl|NW_015149060.1_prot_XP_015185113.1_16516
Lflavo2a008594P1 lcl|NW_015148974.1_prot_XP_015190824.1_2951
Lflavo2a008595P1 lcl|NW_015148988.1_prot_XP_015174393.1_6881
Lflavo2a008596P1 lcl|NW_015149067.1_prot_XP_015185643.1_16956
Lflavo2a008600P1 lcl|NW_015148999.1_prot_XP_015176973.1_9106
Lflavo2a008602P3 lcl|NW_015149060.1_prot_XP_015185067.1_16535
Lflavo2a008604P1 lcl|NW_015149044.1_prot_XP_015183727.1_15251
Lflavo2a008606P1 lcl|NW_015149053.1_prot_XP_015184604.1_16077
Lflavo2a008607P1 lcl|NW_015149050.1_prot_XP_015184261.1_15821
Lflavo2a008608P1 lcl|NW_015149122.1_prot_XP_015188418.1_19483
Lflavo2a008609P1 lcl|NW_015149060.1_prot_XP_015185109.1_16514
Lflavo2a008610P1 lcl|NW_015148985.1_prot_XP_015173451.1_6042
Lflavo2a008612P1 lcl|NW_015148988.1_prot_XP_015174383.1_6878
Lflavo2a008613P2 lcl|NW_015149091.1_prot_XP_015187072.1_18306
Lflavo2a008614P1 lcl|NW_015149091.1_prot_XP_015187075.1_18307
Lflavo2a008615P1 lcl|NW_015148999.1_prot_XP_015177001.1_8981
Lflavo2a008616P1 lcl|NW_015148996.1_prot_XP_015176003.1_8324
Lflavo2a008618P1 lcl|NW_015148985.1_prot_XP_015173515.1_6019
Lflavo2a008621P1 lcl|NW_015149068.1_prot_XP_015185707.1_17129
Lflavo2a008622P1 lcl|NW_015149104.1_prot_XP_015187738.1_18885
Lflavo2a008623P1 lcl|NW_015149095.1_prot_XP_015187416.1_18602
Lflavo2a008626P1 lcl|NW_015148985.1_prot_XP_015173430.1_6040
Lflavo2a008629P2 lcl|NW_015148996.1_prot_XP_015176008.1_8330
Lflavo2a008630P1 lcl|NW_015148975.1_prot_XP_015191239.1_3310
Lflavo2a008631P1 lcl|NW_015149055.1_prot_XP_015184768.1_16228
Lflavo2a008633P1 lcl|NW_015149060.1_prot_XP_015185112.1_16515
Lflavo2a008634P1 lcl|NW_015149413.1_prot_XP_015189798.1_20707
Lflavo2a008636P1 lcl|NW_015148998.1_prot_XP_015176564.1_8673
Lflavo2a008637P1 lcl|NW_015149104.1_prot_XP_015187740.1_18886
Lflavo2a008638P2 lcl|NW_015149050.1_prot_XP_015184267.1_15825
Lflavo2a008640P1 lcl|NW_015148996.1_prot_XP_015176179.1_8317
Lflavo2a008640P2 lcl|NW_015148996.1_prot_XP_015176178.1_8318
Lflavo2a008643P1 lcl|NW_015149091.1_prot_XP_015187076.1_18305
Lflavo2a008644P1 lcl|NW_015148974.1_prot_XP_015190567.1_2954
Lflavo2a008646P1 lcl|NW_015148982.1_prot_XP_015172913.1_5507
Lflavo2a008649P1 lcl|NW_015148988.1_prot_XP_015174349.1_6887
Lflavo2a008651P1 lcl|NW_015149044.1_prot_XP_015183665.1_15261
Lflavo2a008652P1 lcl|NW_015149095.1_prot_XP_015187446.1_18597
Lflavo2a008653P1 lcl|NW_015149050.1_prot_XP_015184358.1_15782
Lflavo2a008654P1 lcl|NW_015149067.1_prot_XP_015185646.1_16954
Lflavo2a008655P1 lcl|NW_015149053.1_prot_XP_015184597.1_16072
Lflavo2a008656P1 lcl|NW_015149050.1_prot_XP_015184355.1_15781
Lflavo2a008657P1 lcl|NW_015148996.1_prot_XP_015176007.1_8327
Lflavo2a008658P5 lcl|NW_015148999.1_prot_XP_015176923.1_8980
Lflavo2a008659P1 lcl|NW_015148975.1_prot_XP_015190984.1_3307
Lflavo2a008660P1 lcl|NW_015149007.1_prot_XP_015178279.1_10361
Lflavo2a008661P1 lcl|NW_015149175.1_prot_XP_015189391.1_20362
Lflavo2a008662P1 lcl|NW_015149044.1_prot_XP_015183716.1_15246
Lflavo2a008663P1 lcl|NW_015148985.1_prot_XP_015173439.1_6023
Lflavo2a008666P1 lcl|NW_015148985.1_prot_XP_015173581.1_6046
Lflavo2a008668P1 lcl|NW_015149158.1_prot_XP_015189154.1_20125
Lflavo2a008669P1 lcl|NW_015149007.1_prot_XP_015178289.1_10359
Lflavo2a008672P1 lcl|NW_015149044.1_prot_XP_015183729.1_15252
Lflavo2a008674P1 lcl|NW_015148972.1_prot_XP_015184982.1_1636
Lflavo2a008677P1 lcl|NW_015148994.1_prot_XP_015175589.1_8100
Lflavo2a008679P1 lcl|NW_015149044.1_prot_XP_015183657.1_15329
Lflavo2a008680P1 lcl|NW_015148972.1_prot_XP_015181956.1_1622
Lflavo2a008681P1 lcl|NW_015148972.1_prot_XP_015182130.1_1624
Lflavo2a008682P1 lcl|NW_015148972.1_prot_XP_015184944.1_1634
Lflavo2a008683P1 lcl|NW_015149044.1_prot_XP_015183654.1_15327
Lflavo2a008684P1 lcl|NW_015148972.1_prot_XP_015184911.1_1630
Lflavo2a008685P1 lcl|NW_015148990.1_prot_XP_015174712.1_7194
Lflavo2a008686P2 lcl|NW_015148971.1_prot_XP_015179395.1_833
Lflavo2a008686P3 lcl|NW_015148971.1_prot_XP_015179389.1_832
Lflavo2a008687P1 lcl|NW_015148994.1_prot_XP_015175754.1_8101
Lflavo2a008688P1 lcl|NW_015148971.1_prot_XP_015179409.1_836
Lflavo2a008690P1 lcl|NW_015148990.1_prot_XP_015174721.1_7197
Lflavo2a008693P2 lcl|NW_015148975.1_prot_XP_015191388.1_3149
Lflavo2a008694P1 lcl|NW_015149132.1_prot_XP_015188690.1_19727
Lflavo2a008695P1 lcl|NW_015149082.1_prot_XP_015186622.1_17888
Lflavo2a008696P1 lcl|NW_015149050.1_prot_XP_015184336.1_15790
Lflavo2a008698P1 lcl|NW_015148975.1_prot_XP_015191312.1_3155
Lflavo2a008699P1 lcl|NW_015149082.1_prot_XP_015186619.1_17889
Lflavo2a008700P1 lcl|NW_015148998.1_prot_XP_015176453.1_8833
Lflavo2a008703P1 lcl|NW_015148998.1_prot_XP_015176451.1_8837
Lflavo2a008703P2 lcl|NW_015148998.1_prot_XP_015176452.1_8838
Lflavo2a008709P1 lcl|NW_015149047.1_prot_XP_015184048.1_15594
Lflavo2a008710P1 lcl|NW_015148973.1_prot_XP_015190456.1_2078
Lflavo2a008713P1 lcl|NW_015149047.1_prot_XP_015184042.1_15596
Lflavo2a008714P1 lcl|NW_015149047.1_prot_XP_015184051.1_15603
Lflavo2a008715P1 lcl|NW_015149047.1_prot_XP_015184102.1_15608
Lflavo2a008716P1 lcl|NW_015149002.1_prot_XP_015177211.1_9570
Lflavo2a008717P1 lcl|NW_015149047.1_prot_XP_015184047.1_15604
Lflavo2a008718P1 lcl|NW_015149047.1_prot_XP_015184101.1_15606
Lflavo2a008718P2 lcl|NW_015149047.1_prot_XP_015184100.1_15607
Lflavo2a008719P1 lcl|NW_015149047.1_prot_XP_015184046.1_15601
Lflavo2a008720P1 lcl|NW_015148976.1_prot_XP_015191596.1_3638
Lflavo2a008721P1 lcl|NW_015149067.1_prot_XP_015185633.1_17013
Lflavo2a008723P1 lcl|NW_015148973.1_prot_XP_015190214.1_2076
Lflavo2a008724P1 lcl|NW_015149047.1_prot_XP_015183958.1_15602
Lflavo2a008725P1 lcl|NW_015148973.1_prot_XP_015190200.1_2066
Lflavo2a008727P1 lcl|NW_015149047.1_prot_XP_015184045.1_15600
Lflavo2a008728P1 lcl|NW_015149136.1_prot_XP_015188717.1_19778
Lflavo2a008729P1 lcl|NW_015148979.1_prot_XP_015172013.1_4557
Lflavo2a008730P1 lcl|NW_015149136.1_prot_XP_015188720.1_19780
Lflavo2a008732P1 lcl|NW_015149021.1_prot_XP_015181174.1_12917
Lflavo2a008733P1 lcl|NW_015149024.1_prot_XP_015181596.1_13441
Lflavo2a008734P1 lcl|NW_015149136.1_prot_XP_015188731.1_19784
Lflavo2a008735P1 lcl|NW_015148999.1_prot_XP_015176888.1_9075
Lflavo2a008736P1 lcl|NW_015149130.1_prot_XP_015188603.1_19650
Lflavo2a008737P1 lcl|NW_015149024.1_prot_XP_015181595.1_13439
Lflavo2a008739P1 lcl|NW_015149031.1_prot_XP_015182311.1_14097
Lflavo2a008740P1 lcl|NW_015149031.1_prot_XP_015182313.1_14096
Lflavo2a008741P1 lcl|NW_015148971.1_prot_XP_015177856.1_984
Lflavo2a008742P1 lcl|NW_015149040.1_prot_XP_015183306.1_14922
Lflavo2a008742P2 lcl|NW_015149040.1_prot_XP_015183307.1_14923
Lflavo2a008742P3 lcl|NW_015149040.1_prot_XP_015183310.1_14924
Lflavo2a008742P5 lcl|NW_015149040.1_prot_XP_015183304.1_14921
Lflavo2a008743P1 lcl|NW_015149015.1_prot_XP_015180245.1_11925
Lflavo2a008744P1 lcl|NW_015149031.1_prot_XP_015182299.1_14095
Lflavo2a008745P1 lcl|NW_015149136.1_prot_XP_015188722.1_19782
Lflavo2a008746P1 lcl|NW_015149130.1_prot_XP_015188605.1_19647
Lflavo2a008748P1 lcl|NW_015148990.1_prot_XP_015174885.1_7125
Lflavo2a008749P2 lcl|NW_015149040.1_prot_XP_015183284.1_14928
Lflavo2a008750P3 lcl|NW_015148977.1_prot_XP_015171068.1_3947
Lflavo2a008751P1 lcl|NW_015149040.1_prot_XP_015183285.1_14931
