Lflavo2a000001P1 NP_001014747.1
Lflavo2a007419P1 NP_647640.1
Lflavo2a007420P1 NP_610666.1
Lflavo2a007422P1 NP_001261405.1
Lflavo2a007423P1 NP_609900.1
Lflavo2a007425P1 NP_001097541.1
Lflavo2a007426P1 NP_650498.3
Lflavo2a007427P1 NP_001245731.1
Lflavo2a007428P9 NP_730940.1
Lflavo2a007430P1 NP_647775.1
Lflavo2a007431P1 NP_001260821.1
Lflavo2a007432P2 NP_610706.1
Lflavo2a007433P1 NP_651582.1
Lflavo2a007436P1 NP_001285495.1
Lflavo2a007437P1 NP_611899.1
Lflavo2a007440P1 NP_477416.1
Lflavo2a007441P1 NP_733246.1
Lflavo2a007445P1 NP_001259764.1
Lflavo2a007446P1 NP_001259735.1
Lflavo2a007450P1 NP_001015155.1
Lflavo2a007455P1 NP_001286056.1
Lflavo2a007456P1 NP_732553.2
Lflavo2a007457P1 NP_523849.3
Lflavo2a007458P1 NP_649840.1
Lflavo2a007461P1 NP_572704.1
Lflavo2a007463P1 NP_523915.1
Lflavo2a007465P1 NP_572772.1
Lflavo2a007470P1 NP_001262779.1
Lflavo2a007470P2 NP_001262781.1
Lflavo2a007470P4 NP_001097848.2
Lflavo2a007473P2 NP_001097883.2
Lflavo2a007474P1 NP_523507.2
Lflavo2a007477P1 NP_609836.1
Lflavo2a007480P1 NP_001286141.1
Lflavo2a007496P1 NP_001262564.1
Lflavo2a007498P1 NP_650124.1
Lflavo2a007499P1 NP_649473.1
Lflavo2a007500P1 NP_001262459.1
Lflavo2a007501P3 NP_001284832.1
Lflavo2a007502P1 NP_001263101.1
Lflavo2a007503P1 NP_650534.2
Lflavo2a007504P1 NP_001285237.1
Lflavo2a007505P1 NP_001163253.1
Lflavo2a007507P1 NP_725637.1
Lflavo2a007508P1 NP_524284.1
Lflavo2a007510P1 NP_523599.1
Lflavo2a007512P2 NP_572685.2
Lflavo2a007513P1 NP_648348.1
Lflavo2a007515P1 NP_001260995.1
Lflavo2a007516P1 NP_788342.1
Lflavo2a007517P2 NP_725369.1
Lflavo2a007519P1 NP_611932.2
Lflavo2a007520P1 NP_524622.1
Lflavo2a007520P4 NP_726571.2
Lflavo2a007524P1 NP_001163532.1
Lflavo2a007525P1 NP_001286315.1
Lflavo2a007526P1 NP_650685.1
Lflavo2a007531P1 NP_570063.1
Lflavo2a007533P1 NP_524358.2
Lflavo2a007534P1 NP_001285068.1
Lflavo2a007538P2 NP_649594.1
Lflavo2a007544P5 NP_001246651.1
Lflavo2a007544P6 NP_001286960.1
Lflavo2a007545P1 NP_611167.2
Lflavo2a007546P1 NP_001259745.1
Lflavo2a007548P1 NP_524677.1
Lflavo2a007551P1 NP_001286672.1
Lflavo2a007554P1 NP_001188848.1
Lflavo2a007556P1 NP_611166.2
Lflavo2a007557P2 NP_001097302.1
Lflavo2a007558P1 NP_995782.1
Lflavo2a007564P1 NP_001097184.2
Lflavo2a007565P1 NP_001259624.1
Lflavo2a007567P1 NP_477008.1
Lflavo2a007569P1 NP_001286360.1
Lflavo2a007571P1 NP_723996.1
Lflavo2a007574P1 NP_001097893.1
Lflavo2a007576P1 NP_001188553.1
Lflavo2a007579P1 NP_611356.1
Lflavo2a007580P1 NP_001285876.1
Lflavo2a007581P1 NP_649057.1
Lflavo2a007582P1 NP_996144.1
Lflavo2a007584P1 NP_610818.1
Lflavo2a007590P1 NP_610656.1
Lflavo2a007594P1 NP_608705.1
Lflavo2a007595P1 NP_001286807.1
Lflavo2a007598P1 NP_649940.1
Lflavo2a007600P6 NP_001284978.1
Lflavo2a007601P1 NP_001097449.2
Lflavo2a007603P1 NP_001285407.1
Lflavo2a007604P1 NP_001260230.1
Lflavo2a007606P1 NP_001262720.1
Lflavo2a007610P1 NP_001285740.1
Lflavo2a007612P1 NP_001260765.1
Lflavo2a007614P1 NP_608773.2
Lflavo2a007615P1 NP_001163324.1
Lflavo2a007618P1 NP_001286207.1
Lflavo2a007622P1 NP_648347.2
Lflavo2a007623P1 NP_572572.1
Lflavo2a007624P1 NP_611693.1
Lflavo2a007625P1 NP_727348.2
Lflavo2a007629P1 NP_572437.2
Lflavo2a007630P1 NP_477240.1
Lflavo2a007641P1 NP_001284862.1
Lflavo2a007645P1 NP_610327.1
Lflavo2a007647P1 NP_001287306.1
Lflavo2a007648P1 NP_001261360.1
Lflavo2a007651P1 NP_611270.1
Lflavo2a007653P1 NP_649869.1
Lflavo2a007654P1 NP_611013.1
Lflavo2a007655P1 NP_001097865.1
Lflavo2a007656P1 NP_001247099.1
Lflavo2a007659P1 NP_001246214.1
Lflavo2a007660P1 NP_726504.2
Lflavo2a007664P1 NP_611533.2
Lflavo2a007668P1 NP_001286731.1
Lflavo2a007669P1 NP_650996.1
Lflavo2a007674P1 NP_609547.2
Lflavo2a007676P1 NP_001259054.1
Lflavo2a007678P3 NP_523674.1
Lflavo2a007679P1 NP_001097352.1
Lflavo2a007682P1 NP_610343.1
Lflavo2a007684P1 NP_001137802.1
Lflavo2a007685P8 NP_001014557.3
Lflavo2a007686P1 NP_573091.1
Lflavo2a007687P1 NP_650995.1
Lflavo2a007688P1 NP_723797.3
Lflavo2a007690P1 NP_001286550.1
Lflavo2a007691P1 NP_610456.4
Lflavo2a007692P1 NP_001034002.1
Lflavo2a007693P1 NP_476844.2
Lflavo2a007694P1 NP_001097274.1
Lflavo2a007695P1 NP_524300.1
Lflavo2a007696P1 NP_001247116.1
Lflavo2a007698P1 NP_651508.1
Lflavo2a007702P1 NP_001263066.1
Lflavo2a007703P1 NP_001259064.1
Lflavo2a007709P1 NP_001014479.1
Lflavo2a007711P1 NP_608335.1
Lflavo2a007712P1 NP_651763.4
Lflavo2a007714P1 NP_609588.1
Lflavo2a007719P1 NP_001260149.1
Lflavo2a007720P2 NP_001259956.1
Lflavo2a007721P1 NP_001262432.1
Lflavo2a007729P1 NP_648779.1
Lflavo2a007730P1 NP_608955.1
Lflavo2a007733P1 NP_524907.2
Lflavo2a007735P1 NP_477004.5
Lflavo2a007737P1 NP_788855.1
Lflavo2a007738P1 NP_729792.1
Lflavo2a007739P1 NP_650273.2
Lflavo2a007740P1 NP_001097595.1
Lflavo2a007742P1 NP_001261659.1
Lflavo2a007743P1 NP_524550.1
Lflavo2a007744P1 NP_649835.1
Lflavo2a007748P1 NP_001262998.1
Lflavo2a007749P1 NP_731826.1
Lflavo2a007751P1 NP_732373.1
Lflavo2a007755P1 NP_001262997.1
Lflavo2a007756P3 NP_612098.2
Lflavo2a007760P1 NP_722594.1
Lflavo2a007762P1 NP_525082.2
Lflavo2a007764P1 NP_650743.1
Lflavo2a007765P1 NP_001303312.1
Lflavo2a007766P1 NP_652731.1
Lflavo2a007767P1 NP_650299.1
Lflavo2a007768P1 NP_733043.1
Lflavo2a007769P1 NP_524152.2
Lflavo2a007771P1 NP_001285120.1
Lflavo2a007772P1 NP_001261746.1
Lflavo2a007774P1 NP_001260476.1
Lflavo2a007775P1 NP_524867.2
Lflavo2a007778P1 NP_001188583.1
Lflavo2a007779P1 NP_477497.1
Lflavo2a007781P1 NP_001285501.1
Lflavo2a007782P1 NP_608400.2
Lflavo2a007786P1 NP_001097135.1
Lflavo2a007787P1 NP_001285406.1
Lflavo2a007788P1 NP_733183.1
Lflavo2a007793P2 NP_610928.1
Lflavo2a007798P1 NP_511099.2
Lflavo2a007800P3 NP_001096888.2
Lflavo2a007831P1 NP_001036715.1
Lflavo2a007834P1 NP_610355.1
Lflavo2a007835P1 NP_733329.1
Lflavo2a007836P1 NP_650821.2
Lflavo2a007838P1 NP_650488.1
Lflavo2a007840P1 NP_569958.2
Lflavo2a007841P1 NP_001259442.1
Lflavo2a007845P1 NP_001260134.1
Lflavo2a007848P2 NP_728180.1
Lflavo2a007851P2 NP_477271.1
Lflavo2a007853P1 NP_732312.1
Lflavo2a007856P1 NP_001285096.1
Lflavo2a007858P1 NP_001034055.1
Lflavo2a007861P1 NP_001162813.1
Lflavo2a007862P1 NP_650696.1
Lflavo2a007863P1 NP_001262813.1
Lflavo2a007864P1 NP_729565.2
Lflavo2a007865P1 NP_001285108.1
Lflavo2a007867P1 NP_651839.1
Lflavo2a007868P3 NP_523602.2
Lflavo2a007869P1 NP_001036624.1
Lflavo2a007873P1 NP_001260321.1
Lflavo2a007874P1 NP_001246314.1
Lflavo2a007877P1 NP_001261365.1
Lflavo2a007878P1 NP_001262818.1
Lflavo2a007879P1 NP_572360.1
Lflavo2a007880P1 NP_726889.3
Lflavo2a007881P1 NP_001285570.1
Lflavo2a007882P1 NP_524715.2
Lflavo2a007884P1 NP_477204.1
Lflavo2a007886P1 NP_611734.1
Lflavo2a007888P1 NP_524104.2
Lflavo2a007889P1 NP_001138196.1
Lflavo2a007890P1 NP_648188.2
Lflavo2a007892P1 NP_524932.2
Lflavo2a007893P1 NP_647950.1
Lflavo2a007894P1 NP_572840.1
Lflavo2a007895P1 NP_611636.1
Lflavo2a007901P1 NP_731868.1
Lflavo2a007902P1 NP_611306.1
Lflavo2a007905P1 NP_572861.1
Lflavo2a007906P1 NP_001246862.1
Lflavo2a007908P1 NP_650916.1
Lflavo2a007909P1 NP_001285442.1
Lflavo2a007911P1 NP_651002.3
Lflavo2a007912P1 NP_524073.2
Lflavo2a007914P1 NP_001259424.1
Lflavo2a007918P1 NP_610288.1
Lflavo2a007919P1 NP_572160.1
Lflavo2a007920P1 NP_001138127.1
Lflavo2a007921P1 NP_001284967.1
Lflavo2a007922P1 NP_001285371.1
Lflavo2a007926P1 NP_001285352.1
Lflavo2a007927P1 NP_726243.1
Lflavo2a007929P1 NP_001137664.1
Lflavo2a007930P1 NP_650961.2
Lflavo2a007931P1 NP_572452.1
Lflavo2a007932P1 NP_523732.2
Lflavo2a007933P1 NP_001162947.1
Lflavo2a007935P1 NP_001163607.1
Lflavo2a007936P3 NP_001284830.1
Lflavo2a007938P1 NP_648878.1
Lflavo2a007938P2 NP_001036609.1
Lflavo2a007939P1 NP_524504.2
Lflavo2a007943P1 NP_651001.2
Lflavo2a007944P1 NP_723847.1
Lflavo2a007946P1 NP_477266.1
Lflavo2a007949P2 NP_001096949.1
Lflavo2a007950P1 NP_611023.1
Lflavo2a007951P1 NP_652376.2
Lflavo2a007952P1 NP_001284913.1
Lflavo2a007954P1 NP_572197.4
Lflavo2a007957P1 NP_649590.1
Lflavo2a007959P1 NP_524418.2
Lflavo2a007962P1 NP_511080.2
Lflavo2a007963P1 NP_001259779.1
Lflavo2a007964P1 NP_476886.1
Lflavo2a007965P2 NP_573081.1
Lflavo2a007967P1 NP_608830.3
Lflavo2a007968P1 NP_608649.2
Lflavo2a007973P1 NP_001286131.1
Lflavo2a007974P1 NP_611541.1
Lflavo2a007977P2 NP_476818.1
Lflavo2a007978P1 NP_001303547.1
Lflavo2a007979P1 NP_649233.2
Lflavo2a007980P1 NP_649337.2
Lflavo2a007981P1 NP_001246384.1
Lflavo2a007984P1 NP_650020.2
Lflavo2a007985P1 NP_610057.1
Lflavo2a007987P2 NP_569968.2
Lflavo2a007989P1 NP_609204.2
Lflavo2a007990P1 NP_649587.1
Lflavo2a007991P1 NP_609203.1
Lflavo2a007992P1 NP_611542.2
Lflavo2a007993P1 NP_001286236.1
Lflavo2a007994P1 NP_726114.1
Lflavo2a007995P1 NP_001261433.1
Lflavo2a007997P1 NP_609443.1
Lflavo2a007998P1 NP_611093.2
Lflavo2a008000P1 NP_733345.2
Lflavo2a008001P1 NP_648514.1
Lflavo2a008003P1 NP_001259262.1
Lflavo2a008004P1 NP_651209.1
Lflavo2a008005P1 NP_001286071.1
Lflavo2a008007P1 NP_572907.1
Lflavo2a008008P2 NP_001261408.1
Lflavo2a008009P1 NP_995647.2
Lflavo2a008011P4 NP_649566.2
Lflavo2a008013P1 NP_001287558.1
Lflavo2a008014P1 NP_001285589.1
Lflavo2a008016P1 NP_648408.1
Lflavo2a008018P1 NP_001015316.1
Lflavo2a008019P1 NP_609445.1
Lflavo2a008021P1 NP_609442.2
Lflavo2a008022P2 NP_001137696.1
Lflavo2a008023P1 NP_001261026.1
Lflavo2a008024P1 NP_524833.2
Lflavo2a008025P1 NP_610466.2
Lflavo2a008026P1 NP_001033971.2
Lflavo2a008029P1 NP_523782.1
Lflavo2a008030P1 NP_001261683.1
Lflavo2a008032P1 NP_611274.1
Lflavo2a008033P1 NP_001097365.1
Lflavo2a008033P2 NP_001097366.1
Lflavo2a008035P1 NP_001027193.2
Lflavo2a008039P1 NP_001286781.1
Lflavo2a008040P1 NP_477052.2
Lflavo2a008042P2 NP_609045.2
Lflavo2a008043P1 NP_787963.2
Lflavo2a008044P4 NP_609969.2
Lflavo2a008046P1 NP_001262845.1
Lflavo2a008049P1 NP_608682.3
Lflavo2a008051P1 NP_477251.3
Lflavo2a008052P1 NP_523708.2
Lflavo2a008053P1 NP_572354.1
Lflavo2a008054P1 NP_608957.1
Lflavo2a008057P2 NP_523743.1
Lflavo2a008058P1 NP_001259182.1
Lflavo2a008060P1 NP_001188559.1
Lflavo2a008062P1 NP_523526.1
Lflavo2a008066P1 NP_001259148.1
Lflavo2a008067P1 NP_001033999.2
Lflavo2a008068P1 NP_523739.2
Lflavo2a008072P2 NP_001027572.2
Lflavo2a008072P3 NP_001137746.1
Lflavo2a008074P1 NP_651990.1
Lflavo2a008075P1 NP_001245913.1
Lflavo2a008077P1 NP_649996.1
Lflavo2a008078P1 NP_001285567.1
Lflavo2a008080P1 NP_001245848.1
Lflavo2a008083P1 NP_620470.1
Lflavo2a008084P1 NP_732316.2
Lflavo2a008085P1 NP_612034.1
Lflavo2a008086P1 NP_569898.1
Lflavo2a008095P1 NP_524675.1
Lflavo2a008097P1 NP_788659.1
Lflavo2a008098P1 NP_650917.1
Lflavo2a008099P1 NP_524538.2
Lflavo2a008101P1 NP_001285202.1
Lflavo2a008103P1 NP_651457.1
Lflavo2a008104P1 NP_001303427.1
Lflavo2a008106P1 NP_524368.5
Lflavo2a008107P1 NP_001287602.1
Lflavo2a008109P1 NP_573169.2
Lflavo2a008111P1 NP_651556.2
Lflavo2a008113P1 NP_001247286.1
Lflavo2a008114P1 NP_001034065.1
Lflavo2a008116P1 NP_524586.1
Lflavo2a008120P1 NP_611224.1
Lflavo2a008121P1 NP_524398.1
Lflavo2a008140P2 NP_001246441.1
Lflavo2a008141P1 NP_612093.1
Lflavo2a008143P1 NP_001356959.1
Lflavo2a008146P1 NP_001246400.1
Lflavo2a008148P1 NP_001245689.1
Lflavo2a008149P3 NP_001015354.3
Lflavo2a008152P1 NP_001285489.1
Lflavo2a008153P1 NP_001261227.1
Lflavo2a008154P1 NP_651782.1
Lflavo2a008156P1 NP_650199.1
Lflavo2a008171P1 NP_729926.1
Lflavo2a008172P1 NP_731688.2
Lflavo2a008174P1 NP_001286401.1
Lflavo2a008181P1 NP_001261181.1
Lflavo2a008182P1 NP_001285628.1
Lflavo2a008185P1 NP_001262546.1
Lflavo2a008186P1 NP_572335.1
Lflavo2a008189P1 NP_649438.1
Lflavo2a008190P1 NP_524954.2
Lflavo2a008192P1 NP_001284998.1
Lflavo2a008193P1 NP_573080.1
Lflavo2a008197P1 NP_650029.1
Lflavo2a008198P1 NP_647683.1
Lflavo2a008199P1 NP_001287601.1
Lflavo2a008202P1 NP_649019.2
Lflavo2a008203P1 NP_648550.1
Lflavo2a008205P1 NP_001027122.2
Lflavo2a008206P1 NP_650732.1
Lflavo2a008208P1 NP_610757.1
Lflavo2a008210P1 NP_650594.1
Lflavo2a008211P1 NP_001284909.1
Lflavo2a008213P1 NP_001163280.1
Lflavo2a008214P1 NP_729803.1
Lflavo2a008215P1 NP_476954.1
Lflavo2a008220P1 NP_650402.1
Lflavo2a008221P1 NP_611844.3
Lflavo2a008225P1 NP_650016.1
Lflavo2a008226P1 NP_608464.1
Lflavo2a008228P1 NP_001286298.1
Lflavo2a008229P1 NP_001285857.1
Lflavo2a008230P3 NP_610216.1
Lflavo2a008233P1 NP_001287522.1
Lflavo2a008234P1 NP_648162.2
Lflavo2a008236P1 NP_725124.1
Lflavo2a008243P7 NP_001262786.1
Lflavo2a008244P1 NP_609822.1
Lflavo2a008245P1 NP_523581.1
Lflavo2a008246P1 NP_001285784.1
Lflavo2a008250P1 NP_733058.1
Lflavo2a008252P1 NP_001163185.1
Lflavo2a008257P1 NP_001368942.1
Lflavo2a008258P1 NP_001260175.1
Lflavo2a008262P1 NP_649658.1
Lflavo2a008263P1 NP_001259102.1
Lflavo2a008264P1 NP_729666.2
Lflavo2a008265P1 NP_648750.1
Lflavo2a008267P1 NP_648312.3
Lflavo2a008268P1 NP_001097911.1
Lflavo2a008269P1 NP_728643.2
Lflavo2a008270P1 NP_524315.2
Lflavo2a008274P1 NP_525038.3
Lflavo2a008277P1 NP_001259838.1
Lflavo2a008279P1 NP_001285060.1
Lflavo2a008281P1 NP_611229.2
Lflavo2a008282P1 NP_608491.3
Lflavo2a008284P1 NP_650049.1
Lflavo2a008285P1 NP_647858.2
Lflavo2a008286P1 NP_609451.1
Lflavo2a008292P1 NP_570088.1
Lflavo2a008293P1 NP_995847.1
Lflavo2a008296P1 NP_001261940.1
Lflavo2a008298P2 NP_476989.2
Lflavo2a008299P1 NP_651307.2
Lflavo2a008300P1 NP_611604.1
Lflavo2a008301P1 NP_609607.1
Lflavo2a008302P1 NP_001260501.1
Lflavo2a008304P1 NP_611350.1
Lflavo2a008305P1 NP_727386.1
Lflavo2a008306P1 NP_001286187.1
Lflavo2a008307P1 NP_732958.1
Lflavo2a008310P1 NP_001163480.1
Lflavo2a008311P1 NP_001286350.1
Lflavo2a008312P2 NP_001286296.1
Lflavo2a008313P1 NP_611092.2
Lflavo2a008315P1 NP_001262032.1
Lflavo2a008321P2 NP_724578.1
Lflavo2a008322P1 NP_001188572.1
Lflavo2a008324P1 NP_648749.3
Lflavo2a008326P1 NP_476841.1
Lflavo2a008331P1 NP_001287138.1
Lflavo2a008333P1 NP_572656.1
Lflavo2a008334P1 NP_001245829.1
Lflavo2a008336P1 NP_649814.1
Lflavo2a008338P1 NP_476586.1
Lflavo2a008339P1 NP_001097912.1
Lflavo2a008340P1 NP_001163420.1
Lflavo2a008341P2 NP_001259259.1
Lflavo2a008345P1 NP_648806.1
Lflavo2a008347P1 NP_001261035.1
Lflavo2a008348P1 NP_573247.2
Lflavo2a008349P1 NP_477318.1
Lflavo2a008352P1 NP_995862.1
Lflavo2a008353P1 NP_476801.1
Lflavo2a008357P2 NP_001261995.1
Lflavo2a008358P1 NP_609402.1
Lflavo2a008359P1 NP_651595.1
Lflavo2a008363P1 NP_001033938.1
Lflavo2a008364P1 NP_732262.1
Lflavo2a008365P2 NP_001285613.1
Lflavo2a008368P1 NP_525097.1
Lflavo2a008369P1 NP_001188833.1
Lflavo2a008370P1 NP_001247098.1
Lflavo2a008371P1 NP_001097074.1
Lflavo2a008374P1 NP_001261422.1
Lflavo2a008376P1 NP_001259822.1
Lflavo2a008382P1 NP_001163705.1
Lflavo2a008387P1 NP_001260247.1
Lflavo2a008396P1 NP_727518.1
Lflavo2a008416P1 NP_650430.1
Lflavo2a008417P1 NP_001286319.1
Lflavo2a008419P1 NP_651295.1
Lflavo2a008421P1 NP_001097674.1
Lflavo2a008423P1 NP_001097766.1
Lflavo2a008424P1 NP_611363.2
Lflavo2a008427P1 NP_001260458.1
Lflavo2a008428P1 NP_001247027.1
Lflavo2a008429P1 NP_726444.2
Lflavo2a008434P1 NP_001163027.1
Lflavo2a008436P1 NP_611917.2
Lflavo2a008438P1 NP_610701.2
Lflavo2a008439P1 NP_001285572.1
Lflavo2a008440P1 NP_732838.2
Lflavo2a008452P1 NP_610990.2
Lflavo2a008453P1 NP_647808.1
Lflavo2a008455P1 NP_524134.1
Lflavo2a008456P1 NP_001262397.1
Lflavo2a008459P2 NP_648439.1
Lflavo2a008460P1 NP_001245551.1
Lflavo2a008461P1 NP_524610.1
Lflavo2a008468P1 NP_001036451.1
Lflavo2a008471P1 NP_649469.2
Lflavo2a008473P1 NP_524613.1
Lflavo2a008474P1 NP_610641.1
Lflavo2a008476P1 NP_648127.1
Lflavo2a008482P1 NP_001262513.1
Lflavo2a008483P1 NP_001261224.1
Lflavo2a008484P1 NP_652072.1
Lflavo2a008486P2 NP_651635.2
Lflavo2a008489P1 NP_001303457.1
Lflavo2a008493P1 NP_609237.1
Lflavo2a008499P1 NP_610792.2
Lflavo2a008500P1 NP_609052.1
Lflavo2a008501P1 NP_001245766.1
Lflavo2a008502P1 NP_651355.3
Lflavo2a008503P3 NP_648447.2
Lflavo2a008508P1 NP_001262901.1
Lflavo2a008509P1 NP_001097756.1
Lflavo2a008511P1 NP_001163750.1
Lflavo2a008514P1 NP_001285719.1
Lflavo2a008516P1 NP_649764.1
Lflavo2a008522P1 NP_001259676.1
Lflavo2a008525P1 NP_477385.1
Lflavo2a008526P1 NP_523874.1
Lflavo2a008527P1 NP_001246156.2
Lflavo2a008529P1 NP_001262803.1
Lflavo2a008530P1 NP_001369037.1
Lflavo2a008531P1 NP_729096.1
Lflavo2a008532P1 NP_001163688.1
Lflavo2a008534P1 NP_001286974.1
Lflavo2a008535P1 NP_001247276.1
Lflavo2a008536P1 NP_001286309.1
Lflavo2a008538P1 NP_001262483.1
Lflavo2a008540P1 NP_650722.1
Lflavo2a008542P1 NP_729509.1
Lflavo2a008545P1 NP_610078.2
Lflavo2a008546P1 NP_001036597.1
Lflavo2a008549P1 NP_524168.2
Lflavo2a008551P1 NP_001262086.1
Lflavo2a008552P1 NP_001036446.2
Lflavo2a008555P1 NP_001285295.1
Lflavo2a008556P1 NP_651095.1
Lflavo2a008557P1 NP_651578.1
Lflavo2a008558P1 NP_608905.1
Lflavo2a008560P1 NP_001263055.1
Lflavo2a008562P1 NP_001259631.1
Lflavo2a008564P1 NP_001162666.2
Lflavo2a008566P1 NP_001285355.1
Lflavo2a008567P1 NP_573326.1
Lflavo2a008568P1 NP_001287406.1
Lflavo2a008570P1 NP_611963.5
Lflavo2a008571P2 NP_001261468.1
Lflavo2a008572P1 NP_001188534.1
Lflavo2a008574P1 NP_001246603.1
Lflavo2a008575P1 NP_648090.1
Lflavo2a008581P1 NP_001097771.1
Lflavo2a008582P1 NP_723994.2
Lflavo2a008584P1 NP_722835.1
Lflavo2a008587P2 NP_569971.3
Lflavo2a008588P2 NP_001163647.1
Lflavo2a008589P2 NP_001356889.1
Lflavo2a008592P1 NP_001285820.1
Lflavo2a008593P1 NP_647626.1
Lflavo2a008594P1 NP_001260335.1
Lflavo2a008595P1 NP_001263061.1
Lflavo2a008600P1 NP_651667.1
Lflavo2a008602P2 NP_001246698.1
Lflavo2a008604P1 NP_731339.1
Lflavo2a008606P1 NP_650528.1
Lflavo2a008607P1 NP_648549.1
Lflavo2a008608P1 NP_609081.1
Lflavo2a008609P1 NP_647730.1
Lflavo2a008610P1 NP_523780.1
Lflavo2a008612P1 NP_651515.1
Lflavo2a008614P1 NP_001027221.1
Lflavo2a008615P1 NP_651415.1
Lflavo2a008616P1 NP_523939.1
Lflavo2a008621P1 NP_001189164.1
Lflavo2a008622P1 NP_729302.2
Lflavo2a008623P1 NP_650641.2
Lflavo2a008626P1 NP_001260920.1
Lflavo2a008630P1 NP_609803.1
Lflavo2a008633P1 NP_523891.2
Lflavo2a008636P1 NP_650724.1
Lflavo2a008637P1 NP_611386.2
Lflavo2a008638P2 NP_727320.1
Lflavo2a008640P1 NP_572545.1
Lflavo2a008643P1 NP_001033853.1
Lflavo2a008646P1 NP_001260347.1
Lflavo2a008649P1 NP_001261240.1
Lflavo2a008652P1 NP_524246.1
Lflavo2a008653P1 NP_523528.1
Lflavo2a008654P1 NP_476740.1
Lflavo2a008656P1 NP_651361.2
Lflavo2a008656P2 NP_001247302.1
Lflavo2a008657P1 NP_608857.2
Lflavo2a008658P3 NP_996218.1
Lflavo2a008659P1 NP_001014547.1
Lflavo2a008660P1 NP_733236.1
Lflavo2a008661P1 NP_610813.3
Lflavo2a008662P1 NP_001261503.1
Lflavo2a008663P1 NP_725191.1
Lflavo2a008666P1 NP_649008.2
Lflavo2a008668P1 NP_477226.2
Lflavo2a008669P1 NP_609186.1
Lflavo2a008672P1 NP_724768.3
Lflavo2a008674P1 NP_001162763.1
Lflavo2a008677P1 NP_523785.2
Lflavo2a008680P1 NP_001287483.1
Lflavo2a008681P1 NP_001259080.1
Lflavo2a008683P1 NP_001245759.1
Lflavo2a008684P1 NP_001262810.1
Lflavo2a008687P1 NP_001247391.1
Lflavo2a008688P1 NP_524451.1
Lflavo2a008690P1 NP_001261981.1
Lflavo2a008692P1 NP_001285417.1
Lflavo2a008693P2 NP_001259978.1
Lflavo2a008694P1 NP_511152.2
Lflavo2a008695P1 NP_647659.1
Lflavo2a008696P1 NP_524454.2
Lflavo2a008698P1 NP_001259998.1
Lflavo2a008699P1 NP_650073.1
Lflavo2a008700P1 NP_001036627.2
Lflavo2a008703P2 NP_001188772.1
Lflavo2a008709P1 NP_651280.1
Lflavo2a008710P1 NP_001163369.2
Lflavo2a008713P1 NP_001261634.1
Lflavo2a008714P1 NP_001286952.1
Lflavo2a008715P1 NP_001104452.1
Lflavo2a008717P1 NP_001137876.1
Lflavo2a008718P1 NP_001137875.1
Lflavo2a008720P1 NP_001260325.1
Lflavo2a008723P1 NP_001261197.1
Lflavo2a008725P1 NP_001097486.1
Lflavo2a008728P1 NP_995650.3
Lflavo2a008729P1 NP_001260886.1
Lflavo2a008730P1 NP_001285488.1
Lflavo2a008733P1 NP_001262206.1
Lflavo2a008734P1 NP_001285734.1
Lflavo2a008735P1 NP_001261761.1
Lflavo2a008735P2 NP_524040.2
Lflavo2a008736P1 NP_001262370.1
Lflavo2a008737P1 NP_477311.1
Lflavo2a008738P1 NP_609219.1
Lflavo2a008739P1 NP_001286508.1
Lflavo2a008741P1 NP_610501.1
Lflavo2a008742P2 NP_001137819.2
Lflavo2a008742P3 NP_001245994.1
Lflavo2a008743P1 NP_001246455.1
Lflavo2a008745P1 NP_001246485.1
Lflavo2a008746P1 NP_650632.1
Lflavo2a008748P1 NP_524129.1
Lflavo2a008749P2 NP_001188791.2
Lflavo2a008750P1 NP_001261782.1
Lflavo2a008752P1 NP_731500.1
Lflavo2a008753P1 NP_788641.1
Lflavo2a008757P1 NP_609073.2
Lflavo2a008759P9 NP_001260862.1
Lflavo2a008760P3 NP_001137777.1
Lflavo2a008760P5 NP_722866.1
Lflavo2a008761P1 NP_001260441.1
Lflavo2a008764P1 NP_727328.1
Lflavo2a008765P1 NP_001246660.1
Lflavo2a008767P1 NP_648144.3
Lflavo2a008770P1 NP_477454.1
Lflavo2a008771P1 NP_524130.1
Lflavo2a008772P1 NP_608668.2
Lflavo2a008773P1 NP_001245852.1
Lflavo2a008774P1 NP_611010.4
Lflavo2a008788P1 NP_001246814.1
Lflavo2a008794P1 NP_730954.2
Lflavo2a008798P1 NP_477221.1
Lflavo2a008799P1 NP_651652.2
Lflavo2a008801P1 NP_725699.1
Lflavo2a008803P1 NP_001097110.1
Lflavo2a008804P1 NP_001287396.1
Lflavo2a008808P1 NP_612041.2
Lflavo2a008809P2 NP_001033884.2
Lflavo2a008811P1 NP_001036344.1
Lflavo2a008814P1 NP_725236.1
Lflavo2a008815P1 NP_001188678.1
Lflavo2a008816P1 NP_649471.3
Lflavo2a008816P2 NP_608648.1
Lflavo2a008817P1 NP_611428.1
Lflavo2a008819P1 NP_652555.1
Lflavo2a008821P1 NP_001162835.1
Lflavo2a008825P1 NP_477332.1
Lflavo2a008827P1 NP_647949.1
Lflavo2a008829P1 NP_001163673.1
Lflavo2a008830P1 NP_001137913.1
Lflavo2a008836P1 NP_524900.1
Lflavo2a008837P1 NP_523357.2
Lflavo2a008838P1 NP_001262651.1
