Geneid	gene_name	SRR1519115_1Aligned.sortedByCoord.out.bam	SRR1519109_1Aligned.sortedByCoord.out.bam	SRR1519111_1Aligned.sortedByCoord.out.bam	SRR1519117_1Aligned.sortedByCoord.out.bam	SRR1519113_1Aligned.sortedByCoord.out.bam	SRR1519110_1Aligned.sortedByCoord.out.bam	SRR1519116_1Aligned.sortedByCoord.out.bam	SRR1519108_1Aligned.sortedByCoord.out.bam	SRR1519112_1Aligned.sortedByCoord.out.bam	SRR1519114_1Aligned.sortedByCoord.out.bam
gene-LOC106786906	LOC106786906	565	793	1038	821	460	874	602	604	805	556
gene-LOC106786907	LOC106786907	376	493	491	495	432	366	437	322	394	382
gene-LOC106786908	LOC106786908	14461	30342	47302	34223	18688	38059	26873	19962	44773	25285
gene-LOC106786897	LOC106786897	0	0	1	2	0	1	0	0	1	1
gene-LOC106786899	LOC106786899	11	17	7	8	2	11	13	5	2	1
gene-LOC106786937	LOC106786937	117	364	416	437	80	321	330	117	282	126
gene-LOC106786936	LOC106786936	883	1771	1781	1349	742	1683	1449	751	1248	831
gene-LOC106786921	LOC106786921	10	18	20	32	9	22	31	15	17	7
gene-LOC106786920	LOC106786920	426	527	869	958	320	615	571	406	709	502
gene-LOC106786915	LOC106786915	1444	1932	2578	2679	1264	2317	2668	942	1533	1022
gene-LOC106786900	LOC106786900	9	16	10	12	9	2	9	9	7	5
gene-LOC106786938	LOC106786938	413	1008	1101	927	438	989	1105	431	860	488
gene-LOC106786918	LOC106786918	673	1208	1302	945	610	1282	1127	672	882	725
gene-LOC106786904	LOC106786904	1032	1013	1367	1611	938	1046	1036	675	1381	952
gene-LOC106786905	LOC106786905	7	5	7	6	14	4	2	21	6	12
gene-LOC106786902	LOC106786902	82	222	272	232	104	207	263	44	200	88
gene-LOC106786912	LOC106786912	948	1263	1245	1375	799	852	715	891	1173	1009
gene-LOC106786914	LOC106786914	670	1265	1453	1179	871	1326	1331	686	1140	915
gene-LOC106786930	LOC106786930	187	405	387	382	212	431	398	260	332	230
gene-LOC106786929	LOC106786929	303	613	616	726	372	717	748	352	521	453
gene-LOC106786933	LOC106786933	149	492	551	347	173	549	599	159	423	204
gene-LOC106786934	LOC106786934	603	1039	1290	1553	503	1114	1171	464	1209	531
gene-LOC106786903	LOC106786903	73	79	107	137	52	99	106	72	60	81
gene-LOC106786924	LOC106786924	111	305	506	633	111	562	377	92	427	137
gene-LOC106786923	LOC106786923	80	207	236	253	90	255	276	104	253	110
gene-LOC106786922	LOC106786922	140	184	170	249	120	142	138	212	202	196
gene-LOC106786901	LOC106786901	300	686	778	945	272	784	759	274	726	367
gene-LOC106786911	LOC106786911	611	1192	1544	1005	531	1429	1322	688	1101	801
gene-LOC106786910	LOC106786910	39	46	53	34	32	29	13	44	64	54
gene-LOC106786909	LOC106786909	501	668	895	880	376	981	1672	392	678	424
gene-LOC106786939	LOC106786939	20	502	453	191	182	994	685	73	63	150
gene-LOC106786994	LOC106786994	180	171	115	201	187	106	86	240	188	210
gene-LOC106786997	LOC106786997	60	95	117	117	64	114	81	63	123	92
gene-LOC106786995	LOC106786995	320	537	624	650	364	491	526	344	589	344
gene-LOC106786998	LOC106786998	537	694	822	471	515	746	753	418	527	493
gene-LOC106786941	LOC106786941	47	35	56	101	22	36	28	28	40	24
gene-LOC106787003	LOC106787003	329	852	1170	1122	332	1145	888	528	662	520
gene-LOC106787000	LOC106787000	1196	1411	1349	1957	1161	1194	1163	1270	1235	1200
gene-LOC106787002	LOC106787002	1	4	2	12	5	5	4	0	1	8
gene-LOC106786982	LOC106786982	10042	24830	30583	24957	13324	22464	23470	11741	24252	13379
gene-LOC106786983	LOC106786983	89	137	115	143	81	174	124	75	102	74
gene-LOC106786981	LOC106786981	202	277	287	349	190	173	167	212	286	260
gene-LOC106786980	LOC106786980	204	412	453	383	233	373	514	148	355	238
gene-LOC106786987	LOC106786987	450	1074	1042	1227	568	973	1069	460	885	570
gene-LOC106786988	LOC106786988	100	136	134	115	118	133	70	134	110	88
gene-LOC106786989	LOC106786989	1779	1685	1574	1374	1726	1212	1179	1181	1087	1714
gene-LOC106786942	LOC106786942	3	7	9	5	10	7	8	3	9	6
gene-LOC106786992	LOC106786992	1363	3233	4211	2270	1794	2983	1981	2257	2736	2154
gene-LOC106786999	LOC106786999	6466	13186	12982	9645	6084	12060	12404	4528	8149	5944
gene-LOC106786984	LOC106786984	2081	4306	4384	2619	2151	4512	3153	1965	3199	2471
gene-LOC106786986	LOC106786986	30	22	37	43	41	16	13	31	22	32
gene-LOC106786985	LOC106786985	146	245	392	255	122	275	310	145	222	132
gene-LOC106786966	LOC106786966	39	441	123	55	197	836	150	649	25	453
gene-LOC106786965	LOC106786965	272	676	685	525	293	782	795	291	519	384
gene-LOC106786967	LOC106786967	840	1520	1458	1630	839	1704	1674	828	1577	871
gene-LOC106786968	LOC106786968	283	344	334	455	328	243	347	389	347	333
gene-LOC106786979	LOC106786979	1689	3696	4461	3829	1617	3580	3553	1808	3395	2545
gene-Trnah-gug-3	Trnah-gug	0	0	0	0	0	0	0	0	0	0
gene-LOC106786944	LOC106786944	1	0	0	0	0	0	3	0	0	0
gene-LOC106786990	LOC106786990	702	1020	1446	1582	579	1203	1143	680	948	775
gene-LOC106786969	LOC106786969	0	0	0	0	0	23	1	1	1	0
gene-LOC106786972	LOC106786972	1	24	25	18	8	49	22	6	14	3
gene-LOC106786945	LOC106786945	2184	5100	4239	3192	3070	6038	7209	2749	5812	4737
gene-LOC106786971	LOC106786971	154	687	760	528	191	938	481	270	560	166
gene-LOC106786970	LOC106786970	216	549	660	614	205	615	519	254	522	268
gene-LOC106787005	LOC106787005	857	1106	1207	1660	721	1133	1792	707	1153	608
gene-LOC106787004	LOC106787004	212	543	686	288	299	565	540	237	574	239
gene-Trnaf-gaa-3	Trnaf-gaa	0	0	0	0	0	0	0	0	0	0
gene-LOC106787009	LOC106787009	350	724	288	222	362	420	420	387	430	516
gene-LOC106786949	LOC106786949	294	941	963	1067	306	1005	937	321	703	351
gene-LOC106787006	LOC106787006	240	894	639	274	202	775	587	268	286	346
gene-LOC106787008	LOC106787008	609	1382	1067	356	733	1300	1057	1034	545	759
gene-LOC106786974	LOC106786974	1292	2361	2663	2406	1381	2276	2410	1352	2224	1753
gene-LOC106786975	LOC106786975	1499	3063	2655	2100	1639	2541	2709	1607	2194	1956
gene-LOC106786976	LOC106786976	86	44	20	9	14	17	21	5	9	15
gene-LOC106786946	LOC106786946	0	0	0	0	0	0	0	0	0	0
gene-LOC106786950	LOC106786950	43	2	1	1	1	3	2	0	0	0
gene-LOC106787011	LOC106787011	103	11	1	0	7	5	1	0	0	0
gene-LOC106786947	LOC106786947	0	0	0	0	0	0	0	0	0	0
gene-Trnai-uau-3	Trnai-uau	0	0	0	0	0	0	0	0	0	0
gene-LOC106787012	LOC106787012	72	5	6	3	4	8	7	0	4	3
gene-LOC106787010	LOC106787010	23	4	4	0	6	5	8	0	1	5
gene-LOC106786977	LOC106786977	1193	3119	3629	3342	1173	3477	3645	1245	2649	1474
gene-LOC106786978	LOC106786978	1301	1103	698	213	771	692	924	283	217	559
gene-LOC106786961	LOC106786961	221	1118	329	80	161	755	1104	274	59	433
gene-LOC106786960	LOC106786960	76	99	32	4	57	108	100	28	5	42
gene-LOC106786963	LOC106786963	1077	2214	2467	1891	1060	2803	2536	1384	2140	1528
gene-LOC106786962	LOC106786962	81	250	277	335	125	250	300	90	241	115
gene-LOC106786993	LOC106786993	354	403	567	476	264	374	427	225	247	327
gene-LOC106786948	LOC106786948	0	8	12	1	0	6	5	1	2	0
gene-LOC106786956	LOC106786956	138	760	753	249	132	1059	548	177	290	208
gene-Trnaf-gaa-4	Trnaf-gaa	0	0	0	0	0	0	0	0	0	0
gene-Trnaf-gaa-5	Trnaf-gaa	0	0	0	0	0	0	0	0	0	0
gene-LOC106786958	LOC106786958	1818	3639	4588	5534	1930	3623	3993	1708	4736	2078
gene-LOC106786957	LOC106786957	413	828	806	877	481	678	721	470	675	553
gene-LOC106786959	LOC106786959	586	480	585	594	443	509	491	475	487	497
gene-LOC106786951	LOC106786951	545	1451	1631	1518	646	1694	1544	694	1239	656
gene-LOC106786955	LOC106786955	101	329	472	486	98	389	393	155	421	151
gene-LOC106786954	LOC106786954	99	145	210	125	113	158	169	116	141	100
gene-LOC106786952	LOC106786952	2136	3846	4671	4253	1627	3726	4464	1388	3074	1859
gene-LOC106787031	LOC106787031	524	472	423	445	441	294	256	445	332	398
gene-LOC106787017	LOC106787017	639	1170	2306	2696	350	1508	1360	461	1521	601
gene-LOC106787021	LOC106787021	109	167	305	278	62	183	151	56	216	67
gene-LOC106787018	LOC106787018	20	60	100	170	18	69	106	23	82	13
gene-LOC106787020	LOC106787020	98	103	250	427	49	152	123	59	205	83
gene-LOC106787022	LOC106787022	4	0	9	11	5	4	2	1	10	4
gene-LOC106787037	LOC106787037	217	1085	1490	1682	315	1223	1338	477	882	615
gene-LOC106787038	LOC106787038	1	9	8	5	1	8	5	1	1	0
gene-LOC106787048	LOC106787048	15	25	46	22	16	32	34	18	25	12
gene-LOC106787039	LOC106787039	28	100	103	122	35	43	97	28	91	51
gene-LOC106787040	LOC106787040	1473	3385	3868	3146	1439	3509	3223	1464	2529	1938
gene-LOC106787045	LOC106787045	329	590	682	851	289	598	642	461	655	429
gene-LOC106787034	LOC106787034	404	855	1190	923	362	1142	927	475	733	545
gene-LOC106787036	LOC106787036	83	8	2	19	80	1	3	83	18	100
gene-LOC106787035	LOC106787035	238	473	439	476	184	466	493	232	391	303
gene-LOC106787029	LOC106787029	8536	18457	19700	22849	8488	18038	21358	7525	16372	8811
gene-LOC106787030	LOC106787030	3824	5148	5977	2572	4198	5879	4488	2275	3432	4224
gene-LOC106787049	LOC106787049	50	91	104	99	58	114	94	70	81	45
gene-LOC106787027	LOC106787027	0	3	12	1	12	2	2	0	0	0
gene-LOC106787023	LOC106787023	1191	2028	2364	2109	1119	2455	1978	1397	1604	1390
gene-LOC106787026	LOC106787026	53	76	52	50	89	38	22	119	55	97
gene-LOC106787025	LOC106787025	14365	14625	13965	12459	17558	20300	17397	16800	7604	22317
gene-LOC106787044	LOC106787044	170	213	266	327	205	151	114	237	235	261
gene-LOC106787041	LOC106787041	29	25	27	32	24	42	33	35	26	47
gene-LOC106787042	LOC106787042	159	421	489	481	176	484	394	178	344	202
gene-LOC106787047	LOC106787047	103	96	98	99	88	101	62	80	58	119
gene-LOC106787046	LOC106787046	1254	4215	5187	3942	1516	5243	5676	1856	3428	1895
gene-LOC106787016	LOC106787016	0	1	5	0	1	14	21	0	0	10
gene-LOC106787015	LOC106787015	1	9	1	1	2	10	1	1	0	4
gene-LOC106787014	LOC106787014	0	2	0	0	0	0	0	0	0	5
gene-LOC106787100	LOC106787100	92	156	139	127	72	198	167	61	77	71
gene-LOC106787093	LOC106787093	397	666	796	768	412	822	756	427	622	512
gene-LOC106787094	LOC106787094	18	7	4	5	21	2	0	30	9	22
gene-LOC106787050	LOC106787050	0	0	1	0	0	1	1	0	0	0
gene-LOC106787097	LOC106787097	408	582	578	563	306	526	614	250	466	331
gene-LOC106787078	LOC106787078	1218	2375	2468	1877	1088	2773	2655	1273	1687	1452
gene-LOC106787099	LOC106787099	211	413	393	469	213	343	386	186	361	244
gene-LOC106787080	LOC106787080	336	518	718	542	447	506	580	379	498	458
gene-LOC106787079	LOC106787079	239	371	379	403	239	363	371	307	291	292
gene-LOC106787081	LOC106787081	93	47	60	39	132	49	35	186	54	190
gene-LOC106787083	LOC106787083	2354	3733	4599	3167	1980	3902	3545	2364	3051	2797
gene-LOC106787095	LOC106787095	83	165	218	58	140	208	517	62	94	94
gene-LOC106787053	LOC106787053	569	1516	1870	2417	699	1669	2137	481	2050	653
gene-LOC106787082	LOC106787082	1165	2244	2375	1884	1128	2579	2459	1124	1580	1350
gene-LOC106787073	LOC106787073	1263	2629	2271	1564	1420	2116	2228	1022	2128	1488
gene-LOC106787074	LOC106787074	12775	39624	35183	36745	18611	25212	28372	13278	36185	19106
gene-LOC106787066	LOC106787066	2847	741	908	428	2858	507	362	2368	869	2985
gene-LOC106787068	LOC106787068	11211	18899	20791	13036	10593	15192	14821	9179	20868	14335
gene-LOC106787067	LOC106787067	3866	29757	35520	18723	10994	27709	20051	16012	29586	21063
gene-LOC106787088	LOC106787088	300	707	472	164	370	1855	389	1048	291	610
gene-LOC106787089	LOC106787089	2	11	16	12	4	4	8	6	11	7
gene-LOC106787087	LOC106787087	94	149	181	124	101	176	153	107	151	90
gene-LOC106787084	LOC106787084	322	984	1283	648	607	1349	1390	679	762	524
gene-LOC106787065	LOC106787065	2430	2832	3407	2925	1341	2854	2897	1264	2230	1546
gene-LOC106787069	LOC106787069	170	256	233	285	181	240	269	198	234	157
gene-LOC106787072	LOC106787072	1354	2266	2631	3194	1406	2346	2402	1184	2799	1257
gene-LOC106787071	LOC106787071	331	250	321	303	398	218	270	269	241	275
gene-LOC106787070	LOC106787070	571	712	913	924	693	760	488	646	615	707
gene-LOC106787075	LOC106787075	225	5	0	9	191	2	2	240	9	287
gene-LOC106787076	LOC106787076	999	3102	3465	3260	954	3804	3398	1144	2663	1540
gene-LOC106787057	LOC106787057	1265	2512	2768	2061	1138	2503	2702	1089	2054	1551
gene-LOC106787063	LOC106787063	1372	3025	3491	4016	1316	3159	3867	1044	3449	1264
gene-LOC106787060	LOC106787060	31	5	3	26	37	0	0	60	26	59
gene-LOC106787061	LOC106787061	83	337	361	369	94	349	366	174	248	210
gene-LOC106787058	LOC106787058	677	1816	2134	2207	518	1798	2009	825	1598	758
gene-LOC106787064	LOC106787064	1103	1931	2191	1538	874	2305	1866	877	1441	1149
gene-LOC106787059	LOC106787059	31	73	58	37	55	51	62	46	33	54
gene-LOC106787101	LOC106787101	132	442	460	395	187	431	446	183	400	197
gene-LOC106787098	LOC106787098	237	328	439	362	234	392	398	221	291	224
gene-LOC106787054	LOC106787054	1	16	7	1	1	0	9	0	0	3
gene-LOC106787055	LOC106787055	0	7	3	0	1	5	17	0	3	1
gene-LOC106787085	LOC106787085	234	606	788	190	378	882	935	366	347	331
gene-LOC106787056	LOC106787056	0	0	0	0	0	0	0	0	0	0
gene-LOC106787051	LOC106787051	32	181	307	62	83	1556	1294	58	80	76
gene-LOC106787086	LOC106787086	188	416	444	525	205	309	450	255	434	229
gene-LOC106787092	LOC106787092	7	25	34	28	8	29	29	3	28	9
gene-LOC106787090	LOC106787090	273	407	522	591	309	343	402	345	544	376
gene-LOC106787091	LOC106787091	3	50	56	55	3	42	63	2	53	5
gene-LOC106787126	LOC106787126	210	256	285	260	122	210	188	146	228	158
gene-LOC106787127	LOC106787127	543	1475	1488	1217	630	1375	1565	500	1141	625
gene-LOC106787114	LOC106787114	4364	6373	6600	3542	4274	5392	2859	4745	5761	4751
gene-LOC106787122	LOC106787122	248	527	612	545	262	502	518	286	497	352
gene-LOC106787121	LOC106787121	469	415	558	497	417	377	396	426	450	415
gene-LOC106787118	LOC106787118	471	1018	1321	1162	460	1103	1038	557	1130	600
gene-LOC106787115	LOC106787115	281	489	709	537	265	570	520	381	472	276
gene-LOC106787117	LOC106787117	0	2	4	8	0	1	2	0	0	0
gene-LOC106787102	LOC106787102	5351	9125	11203	9871	4677	11500	10934	4386	8189	5047
gene-LOC106787107	LOC106787107	1368	1737	2127	1198	1391	2018	2009	957	1810	1582
gene-LOC106787106	LOC106787106	153	197	217	211	130	153	106	163	199	175
gene-LOC106787119	LOC106787119	7962	8312	9296	4150	4381	6309	5091	2663	7589	4023
gene-LOC106787120	LOC106787120	230	296	333	368	177	307	294	261	302	325
gene-LOC106787111	LOC106787111	2450	5578	6796	5396	2337	6270	6700	2240	4379	2922
gene-LOC106787113	LOC106787113	356	526	972	999	347	627	717	340	748	396
gene-LOC106787125	LOC106787125	5	32	40	40	11	42	53	2	44	20
gene-LOC106787124	LOC106787124	402	431	398	514	274	346	335	405	332	338
gene-LOC106787110	LOC106787110	225	334	428	422	222	366	389	174	235	222
gene-LOC106787108	LOC106787108	1312	1880	3025	2098	1054	2676	2003	1052	1607	1107
gene-LOC106787138	LOC106787138	87	372	292	341	128	268	176	79	266	119
gene-LOC106787139	LOC106787139	314	706	897	681	329	872	790	373	560	440
gene-LOC106787136	LOC106787136	176	467	684	433	208	655	564	216	338	308
gene-LOC106787128	LOC106787128	570	859	1367	855	568	1025	777	665	929	734
gene-LOC106787133	LOC106787133	318	706	828	1051	375	788	767	370	646	399
gene-LOC106787132	LOC106787132	343	666	756	747	389	605	597	409	629	493
gene-LOC106787131	LOC106787131	208	464	664	564	253	505	611	209	393	249
gene-LOC106787130	LOC106787130	473	1378	1721	1463	453	1715	1608	510	915	511
gene-LOC106787134	LOC106787134	1305	1824	1888	2103	1135	1737	1577	1243	1751	1237
gene-LOC106787135	LOC106787135	66	133	207	259	68	153	237	66	156	80
gene-LOC106787168	LOC106787168	29	26	25	41	43	29	35	61	24	72
gene-LOC106787169	LOC106787169	7771	18995	19619	16395	9663	17282	15353	8746	15542	9614
gene-LOC106787170	LOC106787170	1	13	13	10	8	22	9	12	20	8
gene-LOC106787151	LOC106787151	157	215	278	176	156	224	207	145	228	151
gene-LOC106787161	LOC106787161	315	334	527	608	304	496	420	265	274	298
gene-LOC106787160	LOC106787160	4079	5773	6712	5199	2950	5635	5557	3317	4749	3396
gene-LOC106787162	LOC106787162	3	2	9	4	3	16	1	2	0	7
gene-LOC106787163	LOC106787163	61	125	118	189	47	65	93	65	137	87
gene-LOC106787164	LOC106787164	100	269	314	306	122	315	339	126	216	177
gene-LOC106787165	LOC106787165	405	1089	1097	1151	486	1093	1299	426	919	539
gene-LOC106787166	LOC106787166	0	1	7	10	3	3	2	0	0	3
gene-LOC106787158	LOC106787158	2	8	8	4	0	8	13	7	0	15
gene-LOC106787167	LOC106787167	370	419	663	797	265	512	566	241	530	288
gene-LOC106787152	LOC106787152	194	473	408	351	149	385	462	165	362	240
gene-LOC106787155	LOC106787155	95	158	155	140	56	159	126	76	151	49
gene-LOC106787153	LOC106787153	6	15	15	12	11	9	16	10	11	13
gene-LOC106787140	LOC106787140	0	0	0	0	0	0	0	0	0	0
gene-LOC106787157	LOC106787157	56274	56546	67646	114668	53742	78648	43891	124508	70661	62625
gene-LOC106787156	LOC106787156	8899	15508	19342	23730	8582	24354	16662	18418	19061	8771
gene-LOC106787159	LOC106787159	0	2	1	1	1	0	6	0	0	0
gene-LOC106787141	LOC106787141	0	0	0	0	0	0	0	0	0	0
gene-LOC106787142	LOC106787142	0	0	0	0	0	0	0	0	0	0
gene-LOC106787143	LOC106787143	0	0	0	0	0	0	0	0	0	0
gene-LOC106787144	LOC106787144	0	0	0	0	0	1	1	0	0	0
gene-LOC106787146	LOC106787146	0	0	0	0	0	0	0	0	1	0
gene-LOC106787147	LOC106787147	0	1	0	0	0	1	0	0	0	0
gene-LOC106787148	LOC106787148	0	0	0	0	0	0	0	0	0	0
gene-LOC106787149	LOC106787149	11	4	5	6	6	3	5	2	4	0
gene-LOC106787171	LOC106787171	7	1	2	1	6	1	6	3	6	5
gene-LOC106787172	LOC106787172	0	2	3	1	3	5	5	5	6	0
gene-LOC106787150	LOC106787150	0	0	2	0	0	2	3	0	1	3
gene-LOC106787181	LOC106787181	3408	6349	7475	9740	2746	6420	7034	2456	5604	2984
gene-Trnas-cga-2	Trnas-cga	0	0	0	0	0	0	0	0	0	0
gene-LOC106787173	LOC106787173	1	0	1	0	1	0	0	0	0	0
gene-LOC106787217	LOC106787217	587	1748	1328	615	826	1865	1520	705	820	882
gene-LOC106787218	LOC106787218	3	24	4	0	4	5	6	46	0	6
gene-LOC106787174	LOC106787174	7	365	87	2	49	323	895	24	16	116
gene-LOC106787205	LOC106787205	7	5	8	14	13	6	13	6	4	12
gene-LOC106787203	LOC106787203	447	1262	1661	813	532	2261	2728	849	738	711
gene-LOC106787225	LOC106787225	188	401	465	183	247	375	202	298	222	211
gene-LOC106787229	LOC106787229	30	46	77	61	24	62	41	38	45	31
gene-LOC106787202	LOC106787202	688	1311	1442	1460	605	1565	1283	649	1019	641
gene-LOC106787177	LOC106787177	180	419	502	546	218	446	479	162	382	236
gene-LOC106787219	LOC106787219	156	345	529	336	210	422	395	202	323	300
gene-LOC106787230	LOC106787230	76	170	193	220	88	161	143	97	96	113
gene-LOC106787176	LOC106787176	422	792	688	384	418	1000	860	487	495	551
gene-LOC106787178	LOC106787178	181	299	335	277	179	300	326	165	269	168
gene-LOC106787189	LOC106787189	1562	2750	2587	2520	1382	2262	2413	1421	2330	1686
gene-LOC106787193	LOC106787193	194	547	335	261	274	498	495	245	274	228
gene-LOC106787195	LOC106787195	31	5	9	18	20	12	6	16	15	33
gene-LOC106787190	LOC106787190	81	26	32	39	107	7	5	137	54	163
gene-LOC106787194	LOC106787194	40	61	57	54	39	48	66	33	53	41
gene-LOC106787191	LOC106787191	5	2	2	4	16	3	4	14	4	7
gene-LOC106787192	LOC106787192	249	297	364	418	227	340	328	230	333	275
gene-LOC106787188	LOC106787188	1987	4449	5857	4119	1453	5728	4354	2001	3686	2275
gene-LOC106787183	LOC106787183	1791	1779	2275	2571	1681	1760	1499	1975	1788	2233
gene-LOC106787206	LOC106787206	519	838	1015	747	457	988	934	451	618	535
gene-LOC106787197	LOC106787197	116	139	180	161	192	94	91	127	138	160
gene-LOC106787196	LOC106787196	2342	3217	3370	4277	2122	3051	2735	2623	3151	2589
gene-LOC106787231	LOC106787231	102	111	203	166	73	93	126	109	118	93
gene-LOC106787200	LOC106787200	1197	2058	2735	1441	1066	1735	1909	1143	2062	1296
gene-LOC106787201	LOC106787201	11	44	47	118	34	51	46	50	53	34
gene-LOC106787228	LOC106787228	531	267	326	282	448	165	161	428	327	592
gene-LOC106787216	LOC106787216	783	1235	1326	1405	658	993	1184	726	1310	861
gene-LOC106787214	LOC106787214	30	88	146	24	52	204	165	49	39	51
gene-LOC106787226	LOC106787226	74	118	102	130	79	92	113	85	92	93
gene-LOC106787227	LOC106787227	105	227	285	354	132	267	327	123	276	146
gene-LOC106787184	LOC106787184	5446	4680	4490	4648	7730	4795	4241	6202	6569	3589
gene-LOC106787187	LOC106787187	92	67	99	131	105	72	78	107	107	72
gene-LOC106787186	LOC106787186	695	1011	1062	830	1096	1185	1220	800	927	626
gene-LOC106787224	LOC106787224	69	190	181	219	63	167	131	78	171	106
gene-LOC106787223	LOC106787223	344	729	847	778	317	750	869	352	777	414
gene-LOC106787221	LOC106787221	97	47	94	98	67	69	93	93	97	90
gene-LOC106787210	LOC106787210	293	541	884	1058	257	636	864	298	846	403
gene-LOC106787209	LOC106787209	185	293	328	364	231	236	199	300	351	270
gene-LOC106787211	LOC106787211	18	32	41	56	25	34	31	26	45	40
gene-LOC106787208	LOC106787208	77	190	194	239	82	184	202	75	169	117
gene-LOC106787213	LOC106787213	4660	5914	7602	6434	3651	6725	5061	2784	9577	4404
gene-LOC106787212	LOC106787212	20	18	40	55	33	46	27	26	46	38
gene-LOC106787180	LOC106787180	0	4	12	4	1	17	10	6	10	0
gene-LOC106787179	LOC106787179	21	25	14	36	11	53	50	14	29	6
gene-LOC106787175	LOC106787175	4	4	9	18	3	6	9	2	10	11
gene-LOC106787220	LOC106787220	1330	2121	2310	1942	1368	2065	1782	1369	1907	1537
gene-LOC106787198	LOC106787198	549	859	950	772	549	881	872	453	581	560
gene-LOC106787199	LOC106787199	225	314	627	189	286	556	590	231	345	336
gene-LOC106787251	LOC106787251	1594	2249	2412	2479	1233	2510	2499	929	1808	1023
gene-LOC106787250	LOC106787250	145	327	360	383	112	296	364	146	298	169
gene-LOC106787248	LOC106787248	1492	4512	4375	2848	1603	5155	4301	2406	2838	2148
gene-LOC106787266	LOC106787266	260	771	1078	944	272	908	671	434	905	449
gene-LOC106787241	LOC106787241	16	36	31	51	20	13	56	24	40	18
gene-LOC106787232	LOC106787232	64	63	76	79	68	61	59	40	69	59
gene-LOC106787276	LOC106787276	120	214	217	169	146	128	105	127	193	164
gene-LOC106787270	LOC106787270	395	772	746	783	353	695	686	451	688	411
gene-LOC106787269	LOC106787269	72	95	81	101	106	35	37	143	118	119
gene-LOC106787252	LOC106787252	103	294	419	467	101	348	379	165	372	145
gene-LOC106787253	LOC106787253	716	1330	1860	2000	658	1626	1373	683	1531	765
gene-LOC106787255	LOC106787255	17	35	28	37	9	50	34	9	26	13
gene-LOC106787254	LOC106787254	200	326	446	563	139	331	281	114	331	137
gene-LOC106787267	LOC106787267	1779	2425	2825	2396	1578	2222	2442	1712	2298	1948
gene-LOC106787262	LOC106787262	4558	6786	7398	7056	4181	6738	6384	3885	6592	4265
gene-LOC106787256	LOC106787256	2911	6720	8125	7639	2991	8192	7849	3146	5639	2931
gene-LOC106787257	LOC106787257	342	711	743	782	351	703	611	379	695	591
gene-LOC106787261	LOC106787261	1202	1050	1220	1591	827	918	994	722	1172	865
gene-LOC106787260	LOC106787260	1360	2236	2713	2698	1315	2184	2210	1034	1858	1215
gene-LOC106787247	LOC106787247	212	483	537	464	188	401	496	174	358	183
gene-LOC106787246	LOC106787246	785	1341	1828	1811	607	1235	1360	531	1218	642
gene-LOC106787245	LOC106787245	246	391	681	421	86	535	275	160	370	148
gene-LOC106787277	LOC106787277	5	0	3	5	0	5	0	0	3	2
gene-LOC106787243	LOC106787243	6	0	6	6	2	3	2	2	0	1
gene-LOC106787244	LOC106787244	0	2	2	0	0	0	2	0	1	0
gene-LOC106787233	LOC106787233	1	1	2	1	1	0	0	0	1	0
gene-LOC106787234	LOC106787234	0	0	1	0	0	0	1	0	1	0
gene-LOC106787235	LOC106787235	0	0	0	0	0	2	0	0	1	1
gene-LOC106787236	LOC106787236	0	0	0	0	0	0	1	0	0	0
gene-LOC106787237	LOC106787237	0	0	0	0	0	0	1	4	0	2
gene-LOC106787238	LOC106787238	0	0	0	0	0	0	1	0	1	1
gene-LOC106787239	LOC106787239	0	1	0	0	0	0	0	0	0	0
gene-LOC106787265	LOC106787265	6	6	12	7	1	13	6	6	5	2
gene-LOC106787240	LOC106787240	3	2	1	7	0	3	12	1	2	1
gene-LOC106787264	LOC106787264	1242	2352	2845	2422	1000	2440	2858	1042	2192	1265
gene-LOC106787263	LOC106787263	310	136	108	214	388	68	78	381	139	541
gene-LOC106787275	LOC106787275	4	5	13	15	8	4	15	6	7	8
gene-LOC106787272	LOC106787272	0	47	91	0	8	4	42	6	2	12
gene-LOC106787274	LOC106787274	5	5843	1672	4	584	637	1620	391	16	369
gene-LOC106787273	LOC106787273	0	1	0	0	0	1	0	0	2	0
gene-LOC106787271	LOC106787271	1	4	1	4	2	1	3	1	3	2
gene-LOC106787293	LOC106787293	292	634	592	832	321	582	687	339	569	430
gene-LOC106787292	LOC106787292	311	267	265	315	302	121	109	311	251	411
gene-LOC106787289	LOC106787289	712	1180	1108	1132	680	879	868	578	874	836
gene-LOC106787286	LOC106787286	382	707	837	492	408	975	688	504	558	434
gene-LOC106787291	LOC106787291	910	1655	1862	1652	977	1689	1839	967	1357	1100
gene-LOC106787282	LOC106787282	292	711	755	747	301	709	762	367	713	389
gene-LOC106787283	LOC106787283	704	1568	1549	1476	823	1460	1597	762	1257	976
gene-LOC106787280	LOC106787280	41	98	114	204	41	150	99	44	77	40
gene-LOC106787295	LOC106787295	46	249	149	104	138	167	118	175	124	177
gene-LOC106787296	LOC106787296	135	1143	1005	56	461	1431	512	438	202	535
gene-LOC106787294	LOC106787294	1900	5006	4460	2172	2236	4514	4264	1718	2716	2605
gene-LOC106787279	LOC106787279	15	31	39	56	27	55	33	23	28	14
gene-LOC106787284	LOC106787284	471	1223	1290	1118	472	1439	1180	691	800	504
gene-LOC106787285	LOC106787285	0	20	16	9	1	29	14	16	7	6
