"Liostenogaster_flavolineata","Polistes_dominula"
"Lflavo2a007110","gene74"
"Lflavo2a007111","gene324"
"Lflavo2a007112","gene10773"
"Lflavo2a007114","gene7772"
"Lflavo2a007116","gene25"
"Lflavo2a007117","gene5225"
"Lflavo2a007118","gene6995"
"Lflavo2a007121","gene4601"
"Lflavo2a007123","gene4596"
"Lflavo2a007124","gene4593"
"Lflavo2a007127","gene4592"
"Lflavo2a007128","gene4597"
"Lflavo2a007129","gene6833"
"Lflavo2a007132","gene4594"
"Lflavo2a007133","gene4595"
"Lflavo2a007134","gene6832"
"Lflavo2a007136","gene1750"
"Lflavo2a007137","gene4166"
"Lflavo2a007138","gene4169"
"Lflavo2a007140","gene10116"
"Lflavo2a007141","gene853"
"Lflavo2a007142","gene10113"
"Lflavo2a007143","gene4159"
"Lflavo2a007145","gene4170"
"Lflavo2a007146","gene4165"
"Lflavo2a007149","gene4168"
"Lflavo2a007151","gene854"
"Lflavo2a007152","gene4172"
"Lflavo2a007153","gene4167"
"Lflavo2a007154","gene9096"
"Lflavo2a007155","gene4173"
"Lflavo2a007156","gene9097"
"Lflavo2a007159","gene10192"
"Lflavo2a007161","gene10115"
"Lflavo2a007166","gene4163"
"Lflavo2a007169","gene4162"
"Lflavo2a007170","gene4160"
"Lflavo2a007171","gene10193"
"Lflavo2a007173","gene896"
"Lflavo2a007175","gene855"
"Lflavo2a007177","gene10189"
"Lflavo2a007179","gene2744"
"Lflavo2a007181","gene7756"
"Lflavo2a007184","gene7762"
"Lflavo2a007185","gene7763"
"Lflavo2a007186","gene7757"
"Lflavo2a007188","gene7760"
"Lflavo2a007189","gene4279"
"Lflavo2a007190","gene7518"
"Lflavo2a007191","gene7761"
"Lflavo2a007193","gene512"
"Lflavo2a007197","gene7770"
"Lflavo2a007198","gene7759"
"Lflavo2a007200","gene4281"
"Lflavo2a007201","gene3604"
"Lflavo2a007202","gene3619"
"Lflavo2a007203","gene5989"
"Lflavo2a007204","gene7514"
"Lflavo2a007205","gene3618"
"Lflavo2a007206","gene7515"
"Lflavo2a007209","gene3605"
"Lflavo2a007210","gene4010"
"Lflavo2a007212","gene7749"
"Lflavo2a007214","gene6312"
"Lflavo2a007215","gene3488"
"Lflavo2a007216","gene522"
"Lflavo2a007219","gene510"
"Lflavo2a007220","gene7764"
"Lflavo2a007222","gene7755"
"Lflavo2a007223","gene3606"
"Lflavo2a007224","gene4278"
"Lflavo2a007226","gene3489"
"Lflavo2a007227","gene7765"
"Lflavo2a007229","gene521"
"Lflavo2a007231","gene513"
"Lflavo2a007232","gene7753"
"Lflavo2a007233","gene7516"
"Lflavo2a007234","gene7750"
"Lflavo2a007235","gene7517"
"Lflavo2a007236","gene6226"
"Lflavo2a007237","gene509"
"Lflavo2a007239","gene7766"
"Lflavo2a007240","gene3617"
"Lflavo2a007241","gene6246"
"Lflavo2a007242","gene507"
"Lflavo2a007244","gene517"
"Lflavo2a007245","gene519"
"Lflavo2a007246","gene7758"
"Lflavo2a007247","gene508"
"Lflavo2a007248","gene4011"
"Lflavo2a007250","gene7414"
"Lflavo2a007251","gene6313"
"Lflavo2a007254","gene3603"
"Lflavo2a007255","gene3487"
"Lflavo2a007256","gene7752"
"Lflavo2a007257","gene5990"
"Lflavo2a007260","gene2853"
"Lflavo2a007263","gene2747"
"Lflavo2a007266","gene515"
"Lflavo2a007267","gene7751"
"Lflavo2a007270","gene6311"
"Lflavo2a007271","gene2748"
"Lflavo2a007273","gene520"
"Lflavo2a007274","gene518"
"Lflavo2a007281","gene2544"
"Lflavo2a007282","gene5338"
"Lflavo2a007283","gene5210"
"Lflavo2a007284","gene10832"
"Lflavo2a007286","gene5336"
"Lflavo2a007289","gene2633"
"Lflavo2a007291","gene7196"
"Lflavo2a007292","gene6073"
"Lflavo2a007294","gene6065"
"Lflavo2a007296","gene5213"
"Lflavo2a007297","gene10253"
"Lflavo2a007298","gene2542"
"Lflavo2a007300","gene9325"
"Lflavo2a007301","gene6534"
"Lflavo2a007302","gene6533"
"Lflavo2a007303","gene7062"
"Lflavo2a007304","gene10255"
"Lflavo2a007306","gene608"
"Lflavo2a007307","gene7063"
"Lflavo2a007308","gene5214"
"Lflavo2a007309","gene10254"
"Lflavo2a007310","gene2545"
"Lflavo2a007311","gene5209"
"Lflavo2a007312","gene5211"
"Lflavo2a007314","gene2543"
"Lflavo2a007315","gene5339"
"Lflavo2a007316","gene6072"
"Lflavo2a007317","gene2634"
"Lflavo2a007318","gene10834"
"Lflavo2a007319","gene7195"
"Lflavo2a007320","gene6071"
"Lflavo2a007321","gene6074"
"Lflavo2a007324","gene6066"
"Lflavo2a007326","gene609"
"Lflavo2a007327","gene2632"
"Lflavo2a007329","gene10831"
"Lflavo2a007331","gene6067"
"Lflavo2a007333","gene6068"
"Lflavo2a007334","gene5212"
"Lflavo2a007335","gene2631"
"Lflavo2a007339","gene7217"
"Lflavo2a007345","gene7219"
"Lflavo2a007348","gene7218"
"Lflavo2a007349","gene8581"
"Lflavo2a007351","gene3159"
"Lflavo2a007353","gene7804"
"Lflavo2a007354","gene7605"
"Lflavo2a007355","gene7326"
"Lflavo2a007356","gene10679"
"Lflavo2a007357","gene10997"
"Lflavo2a007362","gene10604"
"Lflavo2a007389","gene8504"
"Lflavo2a007392","gene4221"
"Lflavo2a007393","gene3827"
"Lflavo2a007394","gene483"
"Lflavo2a007395","gene9731"
"Lflavo2a007399","gene3035"
"Lflavo2a007401","gene3448"
"Lflavo2a007402","gene3481"
"Lflavo2a007403","gene3447"
"Lflavo2a007404","gene5993"
"Lflavo2a007405","gene3031"
"Lflavo2a007406","gene8580"
"Lflavo2a007408","gene3034"
"Lflavo2a007409","gene3424"
"Lflavo2a007411","gene3476"
"Lflavo2a007412","gene539"
"Lflavo2a007413","gene3821"
"Lflavo2a007416","gene10410"
"Lflavo2a007418","gene3806"
"Lflavo2a007419","gene1549"
"Lflavo2a007420","gene9730"
"Lflavo2a007422","gene3480"
"Lflavo2a007423","gene7539"
"Lflavo2a007425","gene3824"
"Lflavo2a007426","gene492"
"Lflavo2a007427","gene9534"
"Lflavo2a007428","gene3033"
"Lflavo2a007430","gene4222"
"Lflavo2a007431","gene3822"
"Lflavo2a007432","gene3032"
"Lflavo2a007433","gene6913"
"Lflavo2a007434","gene1043"
"Lflavo2a007436","gene5992"
"Lflavo2a007437","gene3807"
"Lflavo2a007440","gene3423"
"Lflavo2a007441","gene4009"
"Lflavo2a007442","gene9728"
"Lflavo2a007444","gene3823"
"Lflavo2a007445","gene535"
"Lflavo2a007446","gene2609"
"Lflavo2a007450","gene493"
"Lflavo2a007453","gene3484"
"Lflavo2a007454","gene7541"
"Lflavo2a007455","gene7540"
"Lflavo2a007456","gene3483"
"Lflavo2a007457","gene3479"
"Lflavo2a007458","gene4224"
"Lflavo2a007461","gene10710"
"Lflavo2a007462","gene5991"
"Lflavo2a007463","gene5176"
"Lflavo2a007465","gene3825"
"Lflavo2a007470","gene3485"
"Lflavo2a007473","gene3477"
"Lflavo2a007474","gene6951"
"Lflavo2a007477","gene3820"
"Lflavo2a007479","gene4225"
"Lflavo2a007480","gene4223"
"Lflavo2a007496","gene10226"
"Lflavo2a007497","gene2090"
"Lflavo2a007498","gene3426"
"Lflavo2a007499","gene2094"
"Lflavo2a007500","gene3427"
"Lflavo2a007501","gene2091"
"Lflavo2a007502","gene3425"
"Lflavo2a007503","gene10444"
"Lflavo2a007505","gene2093"
"Lflavo2a007507","gene10648"
"Lflavo2a007508","gene2236"
"Lflavo2a007510","gene4844"
"Lflavo2a007512","gene4796"
"Lflavo2a007513","gene1296"
"Lflavo2a007514","gene2243"
"Lflavo2a007515","gene4790"
"Lflavo2a007516","gene1149"
"Lflavo2a007517","gene4797"
"Lflavo2a007519","gene9"
"Lflavo2a007520","gene1295"
"Lflavo2a007522","gene4792"
"Lflavo2a007524","gene2242"
"Lflavo2a007525","gene2232"
"Lflavo2a007526","gene2231"
"Lflavo2a007531","gene1150"
"Lflavo2a007533","gene5571"
"Lflavo2a007534","gene4793"
"Lflavo2a007537","gene4794"
"Lflavo2a007538","gene2427"
"Lflavo2a007540","gene1916"
"Lflavo2a007544","gene2428"
"Lflavo2a007545","gene1923"
"Lflavo2a007546","gene1913"
"Lflavo2a007547","gene1922"
"Lflavo2a007548","gene10353"
"Lflavo2a007551","gene1914"
"Lflavo2a007556","gene1924"
"Lflavo2a007557","gene1917"
"Lflavo2a007558","gene1915"
"Lflavo2a007562","gene572"
"Lflavo2a007564","gene5350"
"Lflavo2a007565","gene574"
"Lflavo2a007567","gene571"
"Lflavo2a007569","gene10105"
"Lflavo2a007570","gene1671"
"Lflavo2a007571","gene6173"
"Lflavo2a007574","gene1120"
"Lflavo2a007576","gene564"
"Lflavo2a007579","gene567"
"Lflavo2a007580","gene1679"
"Lflavo2a007581","gene5351"
"Lflavo2a007582","gene573"
"Lflavo2a007584","gene561"
"Lflavo2a007586","gene1677"
"Lflavo2a007587","gene10108"
"Lflavo2a007590","gene1119"
"Lflavo2a007593","gene8343"
"Lflavo2a007594","gene569"
"Lflavo2a007595","gene566"
"Lflavo2a007598","gene6221"
"Lflavo2a007599","gene10050"
"Lflavo2a007600","gene565"
"Lflavo2a007601","gene10104"
"Lflavo2a007603","gene562"
"Lflavo2a007604","gene570"
"Lflavo2a007608","gene10101"
"Lflavo2a007610","gene10032"
"Lflavo2a007611","gene1095"
"Lflavo2a007612","gene10111"
"Lflavo2a007613","gene10048"
"Lflavo2a007614","gene1673"
"Lflavo2a007622","gene577"
"Lflavo2a007623","gene1269"
"Lflavo2a007624","gene2885"
"Lflavo2a007625","gene1672"
"Lflavo2a007627","gene2886"
"Lflavo2a007629","gene10051"
"Lflavo2a007630","gene1674"
"Lflavo2a007632","gene1121"
"Lflavo2a007633","gene568"
"Lflavo2a007635","gene575"
"Lflavo2a007638","gene10110"
"Lflavo2a007639","gene2888"
"Lflavo2a007641","gene563"
"Lflavo2a007644","gene4936"
"Lflavo2a007645","gene9523"
"Lflavo2a007646","gene2780"
"Lflavo2a007647","gene9407"
"Lflavo2a007648","gene6096"
"Lflavo2a007651","gene9524"
"Lflavo2a007653","gene5743"
"Lflavo2a007654","gene6639"
"Lflavo2a007655","gene5728"
"Lflavo2a007656","gene3864"
"Lflavo2a007657","gene6742"
"Lflavo2a007659","gene9403"
"Lflavo2a007660","gene3869"
"Lflavo2a007664","gene9405"
"Lflavo2a007667","gene4937"
"Lflavo2a007668","gene9063"
"Lflavo2a007669","gene5726"
"Lflavo2a007671","gene6635"
"Lflavo2a007672","gene3867"
"Lflavo2a007674","gene2496"
"Lflavo2a007678","gene4933"
"Lflavo2a007679","gene6350"
"Lflavo2a007682","gene9525"
"Lflavo2a007683","gene3871"
"Lflavo2a007684","gene9411"
"Lflavo2a007685","gene6094"
"Lflavo2a007686","gene3865"
"Lflavo2a007687","gene5745"
"Lflavo2a007688","gene6636"
"Lflavo2a007690","gene6638"
"Lflavo2a007691","gene6351"
"Lflavo2a007692","gene2497"
"Lflavo2a007693","gene6637"
"Lflavo2a007695","gene4935"
"Lflavo2a007696","gene9402"
"Lflavo2a007697","gene3866"
"Lflavo2a007698","gene6634"
"Lflavo2a007700","gene3861"
"Lflavo2a007702","gene6763"
"Lflavo2a007703","gene3868"
"Lflavo2a007704","gene9404"
"Lflavo2a007705","gene5727"
"Lflavo2a007706","gene9400"
"Lflavo2a007709","gene2851"
"Lflavo2a007710","gene2494"
"Lflavo2a007711","gene3862"
"Lflavo2a007712","gene6744"
"Lflavo2a007714","gene6741"
"Lflavo2a007716","gene9410"
"Lflavo2a007719","gene9553"
"Lflavo2a007720","gene2495"
"Lflavo2a007721","gene6640"
"Lflavo2a007728","gene6927"
"Lflavo2a007729","gene3525"
"Lflavo2a007730","gene6928"
"Lflavo2a007733","gene6940"
"Lflavo2a007737","gene2270"
"Lflavo2a007738","gene415"
"Lflavo2a007739","gene2271"
"Lflavo2a007742","gene6931"
"Lflavo2a007743","gene6553"
"Lflavo2a007744","gene414"
"Lflavo2a007748","gene7280"
"Lflavo2a007749","gene6939"
"Lflavo2a007750","gene9372"
"Lflavo2a007751","gene6934"
"Lflavo2a007752","gene6930"
"Lflavo2a007755","gene7281"
"Lflavo2a007756","gene6932"
"Lflavo2a007759","gene2274"
"Lflavo2a007760","gene6929"
"Lflavo2a007762","gene6933"
"Lflavo2a007764","gene6937"
"Lflavo2a007765","gene3528"
"Lflavo2a007766","gene2276"
"Lflavo2a007767","gene6938"
"Lflavo2a007768","gene418"
"Lflavo2a007769","gene3527"
"Lflavo2a007770","gene6554"
"Lflavo2a007771","gene3526"
"Lflavo2a007772","gene419"
"Lflavo2a007774","gene544"
"Lflavo2a007775","gene991"
"Lflavo2a007778","gene545"
"Lflavo2a007779","gene989"
"Lflavo2a007781","gene1911"
"Lflavo2a007782","gene1912"
"Lflavo2a007786","gene994"
"Lflavo2a007787","gene990"
"Lflavo2a007788","gene543"
"Lflavo2a007792","gene993"
"Lflavo2a007793","gene9866"
"Lflavo2a007798","gene1909"
"Lflavo2a007800","gene1908"
"Lflavo2a007804","gene11222"
"Lflavo2a007831","gene2690"
"Lflavo2a007834","gene2706"
"Lflavo2a007835","gene2693"
"Lflavo2a007836","gene10624"
"Lflavo2a007838","gene10623"
"Lflavo2a007839","gene2701"
"Lflavo2a007840","gene2705"
"Lflavo2a007841","gene2704"
"Lflavo2a007843","gene2700"
"Lflavo2a007844","gene6717"
"Lflavo2a007845","gene2692"
"Lflavo2a007847","gene10471"
"Lflavo2a007848","gene2698"
"Lflavo2a007849","gene2707"
"Lflavo2a007850","gene10174"
"Lflavo2a007851","gene2697"
"Lflavo2a007853","gene2696"
"Lflavo2a007856","gene2699"
"Lflavo2a007857","gene10472"
"Lflavo2a007858","gene2694"
"Lflavo2a007861","gene10625"
"Lflavo2a007862","gene2695"
"Lflavo2a007863","gene8509"
"Lflavo2a007864","gene3057"
"Lflavo2a007865","gene8508"
"Lflavo2a007866","gene3059"
"Lflavo2a007867","gene3058"
"Lflavo2a007868","gene8510"
"Lflavo2a007869","gene7979"
"Lflavo2a007873","gene4813"
"Lflavo2a007874","gene2131"
"Lflavo2a007876","gene3087"
"Lflavo2a007877","gene4511"
"Lflavo2a007878","gene775"
"Lflavo2a007879","gene4269"
"Lflavo2a007880","gene8156"
"Lflavo2a007881","gene3247"
"Lflavo2a007882","gene7975"
"Lflavo2a007884","gene6186"
"Lflavo2a007886","gene2872"
"Lflavo2a007888","gene3086"
"Lflavo2a007889","gene2871"
"Lflavo2a007890","gene4351"
"Lflavo2a007892","gene5467"
"Lflavo2a007893","gene2869"
"Lflavo2a007894","gene2137"
"Lflavo2a007895","gene768"
"Lflavo2a007901","gene771"
"Lflavo2a007902","gene9202"
"Lflavo2a007905","gene6185"
"Lflavo2a007906","gene4352"
"Lflavo2a007907","gene2138"
"Lflavo2a007908","gene2135"
"Lflavo2a007909","gene2134"
"Lflavo2a007911","gene773"
"Lflavo2a007912","gene2142"
"Lflavo2a007914","gene4272"
"Lflavo2a007917","gene2141"
"Lflavo2a007919","gene2136"
"Lflavo2a007920","gene781"
"Lflavo2a007921","gene4270"
"Lflavo2a007922","gene8157"
"Lflavo2a007926","gene7984"
"Lflavo2a007927","gene4972"
"Lflavo2a007928","gene4354"
"Lflavo2a007929","gene2129"
"Lflavo2a007930","gene7980"
"Lflavo2a007931","gene4971"
"Lflavo2a007932","gene10908"
"Lflavo2a007933","gene2140"
"Lflavo2a007934","gene3083"
"Lflavo2a007935","gene7976"
"Lflavo2a007936","gene6046"
"Lflavo2a007938","gene3085"
"Lflavo2a007939","gene2143"
"Lflavo2a007942","gene767"
"Lflavo2a007943","gene774"
"Lflavo2a007944","gene6247"
"Lflavo2a007946","gene4043"
"Lflavo2a007949","gene1819"
"Lflavo2a007950","gene2369"
"Lflavo2a007951","gene2368"
"Lflavo2a007952","gene6153"
"Lflavo2a007954","gene6156"
"Lflavo2a007957","gene6142"
"Lflavo2a007959","gene4038"
"Lflavo2a007962","gene9437"
"Lflavo2a007963","gene1823"
"Lflavo2a007964","gene8649"
"Lflavo2a007965","gene4945"
"Lflavo2a007967","gene6159"
"Lflavo2a007968","gene6154"
"Lflavo2a007971","gene5253"
"Lflavo2a007973","gene6143"
"Lflavo2a007974","gene5251"
"Lflavo2a007977","gene2373"
"Lflavo2a007978","gene4032"
"Lflavo2a007979","gene4938"
"Lflavo2a007980","gene5259"
"Lflavo2a007981","gene5258"
"Lflavo2a007983","gene2371"
"Lflavo2a007984","gene4940"
"Lflavo2a007985","gene4942"
"Lflavo2a007986","gene2375"
"Lflavo2a007987","gene5249"
"Lflavo2a007989","gene1824"
"Lflavo2a007990","gene4041"
"Lflavo2a007991","gene9436"
"Lflavo2a007992","gene5250"
"Lflavo2a007993","gene2370"
"Lflavo2a007994","gene6140"
"Lflavo2a007995","gene5252"
"Lflavo2a007996","gene1818"
"Lflavo2a007997","gene4027"
"Lflavo2a007998","gene6158"
"Lflavo2a007999","gene1820"
"Lflavo2a008000","gene4031"
"Lflavo2a008001","gene6157"
"Lflavo2a008003","gene1843"
"Lflavo2a008004","gene4033"
"Lflavo2a008005","gene4943"
"Lflavo2a008006","gene6155"
"Lflavo2a008007","gene5257"
"Lflavo2a008008","gene2374"
"Lflavo2a008009","gene11096"
"Lflavo2a008011","gene4037"
"Lflavo2a008012","gene4040"
"Lflavo2a008013","gene4030"
"Lflavo2a008014","gene4944"
"Lflavo2a008016","gene1821"
"Lflavo2a008018","gene7662"
"Lflavo2a008019","gene2611"
"Lflavo2a008021","gene5031"
"Lflavo2a008022","gene1754"
"Lflavo2a008023","gene5029"
"Lflavo2a008024","gene3387"
"Lflavo2a008025","gene3386"
"Lflavo2a008026","gene1752"
"Lflavo2a008027","gene3707"
"Lflavo2a008028","gene7536"
"Lflavo2a008029","gene7538"
"Lflavo2a008030","gene5030"
"Lflavo2a008032","gene1751"
"Lflavo2a008033","gene7537"
"Lflavo2a008035","gene274"
"Lflavo2a008036","gene6115"
"Lflavo2a008039","gene8177"
"Lflavo2a008040","gene8176"
"Lflavo2a008042","gene7549"
"Lflavo2a008043","gene9371"
"Lflavo2a008044","gene7555"
"Lflavo2a008045","gene209"
"Lflavo2a008046","gene8178"
"Lflavo2a008049","gene7545"
"Lflavo2a008050","gene7554"
"Lflavo2a008051","gene7553"
"Lflavo2a008052","gene213"
"Lflavo2a008053","gene7550"
"Lflavo2a008054","gene3730"
"Lflavo2a008057","gene7557"
"Lflavo2a008058","gene6117"
"Lflavo2a008060","gene6116"
"Lflavo2a008062","gene7558"
"Lflavo2a008065","gene10548"
"Lflavo2a008066","gene6692"
"Lflavo2a008067","gene214"
"Lflavo2a008068","gene11202"
"Lflavo2a008070","gene8173"
"Lflavo2a008071","gene7547"
"Lflavo2a008072","gene8175"
"Lflavo2a008074","gene6118"
"Lflavo2a008075","gene7551"
"Lflavo2a008077","gene212"
"Lflavo2a008078","gene7544"
"Lflavo2a008079","gene8172"
"Lflavo2a008080","gene7546"
"Lflavo2a008083","gene7552"
"Lflavo2a008084","gene210"
"Lflavo2a008085","gene211"
"Lflavo2a008086","gene6114"
"Lflavo2a008095","gene10056"
"Lflavo2a008097","gene1354"
"Lflavo2a008098","gene4817"
"Lflavo2a008099","gene4821"
"Lflavo2a008100","gene4667"
"Lflavo2a008101","gene10235"
"Lflavo2a008102","gene4819"
"Lflavo2a008103","gene4100"
"Lflavo2a008104","gene10054"
"Lflavo2a008105","gene4818"
"Lflavo2a008106","gene4099"
"Lflavo2a008107","gene1355"
"Lflavo2a008108","gene4815"
"Lflavo2a008109","gene5913"
"Lflavo2a008110","gene5911"
"Lflavo2a008111","gene4669"
"Lflavo2a008112","gene3026"
"Lflavo2a008113","gene4101"
"Lflavo2a008114","gene4666"
"Lflavo2a008115","gene10236"
"Lflavo2a008116","gene1352"
"Lflavo2a008117","gene5912"
"Lflavo2a008118","gene10055"
"Lflavo2a008120","gene10058"
"Lflavo2a008121","gene4098"
"Lflavo2a008127","gene11264"
"Lflavo2a008140","gene2463"
"Lflavo2a008141","gene6887"
"Lflavo2a008142","gene2459"
"Lflavo2a008143","gene1271"
"Lflavo2a008146","gene2457"
"Lflavo2a008148","gene2460"
"Lflavo2a008149","gene1270"
"Lflavo2a008150","gene3100"
"Lflavo2a008152","gene2456"
"Lflavo2a008153","gene10589"
"Lflavo2a008154","gene2458"
"Lflavo2a008156","gene10590"
"Lflavo2a008157","gene2462"
"Lflavo2a008166","gene10591"
"Lflavo2a008171","gene2986"
"Lflavo2a008172","gene6505"
"Lflavo2a008180","gene6506"
"Lflavo2a008181","gene9589"
"Lflavo2a008182","gene2987"
"Lflavo2a008184","gene4814"
"Lflavo2a008186","gene7101"
"Lflavo2a008187","gene3734"
"Lflavo2a008189","gene6216"
"Lflavo2a008190","gene3434"
"Lflavo2a008192","gene1700"
"Lflavo2a008193","gene5556"
"Lflavo2a008194","gene3507"
"Lflavo2a008196","gene3506"
"Lflavo2a008197","gene3433"
"Lflavo2a008198","gene6211"
"Lflavo2a008199","gene7201"
"Lflavo2a008202","gene9136"
"Lflavo2a008203","gene7112"
"Lflavo2a008204","gene3501"
"Lflavo2a008205","gene7128"
"Lflavo2a008206","gene6288"
"Lflavo2a008208","gene6293"
"Lflavo2a008210","gene6214"
"Lflavo2a008211","gene8329"
"Lflavo2a008212","gene3504"
"Lflavo2a008213","gene5206"
"Lflavo2a008214","gene5775"
"Lflavo2a008217","gene10028"
"Lflavo2a008218","gene7039"
"Lflavo2a008219","gene9253"
"Lflavo2a008220","gene5680"
"Lflavo2a008221","gene47"
"Lflavo2a008225","gene7200"
"Lflavo2a008226","gene1689"
"Lflavo2a008228","gene9969"
"Lflavo2a008229","gene8060"
"Lflavo2a008230","gene7100"
"Lflavo2a008233","gene7199"
"Lflavo2a008234","gene3432"
"Lflavo2a008235","gene9267"
"Lflavo2a008236","gene6292"
"Lflavo2a008242","gene8799"
"Lflavo2a008243","gene3499"
"Lflavo2a008244","gene6290"
"Lflavo2a008245","gene1691"
"Lflavo2a008246","gene3497"
"Lflavo2a008247","gene10023"
"Lflavo2a008250","gene6209"
"Lflavo2a008251","gene1688"
"Lflavo2a008252","gene9248"
"Lflavo2a008254","gene8328"
"Lflavo2a008257","gene8968"
"Lflavo2a008258","gene6223"
"Lflavo2a008259","gene7033"
"Lflavo2a008262","gene8330"
"Lflavo2a008263","gene7320"
"Lflavo2a008265","gene7099"
"Lflavo2a008267","gene10173"
"Lflavo2a008268","gene6213"
"Lflavo2a008269","gene8954"
"Lflavo2a008270","gene6285"
"Lflavo2a008271","gene420"
"Lflavo2a008275","gene7035"
"Lflavo2a008277","gene9137"
"Lflavo2a008281","gene9971"
"Lflavo2a008282","gene5557"
"Lflavo2a008283","gene10172"
"Lflavo2a008284","gene10029"
"Lflavo2a008285","gene6287"
"Lflavo2a008286","gene9250"
"Lflavo2a008289","gene715"
"Lflavo2a008290","gene9296"
"Lflavo2a008292","gene2019"
"Lflavo2a008293","gene8967"
"Lflavo2a008294","gene716"
"Lflavo2a008296","gene5555"
"Lflavo2a008298","gene8800"
"Lflavo2a008299","gene6210"
"Lflavo2a008300","gene9022"
"Lflavo2a008301","gene4510"
"Lflavo2a008302","gene6377"
"Lflavo2a008304","gene4610"
"Lflavo2a008305","gene3391"
"Lflavo2a008306","gene6212"
"Lflavo2a008307","gene7102"
"Lflavo2a008308","gene6981"
"Lflavo2a008309","gene6215"
"Lflavo2a008310","gene3496"
"Lflavo2a008311","gene8765"
"Lflavo2a008312","gene9968"
"Lflavo2a008313","gene6291"
"Lflavo2a008315","gene6235"
"Lflavo2a008317","gene8970"
"Lflavo2a008319","gene8952"
"Lflavo2a008320","gene8061"
"Lflavo2a008321","gene5691"
"Lflavo2a008322","gene1690"
"Lflavo2a008323","gene7031"
"Lflavo2a008324","gene7098"
"Lflavo2a008326","gene10030"
"Lflavo2a008328","gene3592"
"Lflavo2a008331","gene2708"
"Lflavo2a008332","gene9295"
"Lflavo2a008333","gene5774"
"Lflavo2a008334","gene6234"
"Lflavo2a008336","gene6289"
"Lflavo2a008338","gene3740"
"Lflavo2a008339","gene10025"
"Lflavo2a008340","gene3508"
"Lflavo2a008341","gene9249"
"Lflavo2a008344","gene3498"
"Lflavo2a008345","gene10022"
"Lflavo2a008347","gene9138"
"Lflavo2a008348","gene3500"
"Lflavo2a008349","gene10024"
"Lflavo2a008350","gene4612"
"Lflavo2a008352","gene7034"
"Lflavo2a008353","gene9967"
"Lflavo2a008355","gene11043"
"Lflavo2a008356","gene714"
"Lflavo2a008357","gene8971"
"Lflavo2a008358","gene9252"
"Lflavo2a008359","gene10021"
"Lflavo2a008363","gene5185"
"Lflavo2a008364","gene5184"
"Lflavo2a008365","gene6502"
"Lflavo2a008368","gene4422"
"Lflavo2a008369","gene6503"
"Lflavo2a008370","gene8507"
"Lflavo2a008371","gene5183"
"Lflavo2a008372","gene3928"
"Lflavo2a008374","gene4132"
"Lflavo2a008375","gene440"
"Lflavo2a008376","gene6504"
"Lflavo2a008382","gene5014"
"Lflavo2a008387","gene5013"
"Lflavo2a008391","gene5016"
"Lflavo2a008393","gene5012"
"Lflavo2a008398","gene5007"
"Lflavo2a008416","gene1126"
"Lflavo2a008417","gene93"
"Lflavo2a008418","gene8199"
"Lflavo2a008419","gene35"
"Lflavo2a008421","gene7010"
"Lflavo2a008423","gene4054"
"Lflavo2a008424","gene7005"
"Lflavo2a008427","gene91"
"Lflavo2a008428","gene7011"
"Lflavo2a008429","gene40"
"Lflavo2a008431","gene7009"
"Lflavo2a008432","gene89"
"Lflavo2a008434","gene9914"
"Lflavo2a008435","gene8204"
"Lflavo2a008436","gene39"
"Lflavo2a008437","gene4052"
"Lflavo2a008438","gene94"
"Lflavo2a008439","gene36"
"Lflavo2a008440","gene90"
"Lflavo2a008442","gene4053"
"Lflavo2a008448","gene8201"
"Lflavo2a008449","gene7006"
"Lflavo2a008451","gene1125"
"Lflavo2a008452","gene97"
"Lflavo2a008453","gene9913"
"Lflavo2a008454","gene9893"
"Lflavo2a008455","gene9894"
"Lflavo2a008456","gene6548"
"Lflavo2a008459","gene8203"
"Lflavo2a008460","gene88"
"Lflavo2a008461","gene9895"
"Lflavo2a008465","gene8884"
"Lflavo2a008466","gene7008"
"Lflavo2a008468","gene8883"
"Lflavo2a008470","gene9892"
"Lflavo2a008471","gene42"
"Lflavo2a008472","gene4051"
"Lflavo2a008473","gene37"
"Lflavo2a008476","gene8205"
"Lflavo2a008480","gene1127"
"Lflavo2a008481","gene41"
"Lflavo2a008482","gene32"
"Lflavo2a008483","gene92"
"Lflavo2a008484","gene38"
"Lflavo2a008485","gene1128"
"Lflavo2a008486","gene7012"
"Lflavo2a008488","gene8198"
"Lflavo2a008489","gene7007"
"Lflavo2a008490","gene8202"
"Lflavo2a008491","gene43"
"Lflavo2a008492","gene44"
"Lflavo2a008493","gene6549"
"Lflavo2a008495","gene8763"
"Lflavo2a008498","gene8761"
"Lflavo2a008499","gene8766"
"Lflavo2a008500","gene8762"
"Lflavo2a008501","gene8764"
"Lflavo2a008502","gene8759"
"Lflavo2a008503","gene8758"
"Lflavo2a008507","gene4"
"Lflavo2a008508","gene6586"
"Lflavo2a008511","gene6587"
"Lflavo2a008514","gene9817"
"Lflavo2a008516","gene8429"
"Lflavo2a008520","gene5202"
"Lflavo2a008521","gene8427"
"Lflavo2a008522","gene4212"
"Lflavo2a008524","gene8431"
"Lflavo2a008525","gene758"
"Lflavo2a008526","gene4626"
"Lflavo2a008527","gene1433"
"Lflavo2a008529","gene7990"
"Lflavo2a008531","gene8539"
"Lflavo2a008533","gene8294"
"Lflavo2a008534","gene9974"
"Lflavo2a008535","gene4288"
