Orthogroup	Liostenogaster_flavolineata	Drosophila_melanogaster
OG0002354	Lflavo2a010174P1	NP_001261324.1, NP_647713.2, NP_001261323.1, NP_647711.1, NP_728735.2
OG0002355	Lflavo2a012900P1	NP_001246857.1, NP_524194.3, NP_001262139.1, NP_001262138.1, NP_001262137.1
OG0002356	Lflavo2a004358P1	NP_001262112.1, NP_649227.2
OG0002357	Lflavo2a009205P3, Lflavo2a009205P6, Lflavo2a009205P5, Lflavo2a009205P4, Lflavo2a009205P1, Lflavo2a009205P2	NP_609899.1
OG0002358	Lflavo2a012737P1	NP_477415.1
OG0002359	Lflavo2a009419P1	NP_001287100.1, NP_648999.2
OG0002360	Lflavo2a003813P1, Lflavo2a003813P2	NP_001163417.1, NP_729724.2, NP_648482.3, NP_729723.2
OG0002361	Lflavo2a009244P1	NP_573175.2, NP_996493.1
OG0002362	Lflavo2a011218P1	NP_001027225.1, NP_001027226.1, NP_001027227.1, NP_001285748.1, NP_001245944.1
OG0002363	Lflavo2a002608P1	NP_649912.1, NP_001163571.1, NP_649913.1, NP_731376.1, NP_001262425.1
OG0002364	Lflavo2a013490P2	NP_001097940.1, NP_001287554.1, NP_651527.3, NP_733186.2
OG0002365	Lflavo2a012235P1, Lflavo2a012222P1	NP_648077.1, NP_648420.1
OG0002367	Lflavo2a011211P1	NP_001027078.1, NP_001285462.1
OG0002368	Lflavo2a002395P1	NP_001245534.1, NP_524792.1, NP_001284901.1
OG0002370	Lflavo2a004922P1	NP_001246867.1, NP_524704.1, NP_730653.1, NP_572970.1
OG0002371	Lflavo2a004223P1	NP_001162944.1, NP_609459.1
OG0002372	Lflavo2a011932P1	NP_477105.2, NP_726829.1
OG0002373	Lflavo2a012107P1, Lflavo2a012130P1	NP_651257.1
OG0002374	Lflavo2a010418P1, Lflavo2a010418P2	NP_001261214.1, NP_612037.1
OG0002376	Lflavo2a012282P1	NP_001259100.1, NP_726680.1, NP_726681.1, NP_001259101.1, NP_525034.2, NP_726679.1
OG0002377	Lflavo2a012162P1	NP_647878.1
OG0002378	Lflavo2a000541P1	NP_001188830.1, NP_001188831.1, NP_001286017.1, NP_523592.1
OG0002379	Lflavo2a009480P1	NP_650940.2
OG0002380	Lflavo2a003820P1	NP_611791.2, NP_001097433.1, NP_726322.1
OG0002382	Lflavo2a003470P1, Lflavo2a003466P1	NP_611126.1, NP_611131.2
OG0002383	Lflavo2a001355P1, Lflavo2a001347P1	NP_001261582.1, NP_648233.1, NP_001261583.1
OG0002384	Lflavo2a005568P1	NP_001246827.1, NP_649065.1, NP_611609.1
OG0002388	Lflavo2a000926P1	NP_611945.3
OG0002389	Lflavo2a011088P1	NP_001287218.1, NP_649749.2
OG0002390	Lflavo2a010386P1	NP_609655.2
OG0002391	Lflavo2a006585P1	NP_001163711.1, NP_477163.1, NP_732959.1, NP_477361.1
OG0002393	Lflavo2a008252P1	NP_725748.1, NP_001163185.1, NP_476751.1
OG0002394	Lflavo2a010227P1	NP_001262356.1, NP_001262354.2, NP_001262355.1, NP_649752.2
OG0002395	Lflavo2a007501P2, Lflavo2a007501P3	NP_001284832.1, NP_570018.1
OG0002397	Lflavo2a012606P1	NP_725374.1, NP_725375.1
OG0002398	Lflavo2a012746P1	NP_001246866.1, NP_001262155.1, NP_001262156.1, NP_649312.1
OG0002399	Lflavo2a009038P1	NP_001286037.1, NP_609876.2, NP_001284950.1, NP_727103.1
OG0002400	Lflavo2a003781P2, Lflavo2a003781P1, Lflavo2a003781P3	NP_733229.2, NP_001263027.1, NP_524534.1, NP_001263028.1
OG0002401	Lflavo2a007240P1	NP_001097040.1, NP_001259748.1, NP_001259750.1, NP_608422.1
OG0002402	Lflavo2a011632P1	NP_649574.1
OG0002404	Lflavo2a001104P1	NP_001260838.1, NP_610534.3
OG0002405	Lflavo2a011723P1	NP_001285239.1, NP_727781.1
OG0002406	Lflavo2a005116P1	NP_001036449.1, NP_001036448.1, NP_001260702.1, NP_001260701.1
OG0002407	Lflavo2a000749P1, Lflavo2a000749P2	NP_648050.1, NP_729177.1
OG0002408	Lflavo2a004908P1	NP_730290.3, NP_001246817.1, NP_996118.1, NP_524858.1
OG0002410	Lflavo2a006609P1	NP_728586.1, NP_728587.1
OG0002412	Lflavo2a012308P1, Lflavo2a012308P2	NP_612097.1, NP_728590.1
OG0002413	Lflavo2a001178P1	NP_001014554.1, NP_001286876.1, NP_523865.2, NP_665704.1, NP_611994.3
OG0002416	Lflavo2a013218P1	NP_511049.1
OG0002417	Lflavo2a012525P1	NP_001162723.1, NP_001162724.1, NP_996411.2
OG0002418	Lflavo2a014175P1	NP_001259501.1, NP_511142.2, NP_001285182.1, NP_001259500.1, NP_727661.1, NP_001368981.1, NP_001368982.1
OG0002419	Lflavo2a008716P1, Lflavo2a006020P1	NP_001261065.1, NP_611290.3
OG0002420	Lflavo2a001934P1	NP_001259562.1, NP_001285265.1, NP_001096984.1, NP_573006.1
OG0002421	Lflavo2a013604P1, Lflavo2a008615P1	NP_651415.1
OG0002422	Lflavo2a005948P1, Lflavo2a005948P2	NP_524182.3
OG0002423	Lflavo2a002068P1	NP_476739.1, NP_001261288.1, NP_001261286.1, NP_001261287.1
OG0002424	Lflavo2a010541P1	NP_001285651.1, NP_523489.1
OG0002426	Lflavo2a011721P1	NP_001262574.1, NP_731926.1, NP_001262575.1
OG0002428	Lflavo2a005662P1	NP_001285729.1, NP_787994.1
OG0002429	Lflavo2a003032P1, Lflavo2a003032P2	NP_001014621.1, NP_476770.1, NP_599108.1, NP_476769.1, NP_599109.1
OG0002430	Lflavo2a000370P1	NP_723207.1, NP_001260151.1, NP_001260152.1, NP_001260150.1, NP_477396.1, NP_001036341.2
OG0002431	Lflavo2a014285P1	NP_001163764.1, NP_001138119.2, NP_001163765.1
OG0002433	Lflavo2a013171P1	NP_001163012.2, NP_476607.2, NP_724165.1
OG0002434	Lflavo2a003586P1	NP_001285868.1, NP_723725.1, NP_524839.3, NP_723726.1
OG0002435	Lflavo2a011633P1, Lflavo2a011633P2, Lflavo2a011633P4, Lflavo2a011633P5, Lflavo2a011633P3	NP_001285016.1, NP_572474.2
OG0002437	Lflavo2a007286P1	NP_001246539.1, NP_001286893.1, NP_612067.2
OG0002439	Lflavo2a001464P1, Lflavo2a013522P1	NP_001246637.1, NP_647958.1
OG0002440	Lflavo2a009080P1	NP_727023.1, NP_001259258.1, NP_001284906.1
OG0002441	Lflavo2a002697P1, Lflavo2a002697P2, Lflavo2a002697P3	NP_001097186.2, NP_001163030.1, NP_001286119.1, NP_524708.1, NP_650042.2
OG0002442	Lflavo2a010887P1	NP_001261396.1, NP_523914.2, NP_728930.1, NP_728931.1
OG0002443	Lflavo2a009850P1	NP_001285280.1, NP_996440.2
OG0002444	Lflavo2a012723P1	NP_001260132.1, NP_001285672.1, NP_609028.2
OG0002445	Lflavo2a014027P1	NP_001137799.1, NP_001188744.1, NP_723441.2, NP_723442.2
OG0002446	Lflavo2a003119P1, Lflavo2a003119P2	NP_651081.1
OG0002447	Lflavo2a009594P1	NP_650924.3
OG0002448	Lflavo2a009717P1	NP_001286472.1, NP_611079.2
OG0002450	Lflavo2a000434P1	NP_001188908.1, NP_524720.2, NP_608789.1, NP_524747.1, NP_001285599.1, NP_477102.1
OG0002451	Lflavo2a002411P1	NP_523511.2, NP_995656.1
OG0002452	Lflavo2a009375P1	NP_001246695.1, NP_648305.1
OG0002453	Lflavo2a005012P1	NP_001246057.1, NP_001260530.1, NP_724056.1, NP_001260531.1
OG0002454	Lflavo2a011096P1	NP_001286033.1, NP_001286034.1, NP_609872.1
OG0002456	Lflavo2a004197P1	NP_523762.2, NP_725587.1, NP_725588.1, NP_788381.1
OG0002457	Lflavo2a006536P1	NP_731085.2, NP_649655.1, NP_731083.1, NP_731084.1, NP_001262316.1
OG0002458	Lflavo2a006385P1	NP_001259723.1, NP_001259724.1, NP_608341.1
OG0002459	Lflavo2a005260P1	NP_477507.1, NP_599130.1, NP_995856.2, NP_725586.1
OG0002460	Lflavo2a008068P1	NP_523739.2
OG0002461	Lflavo2a000548P1	NP_001261508.1, NP_001261509.1, NP_648107.3
OG0002462	Lflavo2a002438P1	NP_001247095.1, NP_001247096.1, NP_731895.1, NP_001247097.1, NP_001287325.1, NP_650352.1, NP_731894.1
OG0002463	Lflavo2a008572P1	NP_001188534.1, NP_001259170.1, NP_001259171.1, NP_569970.2, NP_001188535.1, NP_001188536.1
OG0002465	Lflavo2a002888P1	NP_001137924.1, NP_001137925.1, NP_523987.1, NP_729441.1, NP_729442.1
OG0002466	Lflavo2a007292P1	NP_573341.1, NP_001097027.1, NP_001285421.1
OG0002468	Lflavo2a005987P1, Lflavo2a005887P1	NP_610875.1, NP_001246297.1, NP_001246298.1
OG0002469	Lflavo2a005384P1, Lflavo2a005384P2	NP_649341.1, NP_001189153.1, NP_001262183.1
OG0002470	Lflavo2a004304P1	NP_001262801.1, NP_524430.1, NP_001262802.1
OG0002471	Lflavo2a009076P1, Lflavo2a009067P1, Lflavo2a009067P2	NP_650457.2, NP_650456.2, NP_732023.2
OG0002472	Lflavo2a008511P1, Lflavo2a008511P2	NP_651959.1, NP_001163749.1, NP_001163750.1
OG0002473	Lflavo2a009263P1	NP_001036773.1, NP_001036772.2, NP_651742.2
OG0002474	Lflavo2a004738P1	NP_001303410.1, NP_001303411.1, NP_729555.4
OG0002475	Lflavo2a003651P1	NP_001188684.1, NP_001259931.1, NP_608675.1, NP_001259930.1, NP_608674.1
OG0002476	Lflavo2a008008P1, Lflavo2a008008P2, Lflavo2a008008P3	NP_001261408.1, NP_523919.1
OG0002477	Lflavo2a009245P1	NP_001261440.1, NP_523933.3, NP_729059.2, NP_729060.2
OG0002479	Lflavo2a009723P1	NP_523921.3, NP_001261409.1, NP_728960.1, NP_728961.2
OG0002480	Lflavo2a011330P1	NP_650433.1
OG0002481	Lflavo2a004606P1, Lflavo2a004606P2	NP_996287.1, NP_733022.2, NP_001287508.1, NP_001262922.1, NP_001262923.1, NP_651275.1
OG0002482	Lflavo2a008058P1	NP_001259182.1, NP_525045.3, NP_001259183.2
OG0002484	Lflavo2a012150P1	NP_001259308.1, NP_572383.1
OG0002485	Lflavo2a012271P1	NP_648451.1, NP_729687.1
OG0002486	Lflavo2a003642P1	NP_001259154.1, NP_001259155.1, NP_726780.1, NP_569963.1, NP_726779.1
OG0002487	Lflavo2a010097P1	NP_572987.1
OG0002488	Lflavo2a010131P1	NP_572981.1
OG0002489	Lflavo2a010080P1	NP_001259554.1, NP_511157.2, NP_727799.1
OG0002490	Lflavo2a001285P1	NP_001286578.1, NP_611352.1
OG0002493	Lflavo2a003226P3, Lflavo2a003226P1, Lflavo2a003226P4, Lflavo2a003226P2, Lflavo2a003226P5, Lflavo2a003226P6	NP_001027571.3, NP_001259924.2
OG0002494	Lflavo2a003242P1, Lflavo2a003175P1	NP_001285040.1, NP_572539.2, NP_001014717.1, NP_001284812.1, NP_001014718.1, NP_001284811.1
OG0002495	Lflavo2a002822P1	NP_001287159.1, NP_001246908.1, NP_649483.1, NP_730861.1, NP_001262258.1
OG0002496	Lflavo2a011036P1	NP_001034005.2, NP_001287062.1, NP_648659.2
OG0002497	Lflavo2a010974P3, Lflavo2a010974P2, Lflavo2a010974P1, Lflavo2a010974P4	NP_728083.2, NP_001285375.1, NP_573221.2, NP_728082.2
OG0002498	Lflavo2a012674P1	NP_001262766.1, NP_001262768.1, NP_001262767.1, NP_001262765.1, NP_001163665.1, NP_524724.2
OG0002499	Lflavo2a011739P1	NP_524341.3
OG0002500	Lflavo2a006724P1	NP_001261605.1, NP_001261606.1, NP_001261607.1, NP_001261604.1, NP_001261603.1
OG0002501	Lflavo2a007864P1	NP_648366.2, NP_729565.2, NP_729566.2, NP_729567.2
OG0002502	Lflavo2a003617P1	NP_001246226.2, NP_001246225.1, NP_610488.1, NP_724789.1, NP_724790.1
OG0002504	Lflavo2a001584P1	NP_648992.1
OG0002506	Lflavo2a001608P1	NP_001162962.1, NP_001260402.1, NP_723730.2
OG0002507	Lflavo2a012592P1	NP_652016.1
OG0002508	Lflavo2a013581P1	NP_001096922.1, NP_001245592.1, NP_001285051.1, NP_001096921.1, NP_001285052.1, NP_727339.3
OG0002509	Lflavo2a003568P1	NP_001259601.1, NP_523365.2, NP_727946.2
OG0002510	Lflavo2a012609P1	NP_649530.2, NP_730923.1
OG0002511	Lflavo2a005533P1	NP_652664.2, NP_723704.1
OG0002512	Lflavo2a007315P1	NP_001287502.1, NP_651247.1
OG0002513	Lflavo2a000480P1	NP_523573.1, NP_723907.1, NP_723908.2
OG0002514	Lflavo2a012563P1, Lflavo2a012563P2	NP_608550.1
OG0002515	Lflavo2a003210P1, Lflavo2a003210P2	NP_001188892.1, NP_610459.2, NP_001286229.1, NP_001286230.1, NP_724757.2
OG0002516	Lflavo2a000675P1	NP_001356961.1, NP_523687.1
OG0002517	Lflavo2a009026P1, Lflavo2a009026P2	NP_001097798.1
OG0002518	Lflavo2a004279P1	NP_001189139.2, NP_001287127.1, NP_649204.2, NP_730510.2
OG0002519	Lflavo2a012954P1	NP_001284750.1, NP_476629.1, NP_726686.1, NP_726687.1, NP_726688.1
OG0002520	Lflavo2a002577P1	NP_995783.1
OG0002523	Lflavo2a012345P1	NP_610599.3
OG0002524	Lflavo2a002730P1	NP_650304.2, NP_731849.2, NP_731850.2
OG0002525	Lflavo2a005194P1	NP_647948.1
OG0002526	Lflavo2a004157P2	NP_611962.2
OG0002527	Lflavo2a007088P1	NP_001246141.1, NP_652101.2
OG0002528	Lflavo2a008562P1	NP_648464.1, NP_729701.1, NP_001259631.1, NP_573177.1
OG0002529	Lflavo2a005054P1	NP_001245567.1, NP_572404.1
OG0002530	Lflavo2a005204P1	NP_001259809.1, NP_608507.1, NP_722619.1
OG0002531	Lflavo2a011572P1	NP_001287284.1, NP_650068.1
OG0002532	Lflavo2a003184P1	NP_001259060.1, NP_001284715.1, NP_651925.1
OG0002533	Lflavo2a003090P1	NP_001285413.1, NP_001162791.1, NP_001285412.1, NP_001285411.1, NP_573313.2
OG0002534	Lflavo2a010186P1	NP_001247326.1, NP_001263009.1, NP_524886.2, NP_001097946.1, NP_001263010.1
OG0002535	Lflavo2a006897P1, Lflavo2a006897P2	NP_001263054.1, NP_476893.1
OG0002536	Lflavo2a000219P1	NP_724800.1, NP_724801.2
OG0002537	Lflavo2a009234P1, Lflavo2a009234P3	NP_001014477.1, NP_001285698.1, NP_523497.2
OG0002538	Lflavo2a004654P1	NP_001162844.1, NP_001162845.1, NP_477427.1
OG0002539	Lflavo2a004656P1, Lflavo2a004683P1, Lflavo2a004675P1	NP_001097107.1, NP_001285706.1, NP_001097108.1, NP_001097109.2
OG0002540	Lflavo2a013851P1	NP_523794.1, NP_725894.1
OG0002541	Lflavo2a001883P1	NP_001261320.1, NP_620469.2
OG0002542	Lflavo2a010987P2, Lflavo2a010987P3, Lflavo2a010987P1	NP_001286822.1, NP_611883.1, NP_726422.1
OG0002543	Lflavo2a008746P1	NP_650632.1, NP_732243.1, NP_001262670.1, NP_001262671.1
OG0002544	Lflavo2a007000P1, Lflavo2a011397P1	NP_572435.1, NP_001261723.1, NP_648497.2
OG0002545	Lflavo2a004955P1	NP_001162697.1, NP_511076.3, NP_727226.1, NP_727227.1
OG0002547	Lflavo2a009243P1	NP_001284912.1, NP_572274.1
OG0002548	Lflavo2a013365P1	NP_476702.1
OG0002549	Lflavo2a010770P1	NP_611561.1
OG0002550	Lflavo2a013577P2, Lflavo2a013577P1, Lflavo2a013577P3	NP_001097630.2, NP_001189123.1, NP_648942.1, NP_730228.1, NP_730229.1
OG0002552	Lflavo2a007684P1	NP_001137802.1, NP_523495.2, NP_001137803.1, NP_001260148.1
OG0002553	Lflavo2a000368P1	NP_001285006.1, NP_511079.1
OG0002554	Lflavo2a009756P1	NP_001259859.1, NP_608582.2, NP_608583.5, NP_722689.4
OG0002555	Lflavo2a002417P1	NP_001188732.1, NP_001260266.1, NP_001260267.1, NP_001188731.1, NP_609243.3, NP_723407.2
OG0002556	Lflavo2a013878P1	NP_001137630.2, NP_610537.2, NP_001286259.1
OG0002557	Lflavo2a009999P1	NP_001245916.1, NP_001285693.1, NP_523496.1
OG0002558	Lflavo2a006657P1	NP_001285107.1, NP_572681.1, NP_649725.2
OG0002560	Lflavo2a008460P1	NP_649790.1
OG0002561	Lflavo2a007874P1	NP_001246314.1, NP_725341.1, NP_725342.1, NP_523734.1
OG0002562	Lflavo2a012284P1	NP_001163512.1, NP_649578.1
OG0002563	Lflavo2a010947P1, Lflavo2a010947P3	NP_001286906.1, NP_652729.2
OG0002564	Lflavo2a013634P1, Lflavo2a013634P2	NP_726947.1, NP_572181.4, NP_726946.1, NP_726945.1
OG0002565	Lflavo2a013603P1	NP_651316.1
OG0002566	Lflavo2a004824P1	NP_001260451.1, NP_609677.1
OG0002567	Lflavo2a007355P1	NP_001285437.1, NP_728244.1
OG0002568	Lflavo2a004977P1	NP_651251.3
OG0002569	Lflavo2a005080P1	NP_001259854.1, NP_608568.1, NP_722679.1
OG0002570	Lflavo2a005936P1	NP_001245954.1, NP_609313.2
OG0002571	Lflavo2a010122P1	NP_001259837.1, NP_608534.2
OG0002573	Lflavo2a003976P1	NP_001097155.2, NP_001260430.1
OG0002574	Lflavo2a002943P1	NP_001014559.1, NP_001014560.1, NP_647897.2
OG0002575	Lflavo2a006429P3, Lflavo2a006429P1, Lflavo2a006429P2, Lflavo2a006429P4	NP_001033847.1, NP_523362.2
OG0002578	Lflavo2a007534P1	NP_001285068.1, NP_511101.2, NP_727374.1, NP_001286499.1, NP_477081.1
OG0002579	Lflavo2a004382P1, Lflavo2a004382P2	NP_610351.1
OG0002581	Lflavo2a013540P1	NP_001286865.1, NP_001286866.1, NP_611987.3
OG0002582	Lflavo2a010405P1, Lflavo2a010405P2, Lflavo2a010432P1	NP_001262100.1, NP_649194.1, NP_730497.1
OG0002583	Lflavo2a001497P1	NP_724982.1
OG0002584	Lflavo2a003768P1, Lflavo2a003768P2	NP_524850.2
OG0002585	Lflavo2a014222P1	NP_001036415.2, NP_001036416.1, NP_001260695.1, NP_001036417.1
OG0002586	Lflavo2a004478P1	NP_001189267.1, NP_651079.2
OG0002587	Lflavo2a002980P1	NP_001262963.1, NP_651410.1
OG0002589	Lflavo2a013598P1, Lflavo2a013598P2	NP_572246.1
OG0002590	Lflavo2a002545P1	NP_001285827.1, NP_477287.1, NP_477288.3
OG0002591	Lflavo2a000001P1	NP_001262646.1, NP_536740.1
OG0002592	Lflavo2a010588P1, Lflavo2a010588P2	NP_001285314.1, NP_001285315.1, NP_523361.1, NP_727925.1, NP_727926.2, NP_996482.1
OG0002593	Lflavo2a012193P1	NP_001245453.1, NP_569853.1
OG0002594	Lflavo2a001079P1	NP_523890.2, NP_728757.1
OG0002597	Lflavo2a011683P1, Lflavo2a011683P2	NP_001246972.1, NP_524271.2, NP_523949.2, NP_729191.1
OG0002599	Lflavo2a012883P1	NP_001261699.1, NP_648435.1
OG0002600	Lflavo2a002005P1	NP_524648.3, NP_608768.2, NP_995622.1
OG0002601	Lflavo2a007419P1	NP_647640.1
OG0002602	Lflavo2a003293P1	NP_001097179.1, NP_609937.1
OG0002603	Lflavo2a002075P2, Lflavo2a002075P3	NP_572771.1
OG0002606	Lflavo2a005253P3	NP_001369043.1, NP_001097570.2, NP_001261669.1, NP_001368964.1
OG0002607	Lflavo2a012862P1	NP_001286051.1, NP_001260541.1, NP_001260542.1, NP_523597.2
OG0002609	Lflavo2a008194P1	NP_523749.2, NP_001286199.1, NP_610389.3, NP_610390.1
OG0002610	Lflavo2a012055P1	NP_001246793.1, NP_648888.1, NP_730160.1, NP_730161.1
OG0002612	Lflavo2a003943P1	NP_001287171.1, NP_730906.1, NP_649525.1, NP_730908.1
OG0002613	Lflavo2a012274P1	NP_001286488.1, NP_524711.1, NP_725567.1, NP_725568.1, NP_725569.1, NP_725570.1
OG0002614	Lflavo2a008643P1	NP_001033853.1, NP_001259673.1, NP_001259674.1, NP_573271.1, NP_001259675.1, NP_525093.1, NP_996501.1, NP_996502.1
OG0002617	Lflavo2a010102P1, Lflavo2a010102P2	NP_649789.1
OG0002619	Lflavo2a008901P1	NP_610453.1
OG0002620	Lflavo2a010151P1, Lflavo2a006384P1	NP_001368937.1
OG0002621	Lflavo2a009198P1	NP_001246361.1, NP_477160.1, NP_788370.1, NP_995852.1
OG0002624	Lflavo2a006612P1	NP_001097307.1, NP_001286417.1, NP_610952.1, NP_725378.2
OG0002625	Lflavo2a012304P1	NP_001014616.2
OG0002626	Lflavo2a011818P1	NP_001285680.1, NP_609049.1
OG0002627	Lflavo2a008538P1, Lflavo2a008538P2	NP_001262483.1, NP_650110.3
OG0002628	Lflavo2a001981P1	NP_001036438.1, NP_001163051.1, NP_001286135.1
OG0002629	Lflavo2a003086P1	NP_610943.2
OG0002630	Lflavo2a008152P1	NP_001285489.1, NP_001285490.1, NP_001303570.1, NP_524803.1, NP_728342.1
OG0002632	Lflavo2a006433P1	NP_001259610.1, NP_001259611.1, NP_573124.1
OG0002633	Lflavo2a000221P1, Lflavo2a000221P2	NP_001247184.1, NP_650752.2
OG0002634	Lflavo2a009809P1	NP_001285655.1, NP_001285656.1, NP_608985.1, NP_723150.1
OG0002635	Lflavo2a009136P1	NP_573147.2, NP_728003.1, NP_728004.1, NP_728005.1, NP_728006.1, NP_728007.1, NP_996489.1
OG0002636	Lflavo2a001926P1	NP_001162837.1, NP_001245813.1, NP_001259788.1, NP_001162838.1, NP_608487.1
OG0002637	Lflavo2a011434P1	NP_649278.1
OG0002638	Lflavo2a008662P1	NP_001261503.1, NP_648093.2
OG0002639	Lflavo2a002899P1	NP_001027087.1, NP_001027088.1, NP_001259770.1, NP_001259771.1
OG0002640	Lflavo2a008918P1	NP_001285001.1, NP_001285002.1, NP_525005.2, NP_996373.1
OG0002641	Lflavo2a002908P1	NP_001014576.1, NP_523964.2, NP_001014574.1, NP_729294.2, NP_996021.2
OG0002643	Lflavo2a005582P1	NP_001287185.1, NP_001287186.1, NP_649577.1
OG0002644	Lflavo2a007737P1	NP_788855.1, NP_001284845.1, NP_001284846.1, NP_788856.1, NP_788857.1
OG0002645	Lflavo2a004107P2	NP_477268.2
OG0002647	Lflavo2a014321P1, Lflavo2a014321P2	NP_001287619.1, NP_733425.1
OG0002648	Lflavo2a011935P1	NP_001261733.1, NP_648535.2
OG0002649	Lflavo2a005500P1	NP_727360.1, NP_001259388.1, NP_001096927.2, NP_572579.3
OG0002650	Lflavo2a013606P1, Lflavo2a013606P2, Lflavo2a013606P3	NP_609069.1
OG0002651	Lflavo2a008429P1, Lflavo2a008429P2	NP_726444.2, NP_001137753.1, NP_001286843.1, NP_001137754.1
OG0002652	Lflavo2a000921P1	NP_001262662.1, NP_650611.2
OG0002653	Lflavo2a005466P2	NP_724606.1, NP_001246193.1, NP_523652.2
OG0002654	Lflavo2a011557P1	NP_001259217.1, NP_001259218.1, NP_726871.1
OG0002655	Lflavo2a005007P1	NP_001286257.1, NP_610531.1, NP_001286258.1
OG0002656	Lflavo2a013746P1, Lflavo2a013746P2, Lflavo2a013746P3	NP_001262496.1, NP_001262497.1, NP_650162.1
OG0002657	Lflavo2a006494P1	NP_001245739.1, NP_573286.1, NP_727344.1, NP_727345.1
OG0002658	Lflavo2a008296P1	NP_001261940.1, NP_001261941.1, NP_648886.1
OG0002659	Lflavo2a005238P1	NP_001246815.1, NP_648977.3, NP_730270.1
OG0002660	Lflavo2a010735P1	NP_001260309.1, NP_001285786.1, NP_788019.1
OG0002663	Lflavo2a009309P1, Lflavo2a009309P2	NP_001259780.1, NP_608468.1
OG0002664	Lflavo2a004906P1, Lflavo2a004906P3, Lflavo2a004906P2	NP_001286047.1, NP_001286046.1, NP_609886.1
OG0002665	Lflavo2a010209P1	NP_649732.1
OG0002666	Lflavo2a012518P1	NP_001286120.1, NP_620114.3
OG0002667	Lflavo2a004548P1	NP_001163722.1, NP_001163723.1, NP_001163724.1, NP_001163725.1, NP_001163726.1, NP_001287521.1, NP_651342.3
OG0002668	Lflavo2a010467P6, Lflavo2a010467P2, Lflavo2a010467P1, Lflavo2a010467P4, Lflavo2a010467P3, Lflavo2a010467P8, Lflavo2a010467P7, Lflavo2a010467P5	NP_648758.1
OG0002669	Lflavo2a007136P1	NP_001138102.1, NP_001138101.1, NP_001138103.2, NP_732884.2, NP_788724.1, NP_001356923.1
OG0002670	Lflavo2a000666P1	NP_001246151.1, NP_610229.1
OG0002671	Lflavo2a007973P1	NP_001286131.1, NP_788082.1, NP_788083.1
OG0002672	Lflavo2a002251P1	NP_001138150.1, NP_726868.1, NP_001284839.1, NP_570061.1
OG0002673	Lflavo2a011828P1	NP_001245409.1, NP_651906.1, NP_726542.1, NP_726543.1, NP_726544.1, NP_726546.1
OG0002674	Lflavo2a009719P1	NP_647811.2, NP_728876.1
OG0002675	Lflavo2a005985P1	NP_524238.1, NP_730958.1, NP_730959.1, NP_730960.1, NP_730961.1, NP_730962.1, NP_730963.1
OG0002676	Lflavo2a000207P1	NP_731237.1, NP_731238.1
OG0002677	Lflavo2a002194P1	NP_523844.2, NP_726440.1
OG0002678	Lflavo2a003477P3, Lflavo2a003477P2, Lflavo2a003477P1, Lflavo2a003477P4	NP_001261818.1, NP_648680.2, NP_729945.1
OG0002679	Lflavo2a012207P1	NP_001014742.1, NP_511161.2, NP_001245679.1, NP_727841.1, NP_001285267.1
OG0002680	Lflavo2a004515P1	NP_001260319.1, NP_723550.2, NP_723551.2, NP_001188773.1, NP_609368.3
OG0002682	Lflavo2a001026P1	NP_001162765.1, NP_001259587.1, NP_573087.1
OG0002683	Lflavo2a000054P1, Lflavo2a000588P1	NP_523355.2, NP_727912.2, NP_727913.2
OG0002684	Lflavo2a000304P1	NP_611207.1
OG0002685	Lflavo2a004756P1	NP_001286547.1, NP_611257.1
OG0002686	Lflavo2a001635P1	NP_001260394.1, NP_609519.1
OG0002687	Lflavo2a009924P1	NP_001285826.1, NP_477161.1, NP_723644.1
OG0002688	Lflavo2a011118P1, Lflavo2a011118P2, Lflavo2a011118P3	NP_001263155.1, NP_001015174.1, NP_001015175.1, NP_001015176.1, NP_001104353.1
OG0002689	Lflavo2a004628P1	NP_001033899.1, NP_001245961.1, NP_001260365.1, NP_476813.1, NP_599110.1
OG0002690	Lflavo2a002080P1	NP_572488.1
OG0002691	Lflavo2a004373P1	NP_609309.1, NP_609310.2
OG0002692	Lflavo2a009489P1	NP_001263105.1, NP_524802.2, NP_733362.1, NP_733363.1, NP_001263106.1
OG0002693	Lflavo2a006380P1	NP_649888.1
OG0002693	Lflavo2a006424P1, Lflavo2a006424P2	NP_650571.2
OG0002694	Lflavo2a003602P1	NP_001097373.1, NP_652030.3, NP_725831.2, NP_725832.2, NP_001097371.1, NP_001097372.1
OG0002695	Lflavo2a001606P1	NP_726037.1, NP_523801.2, NP_726038.1
OG0002696	Lflavo2a009227P1	NP_001285650.1, NP_608982.2
OG0002697	Lflavo2a004751P1, Lflavo2a004751P2	NP_001303568.1, NP_572728.1
OG0002702	Lflavo2a002685P1	NP_572337.1
OG0002712	Lflavo2a011924P1, Lflavo2a011922P1	NP_477262.1, NP_001286518.1, NP_536346.1, NP_523768.1
OG0002713	Lflavo2a004275P1	NP_001245905.1, NP_001245906.1, NP_477016.1, NP_599131.1, NP_723136.1, NP_995635.1
OG0002714	Lflavo2a003012P1	NP_001027181.1, NP_001027180.1, NP_001027179.1
OG0002715	Lflavo2a005543P1, Lflavo2a013573P1, Lflavo2a013574P1	NP_001285636.1, NP_524725.2
OG0002716	Lflavo2a013328P1	NP_651912.3
OG0002717	Lflavo2a009735P1	NP_647805.1, NP_728865.1
