Orthogroup	Liostenogaster_flavolineata	Vespula_vulgaris
OG0003590	Lflavo2a007170P1	KAF7398682.1
OG0003591	Lflavo2a001251P1, Lflavo2a001251P2, Lflavo2a001251P3	KAF7400708.1
OG0003592	Lflavo2a010629P1	KAF7385144.1
OG0003593	Lflavo2a009061P1	KAF7380169.1
OG0003594	Lflavo2a000395P1	KAF7407180.1
OG0003595	Lflavo2a000778P1	KAF7408054.1
OG0003596	Lflavo2a000945P1, Lflavo2a000945P2	KAF7395041.1
OG0003597	Lflavo2a007546P1	KAF7411703.1
OG0003598	Lflavo2a008972P1	KAF7408338.1
OG0003599	Lflavo2a006857P1	KAF7378624.1
OG0003600	Lflavo2a013982P1	KAF7385879.1
OG0003601	Lflavo2a007024P1	KAF7379084.1
OG0003602	Lflavo2a000815P1	KAF7392892.1
OG0003603	Lflavo2a005294P1	KAF7412037.1
OG0003605	Lflavo2a009083P1	KAF7412244.1
OG0003606	Lflavo2a003744P1	KAF7405477.1
OG0003607	Lflavo2a006946P1	KAF7392796.1
OG0003608	Lflavo2a000572P1	KAF7400511.1
OG0003609	Lflavo2a008637P1	KAF7394498.1, KAF7394503.1
OG0003610	Lflavo2a006026P1, Lflavo2a006026P2	KAF7404866.1
OG0003611	Lflavo2a005296P1	KAF7402291.1
OG0003612	Lflavo2a007606P1	KAF7393264.1
OG0003612	Lflavo2a007453P1	KAF7387851.1
OG0003613	Lflavo2a010241P1	KAF7390701.1
OG0003614	Lflavo2a010901P1	KAF7393277.1
OG0003615	Lflavo2a002313P2, Lflavo2a002313P1	KAF7402720.1
OG0003616	Lflavo2a003624P1, Lflavo2a003624P2	KAF7400596.1
OG0003617	Lflavo2a013222P1	KAF7384292.1
OG0003618	Lflavo2a006975P1, Lflavo2a006975P2	KAF7411290.1
OG0003619	Lflavo2a013517P1, Lflavo2a013517P2	KAF7386006.1
OG0003621	Lflavo2a012790P1	KAF7389065.1
OG0003622	Lflavo2a011744P1	KAF7392931.1
OG0003623	Lflavo2a008713P1	KAF7378638.1
OG0003624	Lflavo2a013541P1	KAF7385995.1, KAF7385994.1
OG0003625	Lflavo2a000389P1	KAF7383585.1
OG0003626	Lflavo2a005605P1, Lflavo2a005605P2	KAF7411588.1
OG0003627	Lflavo2a007169P1	KAF7398679.1
OG0003628	Lflavo2a003673P1, Lflavo2a003673P2	KAF7411509.1
OG0003629	Lflavo2a004627P1	KAF7382027.1
OG0003630	Lflavo2a006915P1	KAF7400652.1, KAF7400655.1
OG0003631	Lflavo2a004015P1	KAF7407433.1
OG0003631	Lflavo2a004036P1	KAF7407432.1
OG0003632	Lflavo2a010954P1	KAF7408661.1
OG0003633	Lflavo2a000659P1, Lflavo2a000659P2	KAF7407760.1
OG0003634	Lflavo2a004652P1	KAF7412149.1
OG0003635	Lflavo2a002694P1	KAF7411451.1
OG0003636	Lflavo2a005186P1, Lflavo2a005207P1	KAF7391119.1
OG0003637	Lflavo2a009407P1	KAF7386043.1
OG0003639	Lflavo2a005202P1	KAF7393285.1
OG0003640	Lflavo2a010029P1	KAF7398876.1
OG0003641	Lflavo2a009479P3, Lflavo2a009479P1, Lflavo2a009479P2	KAF7398687.1
OG0003642	Lflavo2a005927P1	KAF7392724.1
OG0003643	Lflavo2a001247P1	KAF7412749.1
OG0003644	Lflavo2a013179P1	KAF7378952.1
OG0003645	Lflavo2a008154P1	KAF7411895.1
OG0003646	Lflavo2a014017P1, Lflavo2a014017P2	KAF7391372.1
OG0003647	Lflavo2a004655P1, Lflavo2a004655P2	KAF7389119.1
OG0003651	Lflavo2a000842P1	KAF7392894.1
OG0003655	Lflavo2a004982P1	KAF7398369.1
OG0003656	Lflavo2a000209P1	KAF7384191.1, KAF7384190.1
OG0003658	Lflavo2a001465P1	KAF7383440.1
OG0003659	Lflavo2a007998P1	KAF7405265.1
OG0003660	Lflavo2a005809P1	KAF7385752.1
OG0003661	Lflavo2a013406P1	KAF7411646.1
OG0003665	Lflavo2a002946P2, Lflavo2a002946P4, Lflavo2a002946P1, Lflavo2a002946P3	KAF7381518.1, KAF7381517.1
OG0003666	Lflavo2a004895P1	KAF7398455.1
OG0003667	Lflavo2a010810P1	KAF7411236.1, KAF7400930.1, KAF7378664.1, KAF7378663.1, KAF7378717.1, KAF7378665.1, KAF7378667.1, KAF7378715.1, KAF7378666.1
OG0003668	Lflavo2a011382P2, Lflavo2a011382P1, Lflavo2a011382P3	KAF7390912.1
OG0003669	Lflavo2a013685P1	KAF7383673.1
OG0003676	Lflavo2a011291P1, Lflavo2a011291P2	KAF7379013.1
OG0003677	Lflavo2a006258P1, Lflavo2a006258P2	KAF7408367.1
OG0003678	Lflavo2a001499P1, Lflavo2a001499P2	KAF7383439.1
OG0003679	Lflavo2a005855P1	KAF7396563.1
OG0003681	Lflavo2a012084P1	KAF7387788.1
OG0003682	Lflavo2a003436P2, Lflavo2a003436P1, Lflavo2a003436P3	KAF7383500.1
OG0003683	Lflavo2a007959P1	KAF7381418.1
OG0003684	Lflavo2a010312P1	KAF7411683.1
OG0003685	Lflavo2a002805P1	KAF7396429.1
OG0003686	Lflavo2a005349P1	KAF7392498.1
OG0003687	Lflavo2a001946P1	KAF7405085.1
OG0003689	Lflavo2a002712P1	KAF7411419.1
OG0003690	Lflavo2a000764P1	KAF7405319.1
OG0003690	Lflavo2a000768P1	KAF7405325.1
OG0003691	Lflavo2a001047P1	KAF7382715.1
OG0003692	Lflavo2a000690P1, Lflavo2a000628P2, Lflavo2a000628P1, Lflavo2a000628P3	KAF7381634.1
OG0003693	Lflavo2a004604P1, Lflavo2a004604P2	KAF7411596.1
OG0003694	Lflavo2a003671P1, Lflavo2a003671P2	KAF7404859.1
OG0003695	Lflavo2a013353P1, Lflavo2a013353P2	KAF7386052.1
OG0003695	Lflavo2a013355P1	KAF7386051.1
OG0003696	Lflavo2a011512P1	KAF7388071.1
OG0003697	Lflavo2a014216P1, Lflavo2a014216P2	KAF7402389.1
OG0003698	Lflavo2a010183P1	KAF7390970.1
OG0003699	Lflavo2a003001P1	KAF7384868.1
OG0003700	Lflavo2a002018P1	KAF7408130.1
OG0003701	Lflavo2a012666P1	KAF7392529.1
OG0003703	Lflavo2a003579P1	KAF7411516.1
OG0003704	Lflavo2a001448P1	KAF7408603.1
OG0003705	Lflavo2a010637P1	KAF7379605.1, KAF7404493.1, KAF7383555.1
OG0003706	Lflavo2a007074P1	KAF7394759.1
OG0003707	Lflavo2a001879P1, Lflavo2a001879P2	KAF7405090.1
OG0003708	Lflavo2a003183P2, Lflavo2a003183P3	KAF7388177.1
OG0003709	Lflavo2a000594P1	KAF7398387.1
OG0003710	Lflavo2a001269P1	KAF7396626.1
OG0003711	Lflavo2a003315P1	KAF7407168.1
OG0003713	Lflavo2a004937P1	KAF7398376.1
OG0003714	Lflavo2a005784P1	KAF7385684.1
OG0003715	Lflavo2a002837P1, Lflavo2a002859P1	KAF7392631.1
OG0003717	Lflavo2a010864P1	KAF7392497.1
OG0003718	Lflavo2a005274P1	KAF7380736.1
OG0003719	Lflavo2a005420P1	KAF7378931.1
OG0003720	Lflavo2a011804P2, Lflavo2a011804P1, Lflavo2a011804P3	KAF7396148.1
OG0003722	Lflavo2a013863P1, Lflavo2a013863P2	KAF7392911.1
OG0003723	Lflavo2a005255P1	KAF7391117.1
OG0003724	Lflavo2a009231P1	KAF7379400.1
OG0003727	Lflavo2a010991P1	KAF7381376.1
OG0003728	Lflavo2a003214P2, Lflavo2a003214P1, Lflavo2a003214P3	KAF7403098.1
OG0003729	Lflavo2a004780P1	KAF7402250.1
OG0003730	Lflavo2a008829P1	KAF7391338.1
OG0003731	Lflavo2a008895P1	KAF7393138.1
OG0003732	Lflavo2a004954P1	KAF7386772.1
OG0003733	Lflavo2a007226P1	KAF7387854.1
OG0003734	Lflavo2a006512P1	KAF7385174.1
OG0003735	Lflavo2a003754P1	KAF7389263.1
OG0003738	Lflavo2a008555P1	KAF7405130.1
OG0003740	Lflavo2a002050P1	KAF7381327.1
OG0003741	Lflavo2a012618P1	KAF7392975.1
OG0003742	Lflavo2a011112P1	KAF7389049.1
OG0003743	Lflavo2a004690P1	KAF7412128.1
OG0003744	Lflavo2a005803P1	KAF7385772.1
OG0003745	Lflavo2a005130P1	KAF7407971.1
OG0003745	Lflavo2a005132P1	KAF7407969.1
OG0003747	Lflavo2a013590P1, Lflavo2a013590P2	KAF7381560.1
OG0003749	Lflavo2a000679P4, Lflavo2a000679P2, Lflavo2a000679P1, Lflavo2a000679P3	KAF7381635.1
OG0003750	Lflavo2a007031P1	KAF7380088.1
OG0003751	Lflavo2a007589P1	KAF7386973.1
OG0003752	Lflavo2a012721P1	KAF7400996.1
OG0003753	Lflavo2a002286P1	KAF7407619.1
OG0003754	Lflavo2a011138P2	KAF7411172.1
OG0003755	Lflavo2a011077P1	KAF7411173.1
OG0003756	Lflavo2a010461P1	KAF7404504.1
OG0003757	Lflavo2a000415P1	KAF7402490.1
OG0003758	Lflavo2a003777P1	KAF7405475.1
OG0003760	Lflavo2a012693P1	KAF7412027.1
OG0003761	Lflavo2a007704P1, Lflavo2a007704P2	KAF7379411.1
OG0003763	Lflavo2a012000P1	KAF7396408.1
OG0003765	Lflavo2a005771P1	KAF7400714.1
OG0003766	Lflavo2a000130P1	KAF7396168.1
OG0003767	Lflavo2a013638P1	KAF7381555.1
OG0003768	Lflavo2a010538P1	KAF7388052.1
OG0003769	Lflavo2a007457P1	KAF7387848.1
OG0003770	Lflavo2a000418P1, Lflavo2a000418P2	KAF7383583.1
OG0003771	Lflavo2a008534P1	KAF7394658.1
OG0003774	Lflavo2a013303P1	KAF7381654.1, KAF7381652.1
OG0003776	Lflavo2a010111P1, Lflavo2a010111P2	KAF7391269.1
OG0003777	Lflavo2a007612P1	KAF7386966.1
OG0003778	Lflavo2a011103P1	KAF7391410.1
OG0003779	Lflavo2a006043P1	KAF7400368.1
OG0003780	Lflavo2a012338P1, Lflavo2a012338P2, Lflavo2a012338P3	KAF7379008.1
OG0003781	Lflavo2a001661P1	KAF7412347.1
OG0003782	Lflavo2a011436P1, Lflavo2a011436P2	KAF7382149.1
OG0003783	Lflavo2a005973P1	KAF7388113.1
OG0003784	Lflavo2a006799P1, Lflavo2a006826P1	KAF7412118.1
OG0003786	Lflavo2a001337P1, Lflavo2a001337P2	KAF7382160.1
OG0003787	Lflavo2a003574P1	KAF7407285.1
OG0003788	Lflavo2a010415P1	KAF7400414.1
OG0003789	Lflavo2a001543P1	KAF7384119.1
OG0003790	Lflavo2a001622P1	KAF7396449.1, KAF7396448.1
OG0003791	Lflavo2a008338P1	KAF7387943.1, KAF7387944.1
OG0003793	Lflavo2a007028P1	KAF7380101.1
OG0003794	Lflavo2a014049P1	KAF7378862.1
OG0003795	Lflavo2a007843P1	KAF7402611.1
OG0003796	Lflavo2a013336P1	KAF7405094.1
OG0003797	Lflavo2a012079P1	KAF7380823.1
OG0003798	Lflavo2a006036P2	KAF7382798.1
OG0003799	Lflavo2a003245P1	KAF7400296.1
OG0003800	Lflavo2a007865P1	KAF7388808.1
OG0003801	Lflavo2a001506P1	KAF7400482.1
OG0003803	Lflavo2a009992P1	KAF7386990.1
OG0003804	Lflavo2a013633P1	KAF7411906.1, KAF7411114.1
OG0003805	Lflavo2a012247P1	KAF7396337.1
OG0003806	Lflavo2a004812P1	KAF7388768.1
OG0003807	Lflavo2a003018P1	KAF7407153.1
OG0003808	Lflavo2a005243P1	KAF7400383.1
OG0003809	Lflavo2a009951P1	KAF7403109.1
OG0003810	Lflavo2a007656P1	KAF7380120.1
OG0003811	Lflavo2a011879P1	KAF7407306.1
OG0003816	Lflavo2a014155P1	KAF7396225.1
OG0003818	Lflavo2a002059P1	KAF7379359.1
OG0003819	Lflavo2a014259P1	KAF7407181.1
OG0003820	Lflavo2a000488P1	KAF7380154.1
OG0003821	Lflavo2a000500P1	KAF7379374.1
OG0003822	Lflavo2a002100P1	KAF7412463.1
OG0003823	Lflavo2a011767P1	KAF7392930.1
OG0003824	Lflavo2a004844P1	KAF7407546.1, KAF7407547.1, KAF7407548.1
OG0003825	Lflavo2a003186P1	KAF7385861.1
OG0003826	Lflavo2a001678P1	KAF7391276.1
OG0003827	Lflavo2a011712P1	KAF7412404.1
OG0003828	Lflavo2a004411P1	KAF7386569.1
OG0003829	Lflavo2a011041P1	KAF7411605.1
OG0003831	Lflavo2a009542P2, Lflavo2a009542P3, Lflavo2a009542P4	KAF7394577.1
OG0003832	Lflavo2a006427P1	KAF7391307.1
OG0003834	Lflavo2a002970P1	KAF7386831.1
OG0003835	Lflavo2a014308P1	KAF7405012.1
OG0003836	Lflavo2a014296P1	KAF7405160.1
OG0003837	Lflavo2a009519P1	KAF7384175.1
OG0003838	Lflavo2a009426P1	KAF7382036.1
OG0003839	Lflavo2a011428P1	KAF7392644.1
OG0003840	Lflavo2a014134P1	KAF7405536.1
OG0003841	Lflavo2a007510P1	KAF7400568.1
OG0003842	Lflavo2a010255P1, Lflavo2a010255P2	KAF7403029.1
OG0003843	Lflavo2a002078P1	KAF7408156.1
OG0003845	Lflavo2a003984P1	KAF7412739.1
OG0003846	Lflavo2a014218P1, Lflavo2a014218P2	KAF7392669.1
OG0003848	Lflavo2a007853P1	KAF7402616.1
OG0003849	Lflavo2a008095P1	KAF7386985.1
OG0003850	Lflavo2a001003P1	KAF7408583.1
OG0003851	Lflavo2a009893P1	KAF7408445.1
OG0003852	Lflavo2a004860P1	KAF7381614.1
OG0003853	Lflavo2a013280P2	KAF7381649.1
OG0003854	Lflavo2a003302P1	KAF7391030.1
OG0003855	Lflavo2a003325P1	KAF7391028.1
OG0003857	Lflavo2a002476P1	KAF7395137.1
OG0003858	Lflavo2a012879P1, Lflavo2a012879P2, Lflavo2a012879P3	KAF7396537.1
OG0003859	Lflavo2a009935P1	KAF7380702.1
OG0003860	Lflavo2a010130P1, Lflavo2a010130P2	KAF7391271.1
OG0003861	Lflavo2a006478P1	KAF7405302.1
OG0003862	Lflavo2a004216P1	KAF7408452.1
OG0003863	Lflavo2a007610P1	KAF7389166.1
OG0003864	Lflavo2a012085P1	KAF7387781.1
OG0003865	Lflavo2a003459P1	KAF7399051.1
OG0003866	Lflavo2a003473P1	KAF7399047.1
OG0003867	Lflavo2a003966P1, Lflavo2a003966P2	KAF7412385.1
OG0003868	Lflavo2a008646P1	KAF7403136.1
OG0003869	Lflavo2a006462P1, Lflavo2a006470P1, Lflavo2a006503P1, Lflavo2a006508P1	KAF7380265.1
OG0003870	Lflavo2a006537P1	KAF7380266.1
OG0003871	Lflavo2a008016P1	KAF7412680.1
OG0003872	Lflavo2a001278P1	KAF7384842.1
OG0003873	Lflavo2a005816P1, Lflavo2a005816P3, Lflavo2a005816P2	KAF7385770.1
OG0003874	Lflavo2a006398P1	KAF7380073.1
OG0003875	Lflavo2a013211P1	KAF7395053.1
OG0003878	Lflavo2a010284P1, Lflavo2a010284P2	KAF7411387.1
OG0003879	Lflavo2a005476P1, Lflavo2a005476P2	KAF7411753.1
OG0003881	Lflavo2a013615P1	KAF7411489.1
OG0003882	Lflavo2a007675P1, Lflavo2a007705P1	KAF7382723.1
OG0003883	Lflavo2a012963P1	KAF7412233.1
OG0003885	Lflavo2a000867P1	KAF7386850.1
OG0003887	Lflavo2a008508P1	KAF7386853.1
OG0003888	Lflavo2a003465P1	KAF7386867.1, KAF7408515.1
OG0003890	Lflavo2a008803P1	KAF7380833.1
OG0003893	Lflavo2a005975P1	KAF7380721.1
OG0003897	Lflavo2a008982P1	KAF7384291.1
OG0003898	Lflavo2a010600P1	KAF7396520.1
OG0003900	Lflavo2a008315P1	KAF7408322.1
OG0003901	Lflavo2a001344P1	KAF7382161.1
OG0003902	Lflavo2a003710P1	KAF7385670.1
OG0003903	Lflavo2a008004P1, Lflavo2a008004P2	KAF7381414.1
OG0003904	Lflavo2a008359P1	KAF7389182.1
OG0003905	Lflavo2a003621P1	KAF7411476.1
OG0003906	Lflavo2a012397P1, Lflavo2a012397P2	KAF7400464.1
OG0003907	Lflavo2a005819P1	KAF7411745.1
OG0003908	Lflavo2a003633P1, Lflavo2a003633P2	KAF7411749.1
OG0003910	Lflavo2a008693P1, Lflavo2a008693P2	KAF7393181.1
OG0003911	Lflavo2a004152P1	KAF7385730.1
OG0003912	Lflavo2a007266P1	KAF7402872.1
OG0003913	Lflavo2a003234P1	KAF7388165.1
OG0003915	Lflavo2a002329P1, Lflavo2a002329P2	KAF7407683.1
OG0003916	Lflavo2a002319P1	KAF7394600.1
OG0003917	Lflavo2a003778P1	KAF7394843.1
OG0003918	Lflavo2a009343P1	KAF7408121.1
OG0003919	Lflavo2a006720P1	KAF7402568.1
OG0003920	Lflavo2a005555P1	KAF7390733.1
OG0003921	Lflavo2a007314P1	KAF7390726.1
OG0003922	Lflavo2a005037P1, Lflavo2a005037P2	KAF7388892.1
OG0003924	Lflavo2a005531P1	KAF7390753.1
OG0003925	Lflavo2a000740P1	KAF7380760.1
OG0003926	Lflavo2a011025P1	KAF7381367.1
OG0003927	Lflavo2a001552P1	KAF7390893.1
OG0003928	Lflavo2a011449P1	KAF7380750.1
OG0003930	Lflavo2a010693P1, Lflavo2a010693P2	KAF7393199.1
OG0003931	Lflavo2a004509P1, Lflavo2a004509P2	KAF7393212.1
OG0003933	Lflavo2a008656P1, Lflavo2a008656P2	KAF7383629.1
OG0003934	Lflavo2a010410P1	KAF7378547.1
OG0003935	Lflavo2a001538P1	KAF7399029.1
OG0003937	Lflavo2a005437P1	KAF7403059.1
OG0003938	Lflavo2a012545P3	KAF7393009.1
OG0003939	Lflavo2a000777P1	KAF7404663.1
OG0003940	Lflavo2a012594P1	KAF7393293.1
OG0003941	Lflavo2a007282P1	KAF7379064.1
OG0003942	Lflavo2a012595P1	KAF7391379.1
OG0003943	Lflavo2a012527P1	KAF7401041.1
OG0003944	Lflavo2a000069P1	KAF7394916.1
OG0003946	Lflavo2a004518P1	KAF7380965.1
OG0003947	Lflavo2a000540P1	KAF7388161.1
OG0003949	Lflavo2a009804P1	KAF7405440.1
OG0003950	Lflavo2a002534P1	KAF7384888.1
OG0003951	Lflavo2a012838P1	KAF7408106.1
OG0003952	Lflavo2a004649P1	KAF7412146.1
OG0003954	Lflavo2a009629P1	KAF7402358.1
OG0003955	Lflavo2a002625P1	KAF7386721.1
OG0003956	Lflavo2a009724P1	KAF7386951.1
OG0003957	Lflavo2a010589P1	KAF7403143.1
OG0003961	Lflavo2a002672P1, Lflavo2a002672P3, Lflavo2a002672P2	KAF7396198.1
OG0003963	Lflavo2a013049P1, Lflavo2a013049P2	KAF7392949.1
OG0003964	Lflavo2a007931P1	KAF7411169.1
OG0003965	Lflavo2a007841P1	KAF7402610.1
OG0003966	Lflavo2a004137P1, Lflavo2a004137P2	KAF7385718.1
OG0003967	Lflavo2a001638P1	KAF7402576.1
OG0003968	Lflavo2a008657P1	KAF7389323.1
OG0003969	Lflavo2a005196P1	KAF7393191.1
OG0003970	Lflavo2a005206P1	KAF7392790.1
OG0003971	Lflavo2a001478P1	KAF7408351.1
OG0003972	Lflavo2a003260P1, Lflavo2a003260P2	KAF7388933.1
OG0003973	Lflavo2a000986P1	KAF7379569.1
OG0003974	Lflavo2a004568P1	KAF7400634.1
OG0003975	Lflavo2a006985P1	KAF7400770.1
OG0003976	Lflavo2a010019P2, Lflavo2a010019P3, Lflavo2a010019P1, Lflavo2a010019P4	KAF7386988.1
OG0003977	Lflavo2a010729P1	KAF7402504.1
OG0003979	Lflavo2a013250P1	KAF7388907.1
OG0003980	Lflavo2a007882P1	KAF7394796.1
OG0003981	Lflavo2a007926P1	KAF7394803.1
OG0003982	Lflavo2a008182P1	KAF7407705.1
OG0003983	Lflavo2a002847P1, Lflavo2a002847P2	KAF7396634.1
OG0003984	Lflavo2a001021P1	KAF7392794.1
OG0003985	Lflavo2a012145P1	KAF7398752.1
OG0003986	Lflavo2a008633P1	KAF7405134.1
OG0003987	Lflavo2a010607P1, Lflavo2a010607P2	KAF7385196.1
OG0003988	Lflavo2a006726P1	KAF7402570.1
OG0003989	Lflavo2a006719P1, Lflavo2a006719P2	KAF7402571.1
OG0003990	Lflavo2a002193P1	KAF7381392.1
OG0003991	Lflavo2a006969P1, Lflavo2a006969P2	KAF7380247.1
OG0003992	Lflavo2a006235P1	KAF7408372.1
OG0003993	Lflavo2a004220P1, Lflavo2a013270P1	KAF7382944.1
OG0003995	Lflavo2a012904P1	KAF7389275.1
OG0003996	Lflavo2a008828P1	KAF7400956.1
OG0003997	Lflavo2a006297P1	KAF7385776.1
OG0003998	Lflavo2a008837P1	KAF7384208.1
OG0003999	Lflavo2a002557P1	KAF7383608.1
OG0004000	Lflavo2a003734P1	KAF7408253.1
OG0004001	Lflavo2a003812P1	KAF7408785.1
OG0004002	Lflavo2a008979P1	KAF7408779.1
OG0004004	Lflavo2a010741P1, Lflavo2a010741P2, Lflavo2a010741P3	KAF7412086.1
OG0004005	Lflavo2a012612P1, Lflavo2a012612P2	KAF7401034.1
OG0004006	Lflavo2a004102P3, Lflavo2a004102P2, Lflavo2a004102P1	KAF7385136.1
OG0004007	Lflavo2a002174P1	KAF7380067.1
OG0004008	Lflavo2a009959P1, Lflavo2a009959P2	KAF7398435.1
OG0004009	Lflavo2a005128P1	KAF7398384.1
OG0004010	Lflavo2a002399P1	KAF7389188.1
OG0004012	Lflavo2a005900P1	KAF7382771.1
OG0004013	Lflavo2a001871P1, Lflavo2a001871P2	KAF7394668.1
OG0004014	Lflavo2a000173P1	KAF7400853.1
OG0004015	Lflavo2a004901P1, Lflavo2a004901P2	KAF7405433.1
OG0004016	Lflavo2a011076P1, Lflavo2a011076P2	KAF7398490.1
OG0004017	Lflavo2a011728P1	KAF7389313.1
OG0004018	Lflavo2a011568P1	KAF7408300.1
OG0004019	Lflavo2a004703P1	KAF7386070.1
OG0004020	Lflavo2a013386P1	KAF7396514.1
OG0004021	Lflavo2a002870P1	KAF7407360.1
OG0004024	Lflavo2a005569P1	KAF7411902.1
OG0004025	Lflavo2a013681P1	KAF7411907.1
OG0004026	Lflavo2a013433P1	KAF7388180.1
OG0004027	Lflavo2a013204P1	KAF7396401.1
OG0004028	Lflavo2a013032P1	KAF7407294.1
OG0004029	Lflavo2a004777P1	KAF7379050.1
OG0004030	Lflavo2a012403P2	KAF7384400.1
OG0004032	Lflavo2a004764P1	KAF7396551.1
OG0004033	Lflavo2a002143P1	KAF7378892.1
OG0004034	Lflavo2a006815P1, Lflavo2a006815P2, Lflavo2a006815P3	KAF7412687.1
OG0004036	Lflavo2a007840P1	KAF7402608.1
OG0004037	Lflavo2a014034P1	KAF7383490.1
OG0004038	Lflavo2a005081P1	KAF7392890.1
OG0004039	Lflavo2a003161P1	KAF7411347.1
OG0004040	Lflavo2a006917P1	KAF7411285.1
OG0004041	Lflavo2a003227P1	KAF7411350.1
OG0004042	Lflavo2a007254P1	KAF7407341.1
OG0004043	Lflavo2a002077P1, Lflavo2a002077P2	KAF7408157.1
OG0004044	Lflavo2a009635P1, Lflavo2a009635P2	KAF7402361.1
OG0004045	Lflavo2a012805P1	KAF7389136.1
OG0004048	Lflavo2a012785P1	KAF7411880.1
OG0004050	Lflavo2a007090P1, Lflavo2a007090P2	KAF7380102.1
OG0004051	Lflavo2a010786P1	KAF7394558.1
OG0004053	Lflavo2a002170P1	KAF7378859.1
OG0004054	Lflavo2a010639P1, Lflavo2a010639P2, Lflavo2a010639P3	KAF7404736.1
OG0004055	Lflavo2a008228P1	KAF7404606.1
OG0004056	Lflavo2a000553P1, Lflavo2a000553P2	KAF7385663.1
OG0004057	Lflavo2a011456P1	KAF7392812.1
OG0004058	Lflavo2a002636P1	KAF7383369.1
OG0004059	Lflavo2a007515P1	KAF7400588.1, KAF7400585.1
OG0004060	Lflavo2a012759P1	KAF7389283.1
OG0004061	Lflavo2a005423P1	KAF7411577.1
OG0004062	Lflavo2a007922P1	KAF7378635.1
OG0004063	Lflavo2a001921P1	KAF7384210.1
OG0004064	Lflavo2a012053P1	KAF7387787.1
OG0004065	Lflavo2a013600P1	KAF7389207.1
OG0004067	Lflavo2a012219P1	KAF7402691.1
OG0004068	Lflavo2a000258P1	KAF7396464.1
OG0004070	Lflavo2a004616P1	KAF7394838.1
OG0004073	Lflavo2a004301P1	KAF7404738.1
OG0004074	Lflavo2a005920P3, Lflavo2a005920P1, Lflavo2a005920P2	KAF7402303.1
OG0004076	Lflavo2a005496P1	KAF7396367.1
OG0004077	Lflavo2a012671P1, Lflavo2a012671P2	KAF7392531.1
OG0004078	Lflavo2a003660P1	KAF7382973.1
OG0004079	Lflavo2a004495P1	KAF7382950.1
OG0004081	Lflavo2a006382P1	KAF7389222.1
OG0004082	Lflavo2a002273P1	KAF7388951.1
OG0004083	Lflavo2a003188P1, Lflavo2a003188P2	KAF7378574.1
OG0004085	Lflavo2a001324P1	KAF7388128.1
OG0004087	Lflavo2a001830P1, Lflavo2a001830P3	KAF7380084.1
OG0004089	Lflavo2a001456P1, Lflavo2a001477P1	KAF7391296.1
OG0004090	Lflavo2a008043P1	KAF7378659.1
OG0004091	Lflavo2a000446P1	KAF7398519.1, KAF7398514.1
OG0004092	Lflavo2a006085P1	KAF7381472.1
OG0004094	Lflavo2a006987P1	KAF7400763.1
OG0004095	Lflavo2a009015P1	KAF7386761.1
OG0004096	Lflavo2a008687P1	KAF7381332.1
OG0004097	Lflavo2a010182P1	KAF7404808.1
OG0004098	Lflavo2a009422P1	KAF7400843.1
OG0004099	Lflavo2a002739P1	KAF7405146.1
OG0004100	Lflavo2a000693P1	KAF7408457.1
OG0004101	Lflavo2a003802P1, Lflavo2a003802P2	KAF7394869.1
OG0004103	Lflavo2a010116P1	KAF7393134.1
OG0004104	Lflavo2a007590P1, Lflavo2a007618P1	KAF7408549.1
OG0004105	Lflavo2a012912P1	KAF7403037.1
OG0004106	Lflavo2a000359P1	KAF7391403.1
OG0004107	Lflavo2a013080P1	KAF7392752.1
OG0004108	Lflavo2a009545P1, Lflavo2a009545P4, Lflavo2a009545P5, Lflavo2a009545P3, Lflavo2a009545P2	KAF7393274.1
OG0004109	Lflavo2a004871P1	KAF7408710.1
OG0004111	Lflavo2a009145P1	KAF7405192.1
OG0004112	Lflavo2a010766P1	KAF7396374.1
OG0004113	Lflavo2a004623P1	KAF7384398.1
OG0004114	Lflavo2a006147P1	KAF7389348.1
OG0004115	Lflavo2a012065P1	KAF7380827.1
OG0004116	Lflavo2a009933P1	KAF7384849.1
OG0004117	Lflavo2a006275P1, Lflavo2a006275P2	KAF7394802.1
OG0004118	Lflavo2a000212P1	KAF7391079.1
OG0004119	Lflavo2a014008P1	KAF7384390.1
OG0004120	Lflavo2a005721P1	KAF7388097.1
OG0004121	Lflavo2a006668P1	KAF7378981.1
OG0004122	Lflavo2a008030P1	KAF7411260.1
OG0004123	Lflavo2a003869P1, Lflavo2a003869P2	KAF7400992.1
OG0004124	Lflavo2a005021P1	KAF7393027.1
OG0004125	Lflavo2a002208P1	KAF7394944.1
OG0004125	Lflavo2a000123P1	KAF7384858.1
OG0004127	Lflavo2a011240P1	KAF7407629.1
OG0004128	Lflavo2a001872P1	KAF7384836.1
OG0004129	Lflavo2a008220P1	KAF7385740.1
OG0004130	Lflavo2a004959P3, Lflavo2a004959P1, Lflavo2a004959P2	KAF7385654.1
OG0004133	Lflavo2a000549P1	KAF7404900.1
OG0004136	Lflavo2a008939P1	KAF7391336.1
OG0004137	Lflavo2a004072P1	KAF7389021.1
OG0004138	Lflavo2a011448P1, Lflavo2a011408P1	KAF7386840.1
OG0004139	Lflavo2a007004P1	KAF7389155.1
OG0004140	Lflavo2a008269P1	KAF7402601.1
OG0004141	Lflavo2a008930P1	KAF7392574.1
