Orthogroup	Liostenogaster_flavolineata	Nasonia_vitripennis
OG0003466	Lflavo2a000574P1	XP_001599322.1, XP_008217435.1, XP_016842102.1, XP_016842101.1
OG0003467	Lflavo2a004068P1	XP_031785618.1
OG0003468	Lflavo2a012546P1	XP_001600298.1, XP_016845612.1, XP_032451746.1
OG0003469	Lflavo2a006706P1, Lflavo2a006706P2	XP_001600102.2, XP_016842235.1
OG0003470	Lflavo2a002484P1	XP_001601549.2, XP_016840035.1
OG0003471	Lflavo2a003063P1	XP_003425313.2
OG0003472	Lflavo2a013092P1, Lflavo2a007342P1, Lflavo2a013186P1	XP_016841074.1
OG0003473	Lflavo2a010785P1	XP_001604753.1, XP_031783230.1
OG0003474	Lflavo2a013294P1, Lflavo2a013294P2	XP_008216123.1, XP_016837517.1
OG0003475	Lflavo2a007496P1	XP_031787007.1, XP_031787008.1
OG0003476	Lflavo2a004261P1	XP_001605739.2, XP_003424725.1
OG0003477	Lflavo2a004501P1, Lflavo2a004501P2, Lflavo2a004501P3	XP_001603870.1
OG0003478	Lflavo2a009115P1, Lflavo2a009115P2	XP_001605378.1
OG0003479	Lflavo2a000343P1	XP_001601482.2, XP_016845501.1
OG0003480	Lflavo2a007703P1	NP_001161242.1, XP_008202436.1
OG0003481	Lflavo2a001832P1	XP_008207390.1, XP_008211856.1, XP_008211857.1
OG0003483	Lflavo2a002328P1	NP_001153434.1
OG0003484	Lflavo2a007437P1	XP_016838376.1, XP_031778793.1, XP_032452715.1
OG0003485	Lflavo2a004874P1	XP_031782799.1, XP_031782800.1, XP_031782801.1
OG0003486	Lflavo2a013315P1	XP_016839979.1, XP_001606702.2, XP_003424246.1
OG0003487	Lflavo2a001059P1	XP_001606750.2, XP_008209890.1
OG0003488	Lflavo2a002043P1	XP_031778413.1
OG0003489	Lflavo2a006938P1	XP_001605933.1, XP_008217080.1, XP_008217081.1
OG0003490	Lflavo2a002357P1	XP_001603978.1, XP_008209591.1, XP_016837489.1, XP_016837490.1
OG0003491	Lflavo2a011433P1, Lflavo2a011433P2	XP_031788400.1
OG0003492	Lflavo2a003808P1	XP_001604287.2, XP_031782566.1, XP_008203817.1
OG0003494	Lflavo2a000683P1	XP_001599364.2, XP_016842911.1, XP_016842913.1, XP_032457480.1
OG0003495	Lflavo2a008025P1	XP_032452297.1, XP_032452298.1, XP_032452299.1, XP_032452300.1
OG0003496	Lflavo2a013414P1, Lflavo2a013414P2	XP_001605766.1, XP_008209760.1
OG0003497	Lflavo2a003338P1	XP_008212564.1, XP_001606279.2, XP_016838432.1
OG0003498	Lflavo2a001895P1, Lflavo2a001895P2	NP_001123224.1, XP_016843907.1
OG0003499	Lflavo2a005304P1	XP_001606102.2, XP_032453206.1
OG0003500	Lflavo2a004662P1	XP_001603683.1, XP_032455402.1, XP_032455403.1
OG0003501	Lflavo2a002662P1	XP_001599579.1
OG0003502	Lflavo2a012895P1	XP_016845815.1, XP_032454966.1
OG0003503	Lflavo2a011140P1	XP_001603384.1, XP_008213575.1, XP_008213589.1, XP_008213590.1, XP_008213596.1
OG0003504	Lflavo2a011571P1, Lflavo2a011571P4, Lflavo2a011571P3, Lflavo2a011571P2	XP_001601020.3
OG0003505	Lflavo2a013170P1	XP_001605732.2, XP_008206390.1, XP_016839005.1, XP_032454210.1
OG0003506	Lflavo2a007721P1	XP_031784644.1, XP_031784642.1, XP_016840806.1, XP_031784643.1
OG0003507	Lflavo2a014180P1	NP_001123227.2, XP_032452231.1, XP_032452232.1, XP_032452233.1, XP_032452234.1
OG0003508	Lflavo2a012335P1	XP_031786379.1, XP_031786388.1
OG0003510	Lflavo2a007682P1	XP_031785779.1, XP_031785780.1, XP_031785781.1
OG0003511	Lflavo2a007273P1	XP_003425386.1
OG0003512	Lflavo2a001404P3, Lflavo2a001404P5, Lflavo2a001404P4, Lflavo2a001404P1	XP_016838413.1
OG0003513	Lflavo2a012844P1, Lflavo2a012844P2	XP_031784416.1
OG0003514	Lflavo2a002341P1	XP_008215765.1
OG0003515	Lflavo2a007716P1	XP_031784386.1, XP_031784387.1, XP_031784388.1, XP_031784389.1, XP_031784390.1
OG0003516	Lflavo2a011028P1	XP_001602845.2, XP_008205219.1
OG0003517	Lflavo2a008323P1	XP_031787006.1, XP_008204847.1, XP_031787013.1, XP_031787022.1, XP_031787011.1, XP_031787030.1
OG0003518	Lflavo2a008218P1	XP_031785547.1, XP_032455643.1, XP_031785546.1, XP_031785548.1, XP_032455644.1
OG0003519	Lflavo2a007339P1, Lflavo2a007340P1	XP_031780896.1, XP_031780898.1, XP_032453188.1, XP_031780899.1
OG0003521	Lflavo2a000099P1	XP_008218002.1
OG0003522	Lflavo2a011831P1	XP_001605211.2, XP_008211874.1, XP_008211875.1, XP_003427626.1
OG0003523	Lflavo2a003164P1	XP_031785075.1, XP_031785076.1
OG0003524	Lflavo2a013651P1	XP_003424996.1, XP_008213444.1
OG0003525	Lflavo2a003698P1	XP_031778288.1
OG0003526	Lflavo2a002157P1	XP_001608292.1
OG0003527	Lflavo2a007512P1, Lflavo2a007512P2	XP_003426224.3, XP_031777215.1, XP_031777214.1, XP_031777213.1
OG0003528	Lflavo2a003948P1	XP_016843501.1, XP_008208358.1, XP_008208360.1
OG0003529	Lflavo2a002856P2, Lflavo2a002856P3, Lflavo2a002856P1, Lflavo2a002856P4	XP_031778012.1
OG0003530	Lflavo2a011595P1	XP_032451851.1, XP_031777199.1, XP_031777201.1
OG0003532	Lflavo2a006452P1	XP_001606708.1, XP_016839189.1, XP_032458144.1, XP_032458145.1, XP_032458146.1
OG0003533	Lflavo2a002650P1	XP_008207183.1
OG0003534	Lflavo2a011475P1	XP_001600578.1
OG0003535	Lflavo2a003721P1	XP_001608190.2
OG0003536	Lflavo2a010425P1, Lflavo2a010425P2	XP_001599382.1, XP_016839579.1
OG0003537	Lflavo2a009322P1	XP_003424585.1, XP_031787960.1, XP_032456943.1
OG0003539	Lflavo2a004854P4, Lflavo2a004854P5, Lflavo2a004854P3, Lflavo2a004854P6	XP_031784449.1, XP_031784450.1, XP_031784451.1
OG0003540	Lflavo2a010710P1	XP_031784809.1
OG0003540	Lflavo2a010700P1	XP_031784810.1
OG0003541	Lflavo2a009377P1	XP_003425125.1, XP_003425126.1, XP_016842128.1
OG0003542	Lflavo2a008521P1, Lflavo2a012114P1	XP_031778504.1, XP_031777850.1, XP_031778177.1
OG0003543	Lflavo2a013617P1	XP_031789446.1, XP_031789447.1, XP_031789448.1
OG0003544	Lflavo2a001450P1	XP_016842062.1, XP_016842064.1, XP_031788332.1
OG0003545	Lflavo2a003401P1, Lflavo2a003401P2	XP_001601160.1, XP_032456079.1, XP_032456080.1, XP_032456081.1
OG0003546	Lflavo2a012493P1	XP_031787620.1, XP_008201911.1, XP_001606781.2
OG0003547	Lflavo2a004754P1, Lflavo2a004754P2	XP_031778492.1, XP_031778490.1, XP_031778491.1
OG0003548	Lflavo2a007300P1	XP_008206353.1
OG0003549	Lflavo2a013021P1	XP_001604560.2
OG0003550	Lflavo2a006130P1	XP_001599379.2
OG0003551	Lflavo2a001978P1, Lflavo2a005954P1	XP_001607406.2
OG0003552	Lflavo2a011965P1	XP_031784399.1
OG0003553	Lflavo2a001023P1	XP_001599699.1
OG0003553	Lflavo2a001083P1	XP_031777092.1
OG0003554	Lflavo2a012098P1	XP_031787656.1, XP_032456591.1
OG0003555	Lflavo2a000400P1, Lflavo2a000347P1	XP_031786262.1, XP_031786263.1, XP_031786264.1
OG0003556	Lflavo2a009420P1	XP_016844695.1
OG0003556	Lflavo2a009382P1	XP_016845008.1, XP_031787641.1, XP_031787642.1, XP_031787643.1, XP_008216936.1, XP_031787644.1
OG0003557	Lflavo2a005344P1	XP_003424711.1
OG0003558	Lflavo2a009461P1	XP_003427251.1
OG0003559	Lflavo2a011784P1	XP_031789286.1
OG0003560	Lflavo2a004903P1, Lflavo2a004903P2	XP_001603346.2
OG0003562	Lflavo2a004477P1	XP_003426485.1, XP_008207505.1
OG0003563	Lflavo2a004441P1	XP_031787387.1, XP_031787385.1, XP_008207510.2, XP_031787384.1, XP_031787386.1, XP_031787388.1, XP_031787390.1
OG0003564	Lflavo2a004422P1	XP_008205926.1, XP_008205959.1, XP_008205933.1, XP_008205942.1, XP_008205949.1, XP_031787114.1
OG0003565	Lflavo2a013691P1	NP_001128396.1
OG0003566	Lflavo2a013731P1	XP_001603788.1
OG0003567	Lflavo2a009816P1	XP_031777072.1, XP_031777071.1, XP_031777068.1, XP_031777070.1, XP_031777066.1, XP_031777067.1
OG0003568	Lflavo2a003248P1, Lflavo2a003248P2	XP_031787875.1, XP_031787876.1
OG0003569	Lflavo2a004158P3, Lflavo2a004158P1, Lflavo2a004158P2	XP_008202927.2, XP_031777733.1
OG0003570	Lflavo2a006511P1	XP_008207821.1, XP_031781654.1, XP_031781655.1, XP_031781656.1, XP_031781657.1, XP_031781658.1, XP_031781659.1
OG0003571	Lflavo2a001468P1	XP_001599952.2, XP_031777447.1
OG0003572	Lflavo2a003097P1, Lflavo2a003097P2	XP_008206935.1
OG0003573	Lflavo2a009654P1	XP_031777103.1
OG0003574	Lflavo2a003847P2, Lflavo2a003847P1	XP_001606660.1, XP_008211572.1, XP_016840804.1, XP_016840805.1
OG0003575	Lflavo2a010008P1	XP_001606200.2, XP_008213582.1, XP_008213583.1, XP_008213584.1
OG0003576	Lflavo2a014290P1	XP_001599624.1, XP_003424962.1, XP_008212845.1, XP_032453145.1, XP_032453151.1, XP_032453158.1
OG0003577	Lflavo2a004119P1	XP_001606020.2, XP_001606872.1, XP_003423931.1, XP_003423932.1, XP_016845208.1
OG0003578	Lflavo2a012095P1	XP_016844839.2, XP_016844840.1
OG0003579	Lflavo2a009457P1	XP_001606922.2
OG0003580	Lflavo2a008053P1	NP_001123258.1, XP_008207927.1, NP_001129664.1, XP_008207928.1
OG0003581	Lflavo2a007018P1	XP_001606501.4, XP_008214819.2
OG0003582	Lflavo2a000200P1	XP_032456353.1, XP_031776661.1, XP_008216836.1, XP_031776659.1
OG0003583	Lflavo2a011270P1	NP_001161261.1, XP_031787499.1, XP_031787500.1, XP_031787501.1
OG0003584	Lflavo2a002973P1	XP_003424208.1, XP_031782031.1
OG0003586	Lflavo2a011235P1	XP_001600045.1, XP_003427933.1
OG0003587	Lflavo2a007499P1, Lflavo2a007499P2	XP_008202458.1, XP_016842710.1, XP_031777450.1, XP_032457319.1
OG0003588	Lflavo2a005620P1	XP_031779168.1, XP_032453082.1, XP_032453083.1, XP_032453084.1
OG0003589	Lflavo2a006006P1, Lflavo2a006006P2	XP_001607186.2, XP_008213726.1, XP_001607229.1
OG0003590	Lflavo2a007170P1	XP_008217851.1, XP_016837400.1, XP_032452762.1, XP_031780765.1, XP_031780764.1
OG0003591	Lflavo2a001251P1, Lflavo2a001251P2, Lflavo2a001251P3	XP_003423892.1, XP_031789516.1
OG0003592	Lflavo2a010629P1	XP_031789510.1
OG0003593	Lflavo2a009061P1	XP_001604188.1, XP_008205189.1, XP_008205190.1, XP_008205188.1
OG0003594	Lflavo2a000395P1	XP_001600345.1, XP_016840465.1, XP_016840466.1, XP_032455445.1, XP_032455446.1
OG0003595	Lflavo2a000778P1	XP_016845278.2, XP_031777029.1, XP_031777031.1, XP_031777032.1
OG0003596	Lflavo2a000945P1, Lflavo2a000945P2	XP_016836585.1, XP_016836586.1
OG0003597	Lflavo2a007546P1	XP_016841570.1, XP_016841569.1, XP_016841566.1, XP_016841567.1, XP_031786926.1, XP_016841568.1
OG0003598	Lflavo2a008972P1	NP_001165930.1
OG0003599	Lflavo2a006857P1	XP_001605946.3, XP_008217074.1, XP_008217075.1, XP_008217076.1, XP_008217077.1, XP_016844953.1
OG0003600	Lflavo2a013982P1	XP_001604921.2
OG0003601	Lflavo2a007024P1	XP_001607374.2
OG0003602	Lflavo2a000815P1	XP_008204225.1, XP_031780228.1
OG0003603	Lflavo2a005294P1	XP_031780138.1, XP_032453254.1
OG0003604	Lflavo2a005775P1	NP_001136323.1, XP_031783039.1, XP_031783040.1, XP_031783041.1, XP_031783042.1
OG0003605	Lflavo2a009083P1	XP_031789577.1
OG0003606	Lflavo2a003744P1	XP_031786683.1, XP_031786686.1
OG0003607	Lflavo2a006946P1	XP_003427218.4, XP_031779285.1
OG0003608	Lflavo2a000572P1	XP_031779642.1, XP_001605720.1, XP_008210986.1
OG0003609	Lflavo2a008637P1	XP_001602895.1, NP_001128399.1
OG0003610	Lflavo2a006026P1, Lflavo2a006026P2	XP_008217123.1, XP_031788124.1
OG0003611	Lflavo2a005296P1	XP_001602733.2, XP_031785073.1, XP_032454824.1, XP_032454825.1, XP_032454826.1
OG0003612	Lflavo2a007606P1, Lflavo2a007453P1	XP_031783577.1, XP_032454372.1
OG0003614	Lflavo2a010901P1	XP_008215008.1
OG0003615	Lflavo2a002313P2, Lflavo2a002313P1	XP_008211397.1, XP_032455393.1, XP_032455394.1, XP_008211400.1
OG0003616	Lflavo2a003624P1, Lflavo2a003624P2	XP_001604164.2, XP_031782584.1, XP_016840139.1, XP_032453977.1
OG0003617	Lflavo2a013222P1	XP_031781635.1
OG0003618	Lflavo2a006975P1, Lflavo2a006975P2	XP_008209671.2, XP_016837216.1
OG0003619	Lflavo2a013517P1, Lflavo2a013517P2	XP_001607053.1, XP_008214867.1
OG0003620	Lflavo2a003946P1	XP_001600446.1, XP_016840973.1
OG0003621	Lflavo2a012790P1	XP_031781765.1, XP_031781766.2, XP_032457663.1, XP_032457664.1, XP_032457665.1
OG0003622	Lflavo2a011744P1	XP_016837802.1, XP_031780590.1, XP_031780591.1, XP_032453397.1, XP_032453398.1
OG0003623	Lflavo2a008713P1	XP_016843669.1, XP_032457191.1
OG0003624	Lflavo2a013541P1	XP_001606507.1, XP_008215376.1
OG0003625	Lflavo2a000389P1	XP_001603457.2
OG0003626	Lflavo2a005605P1, Lflavo2a005605P2	XP_031784786.1, XP_031784787.1
OG0003627	Lflavo2a007169P1	XP_008217855.1, XP_008217856.1
OG0003628	Lflavo2a003673P1, Lflavo2a003673P2	XP_031779324.1
OG0003629	Lflavo2a004627P1	XP_008212200.1, XP_001602330.2, XP_003427730.1, XP_031776918.1, XP_031776920.1
OG0003630	Lflavo2a006915P1	XP_001600452.1, XP_003426984.1
OG0003631	Lflavo2a004015P1	XP_008208940.2
OG0003631	Lflavo2a004036P1	XP_001600392.1
OG0003632	Lflavo2a010954P1	XP_001601855.2
OG0003633	Lflavo2a000659P1, Lflavo2a000659P2	XP_008207040.1, XP_008207041.1, XP_008207042.1
OG0003634	Lflavo2a004652P1	NP_001164372.1, XP_008207906.1, XP_032452164.1, XP_032452165.1, XP_032452166.1
OG0003635	Lflavo2a002694P1	XP_016839518.1, XP_032453291.1, XP_001603212.2, XP_008216429.1, XP_008216430.1
OG0003636	Lflavo2a005186P1, Lflavo2a005207P1	XP_001608242.2, XP_008207439.2
OG0003637	Lflavo2a009407P1	XP_008213719.1, XP_008213720.1, XP_016839069.1, XP_032453668.1, XP_032453669.1
OG0003638	Lflavo2a009239P1	XP_003424100.3, XP_016838492.1
OG0003639	Lflavo2a005202P1	XP_031782500.1, XP_031782502.1, XP_032454443.1
OG0003640	Lflavo2a010029P1	NP_001123086.2, XP_016838717.1, XP_032453620.1
OG0003641	Lflavo2a009479P3, Lflavo2a009479P1, Lflavo2a009479P2	XP_001607524.2, XP_008203009.1
OG0003642	Lflavo2a005927P1	XP_001600183.2, XP_008203356.1, XP_016838825.1
OG0003643	Lflavo2a001247P1	XP_003424029.1
OG0003644	Lflavo2a013179P1	XP_008204595.1, XP_008204596.1
OG0003645	Lflavo2a008154P1	XP_001608129.1, XP_003423985.1, XP_032451650.1
OG0003646	Lflavo2a014017P1, Lflavo2a014017P2	XP_008213508.1, XP_008213509.1, XP_032454489.1
OG0003647	Lflavo2a004655P1, Lflavo2a004655P2	XP_001599250.1, XP_003426168.1
OG0003651	Lflavo2a000842P1	XP_001603835.2
OG0003652	Lflavo2a004913P1	XP_031779292.1, XP_001604307.2, XP_031779291.1
OG0003655	Lflavo2a004982P1	XP_016842459.1, XP_031788435.1
OG0003656	Lflavo2a000209P1	XP_016843577.1
OG0003658	Lflavo2a001465P1	XP_001604615.1, XP_001604663.2, XP_016840219.1, XP_031781959.1, XP_031781960.1, XP_031781961.1
OG0003659	Lflavo2a007998P1	XP_008205234.1, XP_008205235.1, XP_008205236.1, XP_003424300.1
OG0003660	Lflavo2a005809P1	NP_001155084.1, XP_008207737.1, XP_008207739.1, XP_031781460.1, XP_032457579.1
OG0003661	Lflavo2a013406P1	XP_003424159.1, XP_003425237.1, XP_008217980.1
OG0003663	Lflavo2a000995P1, Lflavo2a010841P1	XP_032458024.1
OG0003663	Lflavo2a004557P1	XP_031784373.1, XP_032457267.1, XP_031784224.1, XP_031781630.1, XP_031782179.1, XP_031784220.1
OG0003665	Lflavo2a002946P2, Lflavo2a002946P4, Lflavo2a002946P1, Lflavo2a002946P3	NP_001165991.1, XP_001604044.1, XP_001604068.2, XP_008202196.1
OG0003666	Lflavo2a004895P1	XP_001605605.1, XP_031786283.1, XP_016839422.2, XP_031786448.1, NP_001155154.1, XP_031786258.1, XP_001603551.4, XP_032452574.1
OG0003668	Lflavo2a011382P2, Lflavo2a011382P1, Lflavo2a011382P3	XP_008210236.1, XP_008210237.1, XP_008210238.1, XP_016843973.1, XP_016843974.1, XP_031778245.1
OG0003669	Lflavo2a013685P1	XP_016844850.1, XP_016844851.1, XP_016844852.1, XP_016844854.1, XP_031787677.1, XP_031787678.1
OG0003670	Lflavo2a014081P1	XP_003424678.1, XP_031784648.1, XP_032455457.1, XP_032455458.1, XP_008214759.1, XP_008214808.1, XP_031784647.1, XP_008214901.1, XP_032455459.1
OG0003676	Lflavo2a011291P1, Lflavo2a011291P2	XP_001600208.1, XP_016840947.1
OG0003677	Lflavo2a006258P1, Lflavo2a006258P2	XP_032451771.1, XP_032451772.1
OG0003678	Lflavo2a001499P1, Lflavo2a001499P2	NP_001164331.1, NP_001164357.1, XP_031783456.1
OG0003679	Lflavo2a005828P1, Lflavo2a005855P1	XP_001605568.2
OG0003680	Lflavo2a005651P3, Lflavo2a005651P1, Lflavo2a005651P2, Lflavo2a005651P4	XP_003427343.1
OG0003681	Lflavo2a012084P1	NP_001234893.1, XP_031789332.1
OG0003682	Lflavo2a003436P2, Lflavo2a003436P1, Lflavo2a003436P3	XP_001605287.1
OG0003683	Lflavo2a007959P1	XP_003425948.1, XP_008204857.1
OG0003684	Lflavo2a010312P1	XP_032456151.1
OG0003685	Lflavo2a002805P1	NP_001164465.1, XP_008216398.1, XP_031783043.1
OG0003686	Lflavo2a005349P1	XP_001602950.1, XP_003424792.1
OG0003687	Lflavo2a001946P1	NP_001155149.1, XP_008213618.1
OG0003688	Lflavo2a010788P1	NP_001135910.1
OG0003689	Lflavo2a002712P1	XP_008202614.1, XP_016836546.1
OG0003690	Lflavo2a000764P1, Lflavo2a000768P1	XP_008207422.1
OG0003693	Lflavo2a004604P1, Lflavo2a004604P2	XP_031788902.1, XP_032458044.1
OG0003694	Lflavo2a003671P1, Lflavo2a003671P2	XP_001606876.1, XP_003424517.1
OG0003696	Lflavo2a011512P1	XP_031789411.1
OG0003697	Lflavo2a014216P1, Lflavo2a014216P2	XP_016845866.1
OG0003698	Lflavo2a010183P1	XP_003427446.1, XP_008210885.1, XP_016844859.1
OG0003699	Lflavo2a003001P1	XP_003424337.1
OG0003700	Lflavo2a002018P1	XP_001607481.1, XP_008209675.1, XP_032452876.1, XP_032452877.1
OG0003701	Lflavo2a012666P1	XP_001604641.1, XP_008211414.1
OG0003702	Lflavo2a011981P1, Lflavo2a011981P2	XP_001603940.1, XP_008202664.1, XP_008202665.1
OG0003703	Lflavo2a003579P1	XP_003426810.1
OG0003704	Lflavo2a001448P1	XP_001601232.1
OG0003705	Lflavo2a010637P1	XP_031783799.1
OG0003706	Lflavo2a007074P1	XP_008214822.1, XP_008214820.1, XP_008214821.1
OG0003707	Lflavo2a001879P1, Lflavo2a001879P2	XP_001604640.1, XP_032455056.1, XP_032455057.1, XP_032455055.1, XP_032455058.1
OG0003708	Lflavo2a003183P2, Lflavo2a003183P3	XP_008207962.1, XP_031778511.1
OG0003709	Lflavo2a000594P1	XP_003424223.1
OG0003710	Lflavo2a001269P1	NP_001165803.1, NP_001165804.1, XP_016841996.1, XP_032454669.1
OG0003711	Lflavo2a003315P1	XP_001599838.1, XP_008214189.1, XP_016845887.1
OG0003712	Lflavo2a010707P1	XP_001604909.2, XP_008210906.1, XP_008210907.1, XP_008210910.1, XP_008210911.1, XP_008210912.1
OG0003713	Lflavo2a004937P1	XP_001606631.2, XP_008201890.1, XP_031788415.1
OG0003714	Lflavo2a005784P1	XP_001606986.2, XP_003425301.1, XP_032456219.1
OG0003715	Lflavo2a002837P1, Lflavo2a002859P1	XP_031779177.1, XP_016837503.1, XP_031779178.1
OG0003716	Lflavo2a006846P1	XP_001603943.2, XP_016843213.1
OG0003717	Lflavo2a010864P1	XP_001604630.2, XP_031783183.1, XP_031783184.1, XP_032453897.1
OG0003718	Lflavo2a010610P1, Lflavo2a005274P1	XP_001606811.2, XP_008209906.1
OG0003719	Lflavo2a005420P1, Lflavo2a005614P1, Lflavo2a005478P1	XP_001606122.2
OG0003720	Lflavo2a011804P2, Lflavo2a011804P1, Lflavo2a011804P3	XP_001604041.1
OG0003721	Lflavo2a004782P1	XP_003425457.1, XP_016836956.1
OG0003722	Lflavo2a013863P1, Lflavo2a013863P2	XP_003424608.1
OG0003723	Lflavo2a005255P1	XP_032458072.1
OG0003724	Lflavo2a009231P1	XP_001607308.2, XP_031778645.1
OG0003725	Lflavo2a009623P1	XP_001602301.1, XP_008210349.1, XP_008210350.1, XP_032454026.1, XP_032454027.1
OG0003727	Lflavo2a010991P1	XP_001603421.1, XP_031783454.1, XP_031783455.1
OG0003728	Lflavo2a003214P2, Lflavo2a003214P1, Lflavo2a003214P3	XP_001605754.1
OG0003729	Lflavo2a004780P1	XP_001607889.1
OG0003730	Lflavo2a008829P1	XP_016837908.1, XP_032453474.1, XP_032453475.1
OG0003731	Lflavo2a008895P1	XP_001599033.2, XP_031785858.1
OG0003732	Lflavo2a004954P1	NP_001123294.1, XP_008213375.1, XP_016844079.1, XP_032452123.1
OG0003733	Lflavo2a007226P1	XP_001603185.1
OG0003734	Lflavo2a006512P1	XP_003425915.1, XP_008204492.1, XP_031781073.1, XP_032457451.1
OG0003735	Lflavo2a003754P1	XP_031786374.1, XP_031786375.1
OG0003737	Lflavo2a004935P1	XP_031783968.1, XP_031783963.1, XP_032457784.1, XP_032457785.1, XP_031783966.1, XP_031783967.1
OG0003738	Lflavo2a008555P1	XP_003424007.1, XP_031776682.1
OG0003739	Lflavo2a002406P1	XP_001604239.2
OG0003740	Lflavo2a002050P1	XP_001602536.2
OG0003741	Lflavo2a012618P1	XP_008210134.1
OG0003742	Lflavo2a011112P1	XP_031784818.1
OG0003743	Lflavo2a004690P1	XP_001603547.2, XP_032455405.1
OG0003744	Lflavo2a005803P1	NP_001165805.1
OG0003745	Lflavo2a005130P1, Lflavo2a005132P1	XP_001602556.1
OG0003746	Lflavo2a013057P1, Lflavo2a004399P1	XP_008207267.1
OG0003747	Lflavo2a013590P1, Lflavo2a013590P2	XP_001606939.2
OG0003749	Lflavo2a000679P4, Lflavo2a000679P2, Lflavo2a000679P1, Lflavo2a000679P3	XP_008210541.1, XP_031785085.1, XP_032455025.1
OG0003750	Lflavo2a007031P1	XP_008214380.1, XP_016838465.1
OG0003751	Lflavo2a007589P1	XP_008215104.2, XP_031789431.1
OG0003752	Lflavo2a012721P1	XP_003427698.1
OG0003753	Lflavo2a002286P1	XP_016839719.1, XP_016839727.1, XP_032451800.1, XP_032451801.1
OG0003754	Lflavo2a011138P2	XP_001607540.3
OG0003755	Lflavo2a011077P1	XP_001605297.1, XP_031779357.1
OG0003756	Lflavo2a010461P1	XP_032454953.1, XP_008217390.1, XP_008217387.1, XP_031785235.1
OG0003757	Lflavo2a000415P1	XP_008211026.1, XP_031785399.1, XP_032456828.1
OG0003760	Lflavo2a012693P1	XP_008201753.1, XP_008201755.1, XP_008201756.1
OG0003761	Lflavo2a007704P1, Lflavo2a007704P2, Lflavo2a007704P3	XP_008208500.1
OG0003762	Lflavo2a001823P1, Lflavo2a001823P2	NP_001161440.1, NP_001161441.1
OG0003763	Lflavo2a012000P1	XP_031780797.1, XP_031780798.1, XP_032452384.1, XP_031780799.1
OG0003765	Lflavo2a005771P1	XP_001604974.2, XP_031779557.1
OG0003766	Lflavo2a000130P1	XP_031787592.1, XP_031787585.1, XP_008217484.1
OG0003767	Lflavo2a013638P1	XP_003428159.1
OG0003768	Lflavo2a010538P1	XP_008216527.1, XP_008216526.1, XP_016839566.1
OG0003769	Lflavo2a007457P1	XP_001604166.1, XP_031780906.1
OG0003770	Lflavo2a000418P1, Lflavo2a000418P2	XP_016839303.1, XP_016839304.1
OG0003771	Lflavo2a008534P1	XP_031781912.1, XP_031781913.1
OG0003773	Lflavo2a011607P1	XP_008205256.1
OG0003774	Lflavo2a013303P1	XP_008213085.1
OG0003775	Lflavo2a002831P1	XP_016844477.1, XP_016844479.1, XP_016844480.1
OG0003776	Lflavo2a010111P1, Lflavo2a010111P2	XP_001599485.2, XP_031777420.1
OG0003777	Lflavo2a007612P1	NP_001177677.1, XP_016836656.1, XP_031789388.1
OG0003778	Lflavo2a011103P1	XP_001603407.1, XP_008211369.1, XP_008211370.1, XP_016840766.1
OG0003779	Lflavo2a006043P1	XP_001599849.2, XP_008203223.1
OG0003780	Lflavo2a012338P1, Lflavo2a012338P2, Lflavo2a012338P3	XP_008207841.1, XP_031781615.1
OG0003781	Lflavo2a001661P1	XP_003426055.1, NP_001164343.1, XP_031778154.1
OG0003782	Lflavo2a011436P1, Lflavo2a011436P2	XP_001607014.1
OG0003783	Lflavo2a005973P1	XP_001604825.1, XP_003425165.1
OG0003784	Lflavo2a006799P1, Lflavo2a006826P1	XP_003427305.1
OG0003785	Lflavo2a012195P1	XP_031778274.1, XP_031778275.1, XP_031778276.1, XP_032457357.1
OG0003786	Lflavo2a001337P1, Lflavo2a001337P2	XP_032456614.1, XP_032456615.1, XP_032456616.1, XP_032456617.1
OG0003787	Lflavo2a003574P1	XP_016842295.1, XP_031788072.1
OG0003788	Lflavo2a010415P1	NP_001165818.1, NP_001165819.1
OG0003790	Lflavo2a001622P1	XP_008217824.1
OG0003791	Lflavo2a008338P1	XP_003427246.1
OG0003792	Lflavo2a000619P1	NP_001165789.1
OG0003793	Lflavo2a007028P1	XP_016838311.1, XP_001602018.1, XP_016838310.1
OG0003794	Lflavo2a014049P1	XP_031785555.1
OG0003795	Lflavo2a007843P1	XP_008203858.1, XP_008203860.1, XP_016839512.1
OG0003796	Lflavo2a013336P1	XP_001606787.1
OG0003797	Lflavo2a012079P1	XP_016838106.1
OG0003798	Lflavo2a006036P2	XP_008212651.1, XP_032452809.1
OG0003799	Lflavo2a003245P1	XP_001607579.1, XP_032454296.1, XP_003426369.1, XP_008206489.1, XP_008206487.1
OG0003800	Lflavo2a007865P1	XP_001599924.1, XP_003426762.1
OG0003801	Lflavo2a001506P1	XP_031784006.1, XP_031784005.1, XP_031784007.1
OG0003803	Lflavo2a009992P1	XP_003427295.1, XP_003427296.1, XP_016839912.1, XP_032454404.1, XP_032454405.1
OG0003804	Lflavo2a013633P1	XP_008201826.1, XP_003425278.1, XP_008201827.1, XP_031788240.1, XP_003425277.1
OG0003805	Lflavo2a012247P1	XP_031785490.1, XP_031785491.1
OG0003807	Lflavo2a003018P1	XP_031784899.1
OG0003808	Lflavo2a005243P1	XP_001607958.2, XP_008207561.1
